ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
20,0,31,0,BRONZE,I,25,17,18015,132,0,134,0,SILVER_IV,27,17,17260,266,0,223,0,GOLD_III,18,18,19338,142,0,129,0,SILVER_IV,68,18,18931,33,0,33,0,BRONZE_II,19,17,16784,306,0,276,0,SILVER_IV,41,17,16986,106,0,104,0,BRONZE_III,93,17,16644,109,0,103,0,SILVER_IV,27,17,17270,177,0,178,0,SILVER_IV,46,18,19601,275,0,301,0,SILVER_IV,0,18,18555
4,0,13,0,BRONZE_III,8,8,5016,5,0,7,0,BRONZE_III,18,7,3916,5,0,11,0,BRONZE_II,51,9,6023,3,0,8,0,BRONZE_II,42,8,4702,6,0,9,0,BRONZE_III,32,10,6372,13,0,10,0,BRONZE,I,97,13,10439,13,0,10,0,BRONZE_I,97,10,6416,13,0,10,0,BRONZE_I,97,12,9405,10,0,4,0,BRONZE_II,79,10,7135,13,0,20,0,BRONZE_I,22,8,4090
33,0,70,0,IRON_II,0,9,5348,32,0,34,0,SILVER_II,74,9,5255,32,0,34,0,SILVER_II,74,9,5218,32,0,34,0,SILVER_II,74,8,4356,32,0,34,0,SILVER_II,74,7,3439,13,0,10,0,BRONZE,I,97,9,5885,9,0,10,0,SILVER_IV,0,11,8095,13,0,10,0,BRONZE_I,97,11,7894,12,0,13,0,BRONZE_II,49,9,5478,13,0,4,0,GOLD_IV,29,9,5586
16,0,23,0,SILVER_IV,88,15,13504,132,0,135,0,SILVER_II,44,14,12796,15,0,17,0,SILVER_II,18,15,13026,53,0,64,0,SILVER_IV,26,11,8283,66,0,75,0,SILVER_II,47,12,9667,13,0,10,0,BRONZE,I,97,11,8043,18,0,11,0,SILVER_IV,40,12,9140,19,0,14,0,SILVER_III,75,14,12956,20,0,11,0,SILVER_II,30,13,10407,40,0,32,0,SILVER_I,34,11,7691
116,0,96,0,GOLD_III,37,12,9572,25,0,40,0,SILVER_IV,33,10,6735,10,0,8,0,SILVER_IV,29,12,9858,10,0,7,0,BRONZE_I,80,10,6279,93,0,74,0,GOLD_IV,12,10,6662,13,0,10,0,BRONZE,I,97,13,10548,12,0,8,0,SILVER_IV,8,15,13069,169,0,159,0,GOLD_IV,14,14,11607,14,0,11,0,SILVER_IV,25,12,9891,84,0,110,0,SILVER_IV,4,12,9073
337,0,297,0,GOLD_IV,33,17,17104,613,0,606,0,SILVER_IV,89,14,12146,546,0,473,0,SILVER_II,30,16,16021,558,0,579,0,SILVER_IV,8,16,14860,135,0,132,0,SILVER_III,20,14,12857,361,0,346,0,SILVER_III,32,18,20934,48,0,51,0,BRONZE,I,91,17,17291,167,0,168,0,SILVER_IV,78,17,18175,216,0,199,0,SILVER_II,0,17,16726,343,0,336,0,SILVER_III,44,15,13199
261,0,254,0,SILVER_II,1,14,12856,76,0,73,0,BRONZE_II,48,12,9912,110,0,100,0,SILVER_IV,56,13,10059,275,0,253,0,SILVER_II,0,13,11240,283,0,250,0,SILVER_II,75,13,10801,93,0,70,0,SILVER_II,10,14,11857,48,0,51,0,BRONZE,I,91,13,10502,187,0,218,0,BRONZE_III,9,14,12108,8,0,10,0,SILVER_IV,38,16,16401,468,0,487,0,BRONZE_III,85,13,11390
335,0,317,0,SILVER_IV,74,15,13149,207,0,212,0,SILVER_IV,60,14,11881,144,0,152,0,SILVER_III,43,15,13837,253,0,229,0,BRONZE_I,100,14,11857,144,0,158,0,SILVER_IV,0,12,9824,116,0,117,0,SILVER_IV,0,15,13376,48,0,51,0,BRONZE,I,91,16,15664,102,0,103,0,SILVER_II,18,17,17954,375,0,367,0,SILVER_IV,24,16,16050,126,0,121,0,SILVER_III,49,15,14134
83,0,86,0,SILVER_IV,74,18,19838,144,0,159,0,SILVER_IV,2,18,19989,144,0,159,0,SILVER_IV,2,18,20762,425,0,428,0,SILVER_IV,0,18,20234,118,0,128,0,SILVER_IV,52,18,21120,89,0,99,0,SILVER_IV,50,18,22633,48,0,51,0,BRONZE,I,91,17,17286,129,0,131,0,SILVER_IV,0,16,15552,300,0,279,0,SILVER_I,54,18,20576,113,0,110,0,SILVER_III,4,16,15224
36,0,34,0,SILVER_I,42,13,10751,128,0,98,0,SILVER_IV,56,11,7385,52,0,55,0,SILVER_IV,0,12,8709,265,0,226,0,BRONZE_I,43,9,6060,40,0,39,0,BRONZE_II,17,10,6230,12,0,19,0,BRONZE_II,0,12,9845,48,0,51,0,BRONZE,I,91,12,9044,131,0,120,0,SILVER_I,49,11,7716,33,0,53,0,BRONZE_II,14,14,12225,45,0,39,0,SILVER_IV,51,11,8162
