ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
73,0,70,0,BRONZE_I,33,18,22279,92,0,105,0,SILVER_III,24,18,22214,273,0,227,0,GOLD_IV,35,18,19954,43,0,38,0,BRONZE,I,5,17,17505,116,0,139,0,BRONZE_IV,43,15,13554,49,0,64,0,BRONZE_II,56,18,20861,308,0,323,0,BRONZE_II,50,18,20826,208,0,196,0,SILVER_II,22,18,19196,4,0,7,0,BRONZE_I,70,18,19587,153,0,217,0,BRONZE_IV,0,16,15387
524,0,557,0,BRONZE_IV,85,13,10568,124,0,99,0,SILVER_II,60,12,8968,445,0,472,0,SILVER_IV,0,14,11777,43,0,38,0,BRONZE,I,5,11,8316,528,0,542,0,BRONZE_I,60,10,6518,228,0,264,0,SILVER_IV,14,13,11198,139,0,138,0,SILVER_III,44,15,13506,74,0,80,0,SILVER_IV,69,14,11620,382,0,369,0,SILVER_IV,41,13,10229,241,0,265,0,BRONZE_III,98,11,8176
161,0,142,0,BRONZE_I,100,14,12096,6,0,11,0,BRONZE_IV,0,11,8270,33,0,42,0,BRONZE_II,99,13,11282,69,0,67,0,BRONZE,I,44,12,9267,270,0,257,0,BRONZE_I,9,11,7929,222,0,233,0,SILVER_IV,34,16,15007,250,0,266,0,SILVER_IV,0,14,12854,49,0,55,0,BRONZE_II,64,15,13046,178,0,183,0,SILVER_IV,48,14,11919,17,0,19,0,BRONZE_II,33,13,10212
244,0,234,0,BRONZE_I,0,17,18073,136,0,161,0,SILVER_IV,56,16,15854,117,0,127,0,SILVER_IV,0,16,15688,69,0,67,0,BRONZE,I,44,17,17323,161,0,165,0,BRONZE_I,74,14,11525,158,0,165,0,BRONZE_I,20,16,15333,167,0,178,0,SILVER_IV,85,14,12102,172,0,154,0,BRONZE_I,39,14,12276,126,0,126,0,SILVER_IV,48,15,14093,310,0,314,0,SILVER_IV,37,12,9783
107,0,116,0,BRONZE_II,48,18,18562,54,0,54,0,SILVER_IV,0,17,16509,196,0,209,0,BRONZE_I,20,18,18941,69,0,67,0,BRONZE,I,44,17,16885,53,0,57,0,BRONZE_II,77,15,13672,147,0,158,0,SILVER_II,44,16,15598,162,0,162,0,BRONZE_II,73,14,11793,171,0,188,0,BRONZE_IV,36,16,16102,143,0,164,0,BRONZE_II,57,16,14885,228,0,233,0,BRONZE_I,41,14,11536
77,0,77,0,SILVER_IV,1,16,16301,110,0,117,0,SILVER_IV,40,16,14732,21,0,21,0,SILVER_III,66,17,16616,69,0,67,0,BRONZE,I,44,14,12957,235,0,238,0,SILVER_III,27,14,12041,95,0,112,0,BRONZE_I,0,15,14279,441,0,442,0,SILVER_III,49,14,11913,348,0,325,0,SILVER_IV,12,14,11841,141,0,139,0,SILVER_IV,0,13,11327,403,0,417,0,SILVER_IV,40,13,11023
200,0,177,0,BRONZE_III,52,16,16287,294,0,252,0,BRONZE_II,45,16,15985,61,0,61,0,BRONZE_II,1,16,15436,69,0,67,0,BRONZE,I,44,16,16237,17,0,31,0,BRONZE_IV,0,15,14516,9,0,23,0,BRONZE_IV,75,16,15762,27,0,46,0,BRONZE_IV,0,16,14807,329,0,336,0,BRONZE_I,3,18,19916,17,0,29,0,BRONZE_III,35,15,14639,200,0,200,0,BRONZE_III,19,14,11989
22,0,39,0,SILVER_IV,0,15,14269,301,0,301,0,SILVER_IV,94,15,13536,28,0,33,0,SILVER_IV,71,16,14805,35,0,38,0,BRONZE_I,100,15,14612,51,0,47,0,BRONZE,I,35,15,14161,45,0,46,0,SILVER_IV,0,14,12250,217,0,196,0,SILVER_III,75,16,15955,431,0,448,0,BRONZE_I,63,17,17375,287,0,306,0,SILVER_IV,3,15,13380,40,0,47,0,SILVER_IV,0,13,10976
11,0,6,0,BRONZE_I,44,15,13976,18,0,23,0,BRONZE_III,50,14,11783,13,0,14,0,BRONZE_I,14,15,14694,85,0,98,0,SILVER_IV,59,13,10464,51,0,47,0,BRONZE,I,35,15,13516,7,0,3,0,BRONZE_II,99,17,18121,7,0,3,0,BRONZE_II,99,16,15988,312,0,288,0,BRONZE_I,66,16,16413,230,0,226,0,SILVER_IV,0,16,15967,126,0,115,0,BRONZE_I,43,15,13624
13,0,25,0,BRONZE_II,2,18,19973,36,0,38,0,BRONZE_I,62,18,23956,31,0,27,0,BRONZE_II,78,18,21430,61,0,62,0,BRONZE_I,0,16,14805,51,0,47,0,BRONZE,I,35,16,15484,23,0,26,0,SILVER_IV,29,18,21213,30,0,46,0,BRONZE_III,0,17,16692,418,0,433,0,BRONZE_II,75,17,16913,131,0,146,0,BRONZE_II,0,16,15652,5,0,7,0,BRONZE_III,74,16,16179
326,0,292,0,SILVER_III,3,17,18269,38,0,35,0,BRONZE_I,6,17,17098,486,0,482,0,SILVER_IV,84,16,16287,350,0,344,0,SILVER_IV,54,16,16144,51,0,47,0,BRONZE,I,35,16,15402,423,0,411,0,BRONZE_I,39,16,14810,31,0,28,0,SILVER_IV,53,17,18206,180,0,160,0,BRONZE_II,37,17,16483,7,0,7,0,BRONZE_IV,75,16,16142,57,0,53,0,SILVER_IV,59,13,10690
229,0,226,0,SILVER_III,4,2,572,112,0,108,0,SILVER_IV,0,3,851,382,0,402,0,SILVER_IV,9,3,976,148,0,161,0,SILVER_IV,17,1,11,51,0,47,0,BRONZE,I,35,2,462,126,0,122,0,SILVER_IV,53,3,965,10,0,29,0,BRONZE_II,82,3,815,173,0,180,0,SILVER_IV,0,3,1025,450,0,440,0,SILVER_IV,0,2,625,215,0,222,0,SILVER_IV,42,3,685
12,0,7,0,BRONZE_I,9,14,12893,14,0,8,0,SILVER_IV,13,14,12359,66,0,48,0,SILVER_I,22,16,15406,59,0,58,0,SILVER_III,48,12,8811,6,0,8,0,BRONZE_I,92,12,9468,40,0,42,0,SILVER_IV,59,14,12593,41,0,53,0,SILVER_IV,21,12,8974,9,0,19,0,BRONZE,I,1,13,10453,54,0,80,0,SILVER_IV,26,13,10189,22,0,38,0,BRONZE_II,0,12,9436
169,0,175,0,SILVER_III,56,12,9598,57,0,54,0,SILVER_I,9,12,9677,61,0,50,0,SILVER_I,0,14,11807,52,0,54,0,SILVER_III,15,12,9065,147,0,142,0,SILVER_II,36,11,7897,21,0,51,0,BRONZE_II,40,14,11711,14,0,20,0,SILVER_IV,33,11,7494,9,0,19,0,BRONZE,I,1,12,8910,8,0,9,0,BRONZE_I,27,6,2817,118,0,121,0,SILVER_III,50,11,7773
143,0,150,0,GOLD_IV,0,15,14477,32,0,27,0,BRONZE_I,79,14,12110,52,0,50,0,GOLD_II,31,14,12420,102,0,110,0,GOLD_IV,0,14,11591,18,0,23,0,SILVER_IV,47,12,9058,11,0,11,0,SILVER_IV,1,12,9239,24,0,21,0,SILVER_III,89,11,8432,9,0,19,0,BRONZE,I,1,11,7379,25,0,18,0,SILVER_I,50,12,9468,144,0,123,0,SILVER_III,14,12,8812
36,0,43,0,SILVER_IV,63,10,7255,197,0,212,0,BRONZE_II,16,8,4570,220,0,226,0,SILVER_III,2,7,3350,200,0,190,0,GOLD_IV,23,9,6100,15,0,8,0,SILVER_I,0,8,4702,25,0,23,0,SILVER_III,20,10,6335,116,0,102,0,SILVER_II,42,9,5131,9,0,19,0,BRONZE,I,1,6,3019,29,0,34,0,BRONZE_II,56,8,4432,538,0,566,0,SILVER_IV,3,6,2796
15,0,16,0,SILVER_III,42,17,17967,49,0,55,0,SILVER_III,70,17,17029,29,0,27,0,SILVER_II,75,16,15289,10,0,11,0,BRONZE_I,34,15,13794,6,0,7,0,BRONZE_I,37,13,10977,45,0,48,0,SILVER_II,64,14,12471,38,0,48,0,SILVER_IV,68,14,11737,9,0,19,0,BRONZE,I,1,14,12305,18,0,15,0,SILVER_IV,56,13,11350,91,0,81,0,GOLD_IV,0,12,9488
26,0,30,0,SILVER_IV,1,15,13589,251,0,244,0,SILVER_II,13,15,13440,26,0,37,0,GOLD_IV,49,14,12243,335,0,342,0,SILVER_II,15,14,12110,20,0,36,0,SILVER_III,18,12,9495,43,0,57,0,SILVER_IV,57,16,15011,302,0,253,0,SILVER_II,15,15,14050,13,0,8,0,BRONZE,I,27,17,16662,91,0,80,0,SILVER_II,10,13,11349,44,0,39,0,SILVER_III,75,13,10042
72,0,70,0,SILVER_II,72,14,12516,22,0,28,0,SILVER_IV,45,12,8925,31,0,39,0,SILVER_II,3,13,10213,438,0,427,0,GOLD_IV,11,12,9101,102,0,98,0,SILVER_II,73,10,7112,59,0,56,0,SILVER_II,91,15,13103,302,0,253,0,SILVER_II,15,13,11205,13,0,8,0,BRONZE,I,27,15,13828,384,0,377,0,SILVER_III,19,14,11927,68,0,61,0,GOLD_IV,64,13,10913
449,0,461,0,SILVER_IV,15,14,12132,129,0,122,0,SILVER_III,45,13,10333,405,0,414,0,BRONZE_II,44,14,12546,176,0,171,0,SILVER_IV,17,13,10448,244,0,264,0,SILVER_IV,0,12,9042,50,0,55,0,SILVER_IV,70,13,10906,134,0,139,0,SILVER_IV,68,11,7702,13,0,8,0,BRONZE,I,27,11,7864,199,0,208,0,SILVER_IV,12,13,10392,35,0,57,0,BRONZE_II,73,11,7765
347,0,350,0,BRONZE_III,0,14,12139,219,0,228,0,SILVER_IV,25,13,10666,253,0,240,0,SILVER_III,33,16,15556,212,0,227,0,SILVER_IV,44,12,9648,98,0,99,0,SILVER_III,75,10,7205,50,0,55,0,SILVER_IV,70,15,13854,272,0,288,0,SILVER_IV,27,12,9956,13,0,8,0,BRONZE,I,27,11,7702,173,0,154,0,SILVER_I,0,13,10194,246,0,249,0,SILVER_I,71,10,6877
27,0,27,0,SILVER_II,57,11,8225,37,0,55,0,SILVER_IV,15,9,6081,159,0,141,0,GOLD_II,15,15,13910,124,0,116,0,GOLD_III,0,13,10139,64,0,66,0,SILVER_II,0,13,10218,181,0,189,0,GOLD_IV,56,14,12288,477,0,447,0,GOLD_III,31,13,10744,13,0,8,0,BRONZE,I,27,12,9668,38,0,27,0,SILVER_I,38,13,9994,236,0,196,0,PLATINUM_IV,47,14,12739
23,0,16,0,BRONZE_I,12,17,16707,10,0,13,0,BRONZE_I,0,18,20079,99,0,107,0,GOLD_IV,33,18,20139,15,0,13,0,SILVER_II,75,16,16471,15,0,13,0,SILVER_II,75,16,15891,15,0,22,0,BRONZE_I,59,15,14465,3,0,9,0,BRONZE_III,34,14,12965,46,0,44,0,SILVER_II,59,15,14360,7,0,6,0,BRONZE,I,51,16,15136,24,0,33,0,SILVER_IV,12,14,11707
275,0,289,0,GOLD_IV,21,17,17169,147,0,160,0,SILVER_II,47,16,16300,53,0,49,0,SILVER_III,81,16,15175,81,0,74,0,GOLD_III,0,15,14180,125,0,140,0,SILVER_IV,12,13,11279,70,0,64,0,GOLD_IV,0,15,14563,47,0,59,0,SILVER_IV,3,13,11340,66,0,70,0,SILVER_III,46,14,12225,7,0,6,0,BRONZE,I,51,14,12377,22,0,34,0,SILVER_III,51,13,10480
11,0,16,0,BRONZE_I,3,16,16299,9,0,20,0,SILVER_IV,31,17,18320,7,0,10,0,BRONZE_II,44,17,17688,11,0,16,0,BRONZE_I,43,18,18529,10,0,10,0,BRONZE_I,0,14,12166,23,0,20,0,SILVER_IV,85,18,21035,10,0,11,0,BRONZE_I,6,16,15528,19,0,18,0,SILVER_IV,0,18,18448,7,0,6,0,BRONZE,I,51,18,19166,20,0,24,0,BRONZE_I,92,16,15099
21,0,18,0,BRONZE_I,70,18,21538,13,0,22,0,BRONZE_I,66,17,17681,13,0,14,0,BRONZE,I,100,17,18017,12,0,15,0,BRONZE_I,18,16,15354,7,0,12,0,BRONZE_I,20,16,15833,41,0,44,0,SILVER_IV,50,16,15176,4,0,13,0,BRONZE_II,33,16,15274,37,0,33,0,SILVER_IV,39,15,14571,18,0,17,0,BRONZE_I,53,16,15501,35,0,52,0,BRONZE_II,34,14,12884
21,0,18,0,BRONZE_I,70,9,5121,12,0,11,0,BRONZE_I,35,6,3158,13,0,14,0,BRONZE,I,100,9,5753,91,0,120,0,SILVER_IV,63,8,4911,79,0,86,0,SILVER_III,21,8,4361,39,0,44,0,SILVER_II,51,10,6851,68,0,99,0,SILVER_IV,78,10,6384,65,0,80,0,SILVER_IV,16,9,5913,170,0,174,0,SILVER_III,16,9,5848,33,0,33,0,GOLD_IV,19,10,6225
21,0,18,0,BRONZE_I,70,12,9798,2,0,9,0,BRONZE_I,0,11,8452,13,0,14,0,BRONZE,I,100,13,10652,24,0,20,0,SILVER_IV,0,12,9584,25,0,21,0,SILVER_III,7,9,5664,82,0,100,0,SILVER_III,91,14,11554,4,0,6,0,BRONZE_III,86,12,9106,24,0,17,0,SILVER_IV,93,15,13092,25,0,57,0,BRONZE_III,46,13,10095,22,0,16,0,SILVER_IV,80,11,8111
156,0,139,0,SILVER_IV,69,18,18544,101,0,95,0,GOLD_IV,0,17,17879,98,0,105,0,BRONZE_I,28,18,21240,227,0,232,0,SILVER_IV,56,18,22884,45,0,50,0,BRONZE_II,16,18,19034,464,0,461,0,BRONZE_II,1,18,24351,60,0,50,0,SILVER_III,14,18,25413,52,0,52,0,BRONZE,I,68,18,22098,130,0,142,0,SILVER_IV,48,16,15946,35,0,34,0,BRONZE_I,0,18,20022
82,0,69,0,SILVER_IV,46,15,14332,221,0,199,0,BRONZE_III,2,14,11948,93,0,120,0,BRONZE_I,0,13,11046,702,0,731,0,SILVER_IV,0,15,13971,52,0,48,0,BRONZE,I,0,14,11791,187,0,190,0,SILVER_IV,60,18,19691,224,0,231,0,BRONZE_II,2,15,13635,128,0,139,0,SILVER_IV,0,18,18387,147,0,141,0,BRONZE_I,30,16,14744,145,0,147,0,SILVER_III,22,13,10658
110,0,112,0,SILVER_IV,0,18,18595,54,0,69,0,BRONZE_III,29,12,9621,160,0,174,0,SILVER_IV,13,14,12746,302,0,320,0,BRONZE_III,45,14,12923,52,0,48,0,BRONZE,I,0,13,11398,270,0,267,0,SILVER_IV,56,15,14676,84,0,100,0,BRONZE_I,48,15,14126,53,0,62,0,SILVER_IV,91,16,14838,164,0,139,0,SILVER_IV,75,14,12153,92,0,70,0,SILVER_IV,71,11,8504
41,0,53,0,BRONZE_II,55,15,13088,123,0,134,0,BRONZE_II,63,16,16118,249,0,251,0,SILVER_III,42,14,12519,187,0,161,0,SILVER_III,11,15,14562,52,0,48,0,BRONZE,I,0,13,11038,33,0,35,0,SILVER_IV,68,14,12427,126,0,124,0,BRONZE_I,29,13,10135,75,0,82,0,BRONZE_III,25,14,11657,118,0,128,0,SILVER_IV,0,13,10685,101,0,110,0,BRONZE_I,1,10,6876
53,0,50,0,SILVER_IV,49,17,16480,325,0,313,0,BRONZE_I,8,15,14090,456,0,452,0,SILVER_I,17,15,14483,405,0,396,0,SILVER_III,35,15,13252,52,0,48,0,BRONZE,I,0,15,13305,114,0,134,0,BRONZE_IV,46,14,12428,168,0,143,0,BRONZE_I,65,13,10497,437,0,424,0,SILVER_IV,29,15,13530,68,0,73,0,SILVER_IV,46,13,10706,104,0,100,0,SILVER_IV,75,13,10977
10,0,7,0,BRONZE_I,49,18,20957,12,0,7,0,BRONZE_I,14,18,18989,14,0,12,0,BRONZE,I,99,15,13925,18,0,18,0,SILVER_IV,47,15,14464,24,0,20,0,SILVER_IV,11,15,13840,24,0,20,0,SILVER_IV,11,16,15442,14,0,17,0,BRONZE_I,90,15,14224,14,0,17,0,BRONZE_I,90,17,17590,14,0,17,0,BRONZE_I,90,17,17165,36,0,29,0,SILVER_III,0,15,13421
162,0,159,0,SILVER_IV,47,16,15246,162,0,159,0,SILVER_IV,47,17,16951,14,0,12,0,BRONZE,I,99,18,19647,5,0,7,0,BRONZE_II,19,17,16598,14,0,12,0,BRONZE_I,99,14,12816,20,0,7,0,SILVER_IV,82,18,20578,14,0,9,0,BRONZE_I,100,17,17125,14,0,9,0,SILVER_IV,50,17,17962,38,0,37,0,SILVER_II,91,17,18147,38,0,37,0,SILVER_II,91,16,15586
38,0,37,0,SILVER_II,91,9,5706,5,0,5,0,BRONZE_III,25,9,5880,14,0,12,0,BRONZE,I,99,10,7104,14,0,12,0,BRONZE_I,99,9,5165,14,0,12,0,BRONZE_I,99,9,5489,14,0,12,0,BRONZE_I,99,13,11063,7,0,7,0,BRONZE_II,73,12,8827,7,0,7,0,BRONZE_II,73,12,8638,10,0,3,0,SILVER_III,87,13,10021,9,0,1,0,BRONZE_III,75,11,8097
9,0,1,0,BRONZE_III,75,14,12318,7,0,9,0,BRONZE_I,37,14,11526,14,0,12,0,BRONZE,I,99,13,10915,12,0,17,0,BRONZE_I,64,12,9533,18,0,16,0,SILVER_IV,91,12,9496,6,0,7,0,BRONZE_II,41,8,4825,11,0,16,0,BRONZE_I,12,13,10157,11,0,16,0,BRONZE_I,12,14,12117,11,0,16,0,BRONZE_I,12,11,8039,11,0,16,0,BRONZE_I,12,10,7253
48,0,64,0,SILVER_III,65,15,13299,37,0,57,0,SILVER_IV,63,12,8968,193,0,184,0,SILVER_III,90,14,12788,58,0,60,0,SILVER_II,87,13,11431,109,0,99,0,SILVER_III,75,12,9538,24,0,31,0,SILVER_I,16,17,17845,37,0,44,0,BRONZE,I,64,16,15907,184,0,196,0,SILVER_II,36,15,13492,340,0,351,0,SILVER_II,14,16,15303,249,0,255,0,SILVER_II,81,13,11113
19,0,27,0,SILVER_III,62,11,7784,11,0,16,0,SILVER_III,62,10,7155,13,0,18,0,BRONZE_I,24,12,9424,231,0,244,0,SILVER_III,90,11,7374,205,0,218,0,SILVER_III,78,10,6575,121,0,112,0,SILVER_II,56,13,11302,37,0,44,0,BRONZE,I,64,14,12283,24,0,31,0,SILVER_I,16,14,12392,40,0,46,0,SILVER_I,69,13,10006,16,0,9,0,BRONZE_I,51,11,8157
171,0,125,0,SILVER_I,0,16,16088,250,0,231,0,SILVER_IV,42,15,14416,341,0,352,0,SILVER_III,12,17,17757,80,0,82,0,SILVER_IV,0,16,14780,132,0,135,0,SILVER_IV,25,14,12708,206,0,159,0,SILVER_IV,75,14,11818,37,0,44,0,BRONZE,I,64,17,17776,263,0,234,0,SILVER_IV,33,16,15333,247,0,210,0,BRONZE_I,56,15,13673,40,0,44,0,BRONZE_III,76,13,11384
10,0,7,0,BRONZE_I,27,15,13044,10,0,17,0,BRONZE_I,27,10,6990,10,0,17,0,BRONZE_I,27,13,11114,11,0,11,0,SILVER_IV,26,13,10025,9,0,3,0,BRONZE_III,58,12,9192,9,0,3,0,BRONZE_III,58,12,9139,8,0,9,0,BRONZE_II,81,11,7861,4,0,6,0,BRONZE,I,81,13,11310,6,0,12,0,BRONZE_I,0,11,7317,15,0,14,0,SILVER_IV,51,10,6923
15,0,19,0,BRONZE_I,61,12,9943,6,0,13,0,SILVER_IV,22,12,9775,16,0,19,0,SILVER_II,0,13,10189,11,0,7,0,SILVER_II,22,11,8574,8,0,12,0,SILVER_IV,34,10,6272,36,0,38,0,SILVER_I,36,13,10943,31,0,33,0,GOLD_IV,0,13,10647,4,0,6,0,BRONZE,I,81,15,14006,33,0,13,0,PLATINUM_IV,85,13,10821,5,0,8,0,SILVER_IV,82,11,8533
63,0,46,0,SILVER_III,16,18,18646,92,0,91,0,SILVER_IV,75,17,17284,120,0,123,0,SILVER_IV,46,17,16974,102,0,93,0,SILVER_IV,75,17,17326,98,0,91,0,SILVER_IV,56,15,13584,70,0,61,0,SILVER_I,38,16,16162,25,0,43,0,SILVER_IV,15,17,17749,105,0,95,0,SILVER_II,0,16,14701,25,0,41,0,BRONZE,I,0,16,15937,43,0,77,0,SILVER_IV,0,15,13894
