rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience
160,0,202,0,BRONZE_IV,0,8,4770,852,0,842,0,BRONZE_IV,5,6,2402,14,0,48,0,IRON_IV,75,6,3109,199,0,196,0,BRONZE_III,30,10,7036,20,0,30,0,IRON_I,51,8,4481,431,0,430,0,BRONZE_III,0,11,7800,66,0,64,0,BRONZE_III,18,10,6910,1045,0,1026,0,BRONZE_III,70,10,7248,31,0,37,0,IRON,I,53,8,5015,27,0,43,0,BRONZE_III,57,9,5410
221,0,205,0,BRONZE_II,11,12,9186,32,0,42,0,BRONZE_II,61,11,7518,694,0,699,0,BRONZE_II,17,10,6135,5,0,22,0,BRONZE_IV,0,10,6377,132,0,153,0,BRONZE_IV,35,11,7382,98,0,116,0,BRONZE_I,13,13,10590,98,0,116,0,BRONZE_I,13,11,8363,63,0,78,0,BRONZE_III,31,12,9572,31,0,37,0,IRON,I,53,11,8077,66,0,64,0,BRONZE_III,18,12,9220
231,0,226,0,BRONZE_IV,31,18,26464,633,0,617,0,BRONZE_IV,61,18,25031,145,0,133,0,BRONZE_IV,57,18,25469,92,0,95,0,BRONZE_IV,40,18,24033,79,0,55,0,BRONZE_IV,21,18,22368,62,0,73,0,BRONZE_IV,16,18,31206,185,0,196,0,BRONZE_IV,28,18,24188,66,0,51,0,BRONZE_I,28,18,35124,31,0,37,0,IRON,I,53,18,25584,66,0,64,0,BRONZE_III,18,18,23864
412,0,386,0,BRONZE_II,71,12,9551,88,0,92,0,BRONZE_II,49,10,6687,668,0,686,0,SILVER_III,19,11,8376,229,0,225,0,SILVER_IV,75,10,7089,398,0,431,0,BRONZE_IV,1,9,5241,66,0,64,0,BRONZE_III,18,10,6330,231,0,227,0,SILVER_IV,26,10,6202,38,0,37,0,SILVER_IV,1,11,8195,31,0,37,0,IRON,I,53,9,5690,1,0,15,0,BRONZE_III,56,1,0
218,0,220,0,BRONZE_III,24,18,18965,15,0,30,0,IRON_I,84,15,14647,132,0,138,0,BRONZE_IV,36,17,16767,80,0,115,0,IRON,I,92,14,12749,80,0,82,0,IRON_III,70,14,11881,75,0,129,0,IRON_IV,0,15,13599,302,0,311,0,BRONZE_II,75,14,12351,569,0,582,0,IRON_I,33,15,13222,67,0,71,0,IRON_I,100,15,13539,352,0,347,0,BRONZE_IV,11,15,13312
15,0,26,0,IRON_II,47,11,7722,14,0,38,0,BRONZE_IV,3,11,7850,93,0,133,0,BRONZE_II,46,10,6449,80,0,115,0,IRON,I,92,10,6598,75,0,92,0,IRON_II,43,10,6438,69,0,67,0,BRONZE_III,18,14,11442,57,0,54,0,IRON_I,81,12,9685,32,0,43,0,BRONZE_II,17,13,10021,223,0,217,0,BRONZE_III,0,11,8522,142,0,147,0,BRONZE_II,26,10,6367
209,0,220,0,BRONZE_IV,6,14,12855,132,0,109,0,BRONZE_III,71,15,13292,105,0,125,0,IRON_III,21,14,12759,80,0,115,0,IRON,I,92,13,11002,311,0,323,0,BRONZE_IV,49,16,14771,40,0,89,0,BRONZE_IV,16,16,15127,44,0,36,0,BRONZE_III,75,16,16296,253,0,260,0,IRON_II,55,14,11575,16,0,26,0,IRON_I,50,15,13449,39,0,82,0,IRON_IV,0,14,11494
138,0,144,0,IRON_II,99,14,11699,60,0,94,0,IRON_IV,92,11,7810,70,0,74,0,BRONZE_IV,0,11,7711,80,0,115,0,IRON,I,92,12,9644,45,0,51,0,BRONZE_IV,56,12,9021,273,0,245,0,IRON_I,67,10,7140,218,0,248,0,IRON_III,30,9,5996,39,0,38,0,BRONZE_IV,4,12,8751,130,0,128,0,IRON_II,43,10,6341,16,0,57,0,IRON_IV,0,9,5238
112,0,145,0,IRON_III,93,15,13486,29,0,46,0,IRON_IV,93,15,13777,130,0,142,0,BRONZE_IV,21,14,12319,80,0,115,0,IRON,I,92,16,16272,41,0,78,0,BRONZE_IV,14,15,13542,313,0,344,0,IRON_II,38,17,17414,39,0,42,0,IRON_II,44,16,16059,136,0,158,0,IRON_II,52,14,12557,63,0,73,0,IRON_I,58,17,17221,89,0,86,0,IRON_I,78,14,12101
276,0,225,0,SILVER_IV,0,18,22426,525,0,518,0,BRONZE_I,20,18,19840,90,0,86,0,BRONZE_III,40,18,22296,20,0,35,0,BRONZE_III,75,17,16999,9,0,25,0,IRON,I,33,15,13968,85,0,99,0,BRONZE_II,60,18,19461,55,0,60,0,BRONZE_III,7,17,17500,347,0,316,0,BRONZE_II,0,18,25149,292,0,281,0,SILVER_IV,19,18,18708,299,0,286,0,BRONZE_I,21,17,16842
69,0,67,0,BRONZE_III,18,13,10809,69,0,67,0,BRONZE_III,18,11,7763,27,0,33,0,BRONZE_II,33,14,12183,20,0,35,0,BRONZE_III,75,12,9275,9,0,25,0,IRON,I,33,13,10231,49,0,55,0,IRON_I,11,16,14878,49,0,55,0,IRON_I,11,13,11369,57,0,50,0,BRONZE_I,21,14,12730,13,0,8,0,BRONZE_III,42,11,8536,15,0,9,0,BRONZE_III,61,12,9632
20,0,35,0,BRONZE_III,75,12,8972,157,0,165,0,BRONZE_III,75,13,11371,80,0,112,0,BRONZE_IV,0,2,376,76,0,89,0,BRONZE_III,85,13,10639,9,0,25,0,IRON,I,33,13,10643,174,0,186,0,SILVER_III,23,15,13318,193,0,160,0,SILVER_IV,15,15,13403,331,0,339,0,BRONZE_II,75,13,10280,238,0,210,0,SILVER_II,0,14,11566,7,0,15,0,IRON_II,48,12,8582
