rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience
9,0,29,0,IRON_II,47,18,20702,146,0,145,0,IRON,I,23,18,22316,73,0,121,0,IRON_III,60,18,21475,318,0,318,0,IRON_III,50,18,24713,321,0,322,0,IRON_I,94,18,25041,125,0,109,0,IRON_I,100,18,26500,140,0,154,0,IRON_III,71,18,24562,79,0,77,0,IRON_II,91,18,23640,149,0,164,0,BRONZE_IV,0,18,25406,152,0,160,0,BRONZE_III,46,18,20674
86,0,88,0,BRONZE_III,0,10,6875,146,0,145,0,IRON,I,23,9,5852,165,0,168,0,IRON_III,92,9,5779,144,0,129,0,BRONZE_I,14,7,3469,78,0,85,0,BRONZE_II,69,7,3834,488,0,516,0,IRON_I,0,10,7185,23,0,46,0,IRON_I,0,10,6192,146,0,129,0,BRONZE_II,55,11,7636,40,0,53,0,IRON_I,4,10,6441,110,0,138,0,BRONZE_IV,27,8,4323
216,0,242,0,BRONZE_III,31,18,20617,146,0,145,0,IRON,I,23,18,19110,171,0,177,0,BRONZE_IV,10,18,20437,45,0,48,0,BRONZE_III,27,18,22091,87,0,114,0,BRONZE_IV,15,18,20723,150,0,153,0,BRONZE_IV,0,18,18639,78,0,100,0,BRONZE_IV,54,16,16008,146,0,129,0,BRONZE_II,55,17,18234,98,0,105,0,BRONZE_II,11,17,16668,37,0,41,0,BRONZE_IV,74,17,16706
395,0,432,0,IRON_III,64,16,15127,146,0,145,0,IRON,I,23,16,15151,62,0,75,0,BRONZE_IV,72,15,14074,116,0,110,0,BRONZE_IV,64,17,17088,222,0,208,0,BRONZE_II,32,16,14855,52,0,56,0,IRON_II,18,17,18228,133,0,165,0,BRONZE_III,17,17,17629,232,0,278,0,IRON_II,89,3,740,161,0,205,0,BRONZE_IV,0,17,18146,260,0,281,0,BRONZE_III,61,18,20726
5,0,8,0,SILVER_IV,10,11,8427,89,0,100,0,SILVER_II,11,11,8051,57,0,54,0,BRONZE_II,45,13,11208,35,0,36,0,SILVER_III,74,11,7433,124,0,123,0,IRON,I,20,11,7724,124,0,123,0,IRON_I,20,13,10989,124,0,123,0,IRON_I,20,12,8913,104,0,95,0,GOLD_IV,91,14,12602,52,0,56,0,SILVER_II,3,12,9687,160,0,155,0,GOLD_II,63,11,7670
60,0,71,0,BRONZE_II,28,16,15848,223,0,203,0,BRONZE_II,30,17,17157,47,0,54,0,BRONZE_II,45,16,14769,35,0,36,0,SILVER_III,74,13,10647,124,0,123,0,IRON,I,20,14,11915,87,0,95,0,BRONZE_III,60,14,11747,122,0,137,0,BRONZE_II,0,13,9981,9,0,24,0,BRONZE_III,59,14,12577,66,0,76,0,BRONZE_II,42,12,9081,24,0,27,0,BRONZE_III,24,11,8373
197,0,197,0,BRONZE_I,5,15,13045,89,0,82,0,BRONZE_II,81,13,11330,35,0,36,0,SILVER_III,74,12,9325,13,0,10,0,BRONZE_I,8,11,8326,124,0,123,0,IRON,I,20,13,10171,4,0,11,0,BRONZE_III,57,13,11413,3,0,11,0,BRONZE_III,12,13,10957,57,0,82,0,BRONZE_III,69,14,12378,12,0,14,0,BRONZE_III,75,14,11720,8,0,9,0,BRONZE_IV,85,13,10081
403,0,434,0,BRONZE_IV,12,17,17699,178,0,196,0,BRONZE_IV,9,18,21639,11,0,31,0,BRONZE_IV,11,17,16910,23,0,34,0,IRON_II,25,17,17371,124,0,123,0,IRON,I,20,18,19480,218,0,214,0,IRON_II,29,17,17007,52,0,76,0,IRON_II,38,15,14684,28,0,44,0,BRONZE_IV,14,17,17095,95,0,112,0,IRON_II,15,15,14590,83,0,100,0,BRONZE_IV,68,14,12624
147,0,148,0,SILVER_IV,0,17,17875,72,0,50,0,BRONZE_III,59,14,12322,5,0,16,0,IRON,I,13,14,12794,73,0,79,0,BRONZE_III,45,14,12965,122,0,136,0,BRONZE_IV,19,12,9931,35,0,46,0,BRONZE_III,78,15,14152,195,0,201,0,SILVER_IV,14,16,15304,22,0,26,0,BRONZE_IV,35,16,16120,18,0,27,0,BRONZE_IV,49,17,17670,16,0,30,0,BRONZE_IV,69,15,14287
40,0,46,0,BRONZE_II,2,18,18439,40,0,46,0,BRONZE_II,2,16,16082,40,0,46,0,BRONZE_II,2,17,16569,21,0,30,0,BRONZE_IV,19,14,12364,14,0,13,0,IRON,I,49,14,12112,114,0,98,0,GOLD_II,12,17,17855,28,0,42,0,BRONZE_II,59,15,13430,19,0,19,0,BRONZE_I,59,15,14222,19,0,19,0,BRONZE_I,59,15,13078,55,0,70,0,BRONZE_I,33,14,11931
40,0,46,0,BRONZE_II,2,18,22585,40,0,46,0,BRONZE_II,2,18,21354,14,0,17,0,BRONZE_II,96,16,16272,23,0,19,0,BRONZE_I,100,16,15330,14,0,13,0,IRON,I,49,15,14568,20,0,17,0,GOLD_IV,22,18,19338,9,0,9,0,BRONZE_II,30,15,14360,5,0,6,0,BRONZE_II,15,15,14378,77,0,76,0,SILVER_III,76,15,13775,77,0,76,0,SILVER_III,76,14,11476
40,0,46,0,BRONZE_II,2,15,13303,61,0,46,0,SILVER_IV,97,14,11635,94,0,86,0,GOLD_III,34,17,17671,37,0,29,0,SILVER_II,78,15,14289,14,0,13,0,IRON,I,49,13,10826,77,0,76,0,SILVER_III,76,17,17515,77,0,76,0,SILVER_III,76,17,16874,117,0,112,0,GOLD_IV,92,15,14210,117,0,112,0,GOLD_IV,92,16,16153,117,0,112,0,GOLD_IV,92,15,13612
40,0,46,0,BRONZE_II,2,15,14198,117,0,146,0,SILVER_IV,0,15,13773,122,0,139,0,SILVER_IV,5,17,16958,9,0,5,0,SILVER_I,1,15,13060,14,0,13,0,IRON,I,49,13,9969,156,0,160,0,GOLD_II,21,17,17992,156,0,160,0,GOLD_II,21,14,11697,156,0,160,0,GOLD_II,21,15,14270,156,0,160,0,GOLD_II,21,13,10672,7,0,16,0,BRONZE_II,16,13,11207
40,0,46,0,BRONZE_II,2,15,13909,10,0,9,0,BRONZE_I,6,14,11556,52,0,53,0,SILVER_II,1,14,12361,190,0,185,0,GOLD_IV,6,13,10892,14,0,13,0,IRON,I,49,12,8975,14,0,13,0,IRON_I,49,15,13773,96,0,88,0,BRONZE_IV,98,14,12823,391,0,395,0,GOLD_IV,33,15,13163,246,0,237,0,GOLD_III,14,15,14627,119,0,105,0,PLATINUM_IV,75,14,12027
72,0,78,0,IRON_III,37,13,11436,177,0,173,0,IRON_I,29,15,13564,9,0,13,0,IRON,I,70,13,10631,15,0,14,0,BRONZE_IV,57,15,13171,7,0,28,0,IRON_I,17,13,10681,46,0,52,0,BRONZE_III,73,13,11408,101,0,126,0,BRONZE_IV,26,13,10684,59,0,42,0,BRONZE_III,4,13,10680,63,0,100,0,IRON_III,16,11,7479,116,0,136,0,IRON_II,75,10,6735
174,0,183,0,IRON_I,14,9,5851,62,0,75,0,BRONZE_IV,72,18,25826,9,0,13,0,IRON,I,70,18,30069,35,0,27,0,BRONZE_III,55,18,25002,63,0,71,0,IRON_IV,40,18,19214,40,0,56,0,BRONZE_IV,71,18,28145,50,0,75,0,IRON_II,18,2,500,251,0,262,0,BRONZE_IV,0,18,22646,42,0,56,0,BRONZE_III,0,18,22680,29,0,57,0,IRON_II,2,18,21233
35,0,55,0,BRONZE_IV,0,17,16718,321,0,322,0,IRON_I,94,18,23327,9,0,13,0,IRON,I,70,17,17173,88,0,95,0,BRONZE_IV,15,17,16923,337,0,341,0,BRONZE_III,0,14,11754,195,0,192,0,BRONZE_I,41,18,19739,274,0,301,0,BRONZE_IV,0,18,19790,204,0,213,0,BRONZE_III,15,18,19683,41,0,65,0,BRONZE_IV,13,18,20340,10,0,41,0,IRON_II,40,3,907
76,0,93,0,BRONZE_III,47,13,11335,29,0,30,0,BRONZE_IV,36,15,14302,9,0,13,0,IRON,I,70,13,11046,262,0,268,0,BRONZE_II,0,15,13047,244,0,208,0,BRONZE_IV,42,13,10239,74,0,84,0,BRONZE_III,27,13,10914,111,0,134,0,BRONZE_IV,0,11,7567,347,0,354,0,BRONZE_III,39,12,9418,400,0,409,0,BRONZE_IV,34,11,8503,192,0,221,0,BRONZE_IV,13,12,9367
95,0,108,0,IRON_II,65,14,11735,155,0,174,0,IRON_II,88,13,10876,9,0,13,0,IRON,I,70,13,11166,37,0,40,0,IRON_II,23,12,9934,42,0,54,0,BRONZE_III,12,10,7274,212,0,236,0,BRONZE_IV,88,14,12473,404,0,392,0,BRONZE_IV,37,13,10955,187,0,164,0,BRONZE_II,82,14,12286,176,0,188,0,IRON_I,60,14,12073,272,0,288,0,BRONZE_IV,75,13,10258
26,0,48,0,BRONZE_III,0,16,14927,20,0,29,0,IRON_II,75,12,9139,69,0,79,0,BRONZE_III,13,13,10190,80,0,90,0,IRON_IV,51,12,9092,107,0,123,0,BRONZE_IV,82,12,8660,285,0,298,0,BRONZE_IV,0,13,10507,34,0,31,0,IRON_I,45,10,7282,179,0,160,0,BRONZE_IV,14,13,10806,23,0,34,0,BRONZE_IV,1,11,7849,23,0,20,0,IRON,I,71,11,7712
53,0,79,0,IRON_II,49,14,12598,244,0,240,0,IRON_I,42,16,14977,455,0,469,0,BRONZE_IV,25,14,12050,455,0,469,0,BRONZE_IV,25,13,11138,232,0,222,0,IRON_I,89,15,13136,148,0,150,0,IRON_III,92,17,17296,67,0,85,0,BRONZE_IV,0,16,14717,274,0,312,0,IRON_IV,75,15,13825,64,0,86,0,BRONZE_IV,0,15,14104,23,0,20,0,IRON,I,71,15,13674
58,0,68,0,BRONZE_II,57,10,7029,12,0,14,0,IRON,I,5,10,6345,84,0,92,0,IRON_I,66,10,6772,116,0,119,0,SILVER_IV,88,9,5728,11,0,7,0,SILVER_II,16,9,5334,49,0,66,0,SILVER_IV,41,12,9530,132,0,116,0,SILVER_IV,73,12,8619,14,0,12,0,BRONZE_I,58,11,7655,435,0,416,0,GOLD_II,42,12,8697,11,0,17,0,SILVER_IV,67,11,7524
58,0,68,0,BRONZE_II,57,12,9885,12,0,14,0,IRON,I,5,13,10342,11,0,7,0,SILVER_II,16,12,9858,116,0,119,0,SILVER_IV,88,12,9815,84,0,92,0,IRON_I,66,10,6648,60,0,47,0,SILVER_I,2,13,10694,213,0,201,0,GOLD_II,87,13,11346,127,0,135,0,GOLD_IV,38,16,15016,26,0,35,0,IRON_I,27,12,9925,80,0,85,0,BRONZE_IV,0,11,8228
58,0,68,0,BRONZE_II,57,15,13174,12,0,14,0,IRON,I,5,15,14291,11,0,7,0,SILVER_II,16,17,17029,116,0,119,0,SILVER_IV,88,13,10613,84,0,92,0,IRON_I,66,14,12371,73,0,76,0,SILVER_III,7,16,14911,28,0,35,0,SILVER_IV,39,14,12735,361,0,358,0,GOLD_IV,0,15,14588,104,0,114,0,SILVER_III,54,15,13759,104,0,114,0,SILVER_III,54,14,12531
117,0,130,0,BRONZE_IV,13,13,10884,10,0,15,0,IRON,I,48,11,7991,103,0,118,0,BRONZE_I,33,14,12351,101,0,89,0,BRONZE_II,52,13,11109,42,0,47,0,BRONZE_II,14,12,9246,225,0,228,0,SILVER_III,48,17,17318,19,0,23,0,IRON_II,89,13,9965,96,0,96,0,BRONZE_I,11,15,13379,154,0,142,0,SILVER_IV,79,13,10986,285,0,321,0,BRONZE_IV,61,12,9685
168,0,168,0,IRON_I,75,13,10399,151,0,144,0,BRONZE_II,10,15,13742,23,0,62,0,IRON_IV,0,14,12009,48,0,67,0,BRONZE_IV,19,14,12001,133,0,139,0,IRON,I,3,12,8624,81,0,115,0,BRONZE_III,28,16,16016,140,0,171,0,IRON_III,56,15,13845,284,0,279,0,BRONZE_IV,44,17,17153,20,0,36,0,BRONZE_III,55,14,12338,22,0,42,0,BRONZE_IV,0,14,12805
22,0,34,0,BRONZE_IV,0,14,11945,61,0,48,0,BRONZE_IV,16,10,7110,22,0,14,0,SILVER_II,0,13,10461,10,0,17,0,BRONZE_IV,89,11,7474,133,0,139,0,IRON,I,3,9,5920,20,0,18,0,BRONZE_II,79,6,3107,6,0,11,0,IRON_I,59,9,5996,4,0,12,0,IRON_I,51,10,7230,32,0,41,0,BRONZE_III,1,10,6154,221,0,213,0,IRON_II,57,9,5542
91,0,102,0,BRONZE_IV,53,16,15222,91,0,93,0,IRON_I,2,16,16161,16,0,43,0,IRON_III,75,14,11970,18,0,58,0,IRON_IV,0,11,8390,133,0,139,0,IRON,I,3,14,12753,391,0,413,0,IRON_II,87,16,16467,111,0,122,0,IRON_I,0,17,16739,128,0,215,0,IRON_IV,0,15,13707,264,0,290,0,IRON_III,24,14,12422,274,0,286,0,IRON_I,15,15,13409
174,0,198,0,BRONZE_IV,65,18,19388,334,0,348,0,BRONZE_IV,0,16,14898,582,0,576,0,BRONZE_III,75,17,18271,108,0,115,0,BRONZE_IV,15,12,9872,133,0,139,0,IRON,I,3,15,13346,152,0,158,0,BRONZE_III,25,14,11823,220,0,221,0,BRONZE_III,15,13,10407,381,0,391,0,BRONZE_IV,12,15,13295,56,0,59,0,BRONZE_IV,67,14,12618,40,0,67,0,IRON_I,100,14,11733
273,0,245,0,IRON,I,67,16,15950,75,0,96,0,IRON_I,0,13,11361,27,0,47,0,IRON_I,75,13,10861,47,0,62,0,IRON_III,75,13,10410,290,0,305,0,BRONZE_IV,0,14,11747,290,0,305,0,BRONZE_IV,0,15,13814,237,0,227,0,IRON_II,95,16,15571,5,0,8,0,IRON_I,12,16,16129,43,0,53,0,IRON_I,61,15,14567,58,0,65,0,BRONZE_III,12,13,11180
273,0,245,0,IRON,I,67,16,16367,106,0,111,0,IRON_IV,97,16,15346,44,0,58,0,IRON_II,83,15,13183,131,0,155,0,BRONZE_IV,41,15,13346,59,0,68,0,BRONZE_IV,41,13,10629,25,0,32,0,BRONZE_III,5,16,15257,107,0,115,0,BRONZE_IV,61,15,13370,67,0,94,0,BRONZE_IV,0,12,9351,126,0,129,0,BRONZE_IV,13,14,11589,35,0,59,0,IRON_I,10,11,7570
273,0,245,0,IRON,I,67,10,6939,204,0,198,0,BRONZE_IV,0,9,5103,76,0,85,0,IRON_II,56,8,5013,619,0,629,0,IRON_III,24,7,3968,221,0,232,0,BRONZE_IV,13,7,4031,101,0,110,0,BRONZE_IV,44,11,7694,312,0,312,0,IRON_I,15,10,6816,61,0,78,0,BRONZE_IV,15,11,8447,71,0,91,0,BRONZE_IV,30,10,6130,27,0,40,0,IRON_III,47,9,5613
273,0,245,0,IRON,I,67,18,20343,399,0,415,0,BRONZE_III,9,18,19849,460,0,453,0,BRONZE_IV,75,18,20721,523,0,532,0,BRONZE_IV,61,17,17168,499,0,536,0,IRON_II,20,16,14713,176,0,198,0,BRONZE_IV,49,18,19166,77,0,94,0,BRONZE_IV,59,16,14759,312,0,316,0,BRONZE_IV,39,17,17785,2,0,9,0,IRON_II,68,18,20752,177,0,177,0,BRONZE_IV,0,15,13810
273,0,245,0,IRON,I,67,14,11831,56,0,78,0,BRONZE_IV,13,13,10517,84,0,103,0,BRONZE_III,61,13,10594,70,0,84,0,BRONZE_IV,0,13,10378,419,0,407,0,BRONZE_III,4,12,8641,22,0,53,0,IRON_I,0,11,7918,70,0,92,0,BRONZE_III,20,10,7131,30,0,62,0,IRON_I,9,12,9935,106,0,127,0,BRONZE_IV,0,11,7682,42,0,82,0,IRON_IV,22,10,7007
131,0,149,0,BRONZE_IV,81,12,8794,48,0,73,0,IRON,I,6,10,7093,40,0,66,0,IRON_III,42,11,7322,30,0,28,0,IRON_I,68,9,5726,28,0,36,0,IRON_II,76,10,6242,406,0,443,0,BRONZE_IV,51,15,13430,58,0,66,0,IRON_II,76,13,10175,158,0,235,0,IRON_II,0,14,11693,84,0,106,0,BRONZE_III,0,10,7049,222,0,304,0,IRON_II,31,11,8229
82,0,113,0,IRON_I,74,11,7882,48,0,73,0,IRON,I,6,9,5306,23,0,41,0,BRONZE_III,1,12,9195,45,0,63,0,IRON_I,1,8,4574,30,0,38,0,BRONZE_IV,34,8,4343,201,0,210,0,BRONZE_IV,71,7,4015,285,0,333,0,IRON_II,7,8,4478,317,0,484,0,IRON_IV,0,9,5955,24,0,48,0,BRONZE_IV,31,8,4857,21,0,46,0,IRON_III,45,8,5016
83,0,81,0,SILVER_III,44,15,14484,48,0,73,0,IRON,I,6,13,10503,47,0,52,0,BRONZE_III,35,14,12863,101,0,111,0,BRONZE_II,22,13,10682,139,0,169,0,BRONZE_III,8,12,9796,13,0,28,0,BRONZE_III,0,16,15248,40,0,50,0,BRONZE_III,45,16,15845,8,0,20,0,BRONZE_III,26,14,11756,398,0,369,0,BRONZE_I,36,14,11948,34,0,53,0,BRONZE_III,52,16,16407
83,0,81,0,SILVER_III,44,17,17844,48,0,73,0,IRON,I,6,15,13542,228,0,239,0,BRONZE_I,26,17,16922,101,0,107,0,BRONZE_III,55,15,14125,34,0,50,0,BRONZE_III,62,13,10458,83,0,96,0,BRONZE_IV,60,14,11982,9,0,23,0,SILVER_IV,0,16,14990,21,0,35,0,BRONZE_II,16,18,19939,26,0,34,0,SILVER_III,2,18,18722,9,0,21,0,BRONZE_II,0,14,11493
122,0,120,0,BRONZE_II,65,11,8444,48,0,73,0,IRON,I,6,12,9457,203,0,193,0,SILVER_I,28,13,11173,83,0,81,0,SILVER_III,44,11,7885,8,0,4,0,SILVER_II,1,12,8634,59,0,83,0,GOLD_IV,12,15,13476,59,0,83,0,GOLD_IV,12,12,9810,70,0,69,0,SILVER_III,55,13,10700,9,0,15,0,BRONZE_I,30,12,8929,9,0,15,0,BRONZE_I,30,11,7496
70,0,71,0,BRONZE_III,51,18,19540,29,0,41,0,BRONZE_IV,0,18,19107,27,0,25,0,BRONZE_II,62,18,18949,7,0,9,0,IRON,I,100,18,18861,48,0,63,0,BRONZE_IV,97,18,18550,66,0,67,0,BRONZE_I,29,17,17022,11,0,10,0,BRONZE_IV,17,15,13739,157,0,155,0,BRONZE_II,44,18,20737,280,0,278,0,SILVER_IV,3,15,13505,27,0,32,0,BRONZE_IV,82,16,15019
18,0,37,0,BRONZE_IV,11,12,9017,58,0,66,0,BRONZE_III,18,12,9608,112,0,130,0,BRONZE_IV,90,13,10489,7,0,9,0,IRON,I,100,14,11964,9,0,21,0,IRON_I,18,10,7288,71,0,65,0,BRONZE_IV,0,14,12952,363,0,335,0,BRONZE_II,13,14,11887,59,0,54,0,BRONZE_II,0,14,12412,13,0,12,0,BRONZE_I,2,15,13097,8,0,12,0,BRONZE_IV,5,11,8310
18,0,37,0,BRONZE_IV,11,17,17763,19,0,14,0,SILVER_IV,21,16,15053,86,0,92,0,IRON_I,0,15,13816,7,0,9,0,IRON,I,100,15,14590,18,0,22,0,BRONZE_IV,94,12,9364,303,0,303,0,BRONZE_III,88,14,12659,38,0,38,0,BRONZE_IV,75,12,9790,11,0,19,0,IRON_I,57,13,10571,246,0,254,0,BRONZE_III,44,13,11390,41,0,33,0,BRONZE_III,92,12,8653
18,0,37,0,BRONZE_IV,11,12,9661,31,0,32,0,BRONZE_III,7,13,11233,11,0,17,0,IRON_I,80,10,6417,7,0,9,0,IRON,I,100,12,9899,27,0,31,0,BRONZE_III,16,10,7131,264,0,247,0,BRONZE_I,51,12,9738,206,0,196,0,GOLD_IV,2,13,11340,133,0,117,0,BRONZE_III,50,13,10066,17,0,24,0,BRONZE_II,51,12,9832,34,0,27,0,BRONZE_III,56,12,8998
566,0,536,0,SILVER_IV,0,18,21027,18,0,37,0,BRONZE_IV,11,18,21521,137,0,113,0,SILVER_III,50,18,21136,7,0,9,0,IRON,I,100,18,19270,66,0,76,0,BRONZE_III,88,17,16811,91,0,92,0,BRONZE_II,0,18,19931,21,0,26,0,BRONZE_III,18,18,19284,18,0,15,0,GOLD_IV,32,18,21017,19,0,30,0,BRONZE_IV,0,18,20032,160,0,139,0,IRON_I,55,16,16136
57,0,60,0,BRONZE_I,10,14,12535,203,0,217,0,BRONZE_III,18,13,11167,164,0,157,0,BRONZE_II,0,14,12548,5,0,11,0,IRON_I,48,12,9590,59,0,74,0,BRONZE_IV,75,12,9012,44,0,50,0,BRONZE_III,58,13,10233,271,0,241,0,SILVER_IV,47,11,7544,5,0,9,0,IRON,I,45,12,9110,28,0,28,0,BRONZE_III,0,11,8118,355,0,354,0,SILVER_IV,43,10,6826
220,0,229,0,BRONZE_III,91,16,15256,235,0,233,0,BRONZE_II,44,16,14786,78,0,74,0,BRONZE_I,18,17,16672,13,0,21,0,BRONZE_III,60,14,12692,117,0,138,0,IRON_II,50,14,11528,96,0,84,0,BRONZE_I,45,15,13564,122,0,135,0,BRONZE_III,83,14,12793,5,0,9,0,IRON,I,45,14,12349,435,0,430,0,SILVER_III,13,12,9950,126,0,146,0,IRON_II,17,12,9610
295,0,301,0,BRONZE_III,63,18,20496,69,0,73,0,BRONZE_III,21,17,17575,1027,0,1016,0,SILVER_IV,30,17,16830,139,0,147,0,BRONZE_II,60,17,18159,78,0,78,0,BRONZE_III,47,16,16298,16,0,28,0,BRONZE_IV,52,17,18134,421,0,407,0,BRONZE_I,37,17,17101,5,0,9,0,IRON,I,45,16,15950,72,0,90,0,BRONZE_IV,0,16,15171,37,0,35,0,BRONZE_II,49,16,15018
322,0,291,0,SILVER_III,35,18,19781,95,0,88,0,BRONZE_IV,12,13,10663,93,0,102,0,BRONZE_III,0,14,12768,260,0,230,0,SILVER_II,32,15,13877,40,0,51,0,BRONZE_III,0,14,11634,140,0,154,0,BRONZE_III,8,18,18971,181,0,189,0,BRONZE_III,20,17,18239,5,0,9,0,IRON,I,45,16,15489,238,0,255,0,BRONZE_III,88,16,16106,95,0,106,0,BRONZE_III,54,15,14153
161,0,147,0,SILVER_IV,10,18,22376,54,0,60,0,BRONZE_II,0,16,16099,328,0,356,0,BRONZE_III,62,16,14801,53,0,57,0,BRONZE_III,71,17,17603,33,0,41,0,BRONZE_III,44,16,16120,100,0,108,0,BRONZE_II,0,16,16391,203,0,208,0,BRONZE_I,67,18,22234,5,0,9,0,IRON,I,45,17,16728,59,0,58,0,BRONZE_III,75,14,11704,57,0,51,0,BRONZE_II,33,17,18073
23,0,42,0,BRONZE_III,38,18,19593,23,0,42,0,BRONZE_III,38,18,19050,184,0,188,0,SILVER_IV,46,17,16612,209,0,199,0,BRONZE_I,8,15,14377,192,0,180,0,SILVER_IV,73,15,14024,72,0,82,0,SILVER_IV,17,15,14646,90,0,78,0,SILVER_IV,0,18,19741,179,0,164,0,SILVER_IV,0,16,16110,36,0,52,0,SILVER_III,19,16,15893,7,0,19,0,IRON,I,51,15,13061
3,0,7,0,IRON_I,49,12,9206,14,0,22,0,BRONZE_II,3,11,7903,14,0,22,0,BRONZE_II,3,13,10743,29,0,43,0,BRONZE_III,23,13,10403,165,0,198,0,IRON,I,38,12,9118,189,0,187,0,BRONZE_I,44,15,13521,189,0,187,0,BRONZE_I,44,14,12486,7,0,15,0,BRONZE_III,64,13,11038,12,0,15,0,BRONZE_IV,75,11,8150,211,0,268,0,IRON_III,18,11,8571
29,0,65,0,IRON_III,29,13,10981,59,0,74,0,BRONZE_IV,41,16,16232,254,0,275,0,BRONZE_III,70,15,13985,204,0,208,0,IRON_II,93,11,7948,165,0,198,0,IRON,I,38,12,9752,10,0,44,0,IRON_IV,75,18,19362,183,0,152,0,BRONZE_III,37,15,13218,33,0,61,0,IRON_II,14,14,12024,209,0,250,0,BRONZE_IV,45,13,10996,117,0,137,0,IRON_III,82,13,10806
43,0,58,0,BRONZE_III,33,18,22100,204,0,198,0,BRONZE_IV,0,18,22812,70,0,66,0,BRONZE_III,9,18,22298,25,0,39,0,IRON_I,0,18,21583,25,0,38,0,BRONZE_III,11,18,18825,218,0,222,0,BRONZE_IV,66,18,19373,120,0,112,0,BRONZE_IV,56,18,19564,305,0,324,0,IRON_I,100,18,21498,160,0,168,0,BRONZE_III,48,18,22476,20,0,21,0,IRON,I,75,17,17999
81,0,79,0,BRONZE_IV,0,14,11842,28,0,40,0,BRONZE_IV,18,13,11258,8,0,10,0,IRON_I,41,13,10440,137,0,162,0,BRONZE_IV,3,12,9952,141,0,180,0,IRON_III,75,11,7484,224,0,210,0,BRONZE_IV,55,15,14470,208,0,198,0,BRONZE_IV,23,14,11569,218,0,214,0,IRON_II,29,15,13678,76,0,77,0,BRONZE_III,29,13,11437,20,0,21,0,IRON,I,75,14,11528
20,0,21,0,IRON_I,75,3,837,110,0,127,0,BRONZE_III,14,3,790,21,0,44,0,IRON_IV,7,3,1055,383,0,455,0,IRON_III,27,2,376,72,0,137,0,IRON_IV,32,2,646,62,0,78,0,BRONZE_IV,22,3,904,91,0,87,0,IRON_II,18,3,685,202,0,220,0,BRONZE_IV,0,3,965,55,0,81,0,BRONZE_IV,9,3,872,20,0,21,0,IRON,I,75,1,0
5,0,31,0,IRON_II,23,17,16657,90,0,102,0,IRON_II,21,18,20500,151,0,151,0,BRONZE_IV,74,18,20331,268,0,258,0,BRONZE_IV,1,18,24284,73,0,69,0,IRON_III,39,15,14207,75,0,100,0,IRON_III,21,18,21798,172,0,174,0,BRONZE_IV,93,18,23293,591,0,582,0,BRONZE_IV,16,18,24742,92,0,99,0,IRON_II,0,17,17441,20,0,21,0,IRON,I,75,17,17713
19,0,37,0,IRON,I,26,14,12257,5,0,9,0,IRON_I,26,15,13222,34,0,36,0,IRON_II,9,16,15571,121,0,151,0,BRONZE_IV,84,15,13192,246,0,245,0,IRON_III,32,13,10464,78,0,91,0,BRONZE_IV,41,15,14240,702,0,839,0,IRON_II,17,17,16689,172,0,241,0,IRON_II,84,16,15497,259,0,285,0,BRONZE_IV,40,15,14527,4,0,27,0,BRONZE_IV,13,13,9966
345,0,313,0,BRONZE_II,3,15,13607,51,0,69,0,BRONZE_IV,33,12,9313,6,0,18,0,IRON_III,20,11,7604,163,0,166,0,BRONZE_III,22,11,8304,13,0,16,0,IRON,I,50,11,8350,115,0,114,0,BRONZE_IV,36,13,10720,371,0,334,0,SILVER_IV,53,13,10468,243,0,287,0,IRON_I,0,15,13362,162,0,181,0,IRON_II,41,14,11968,125,0,154,0,IRON_III,47,13,10573
