ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
33,0,39,0,BRONZE_III,50,14,12878,114,0,120,0,IRON_I,100,12,9170,195,0,198,0,BRONZE_IV,20,15,13226,226,0,335,0,IRON_IV,52,13,10020,9,0,5,0,IRON_I,92,10,7004,150,0,194,0,IRON,IV,75,12,8827,50,0,75,0,BRONZE_IV,13,12,9039,18,0,30,0,BRONZE_IV,55,11,8211,78,0,68,0,BRONZE_II,23,11,8290,38,0,48,0,IRON_IV,62,11,7842
1177,0,1162,0,BRONZE_IV,0,3,904,180,0,163,0,BRONZE_III,56,3,1003,162,0,155,0,IRON_II,56,4,1175,98,0,111,0,IRON_III,48,2,564,17,0,24,0,IRON_I,100,3,745,150,0,194,0,IRON,IV,75,1,0,141,0,186,0,BRONZE_IV,14,3,840,77,0,87,0,BRONZE_IV,67,3,691,300,0,302,0,BRONZE_III,29,2,433,84,0,101,0,BRONZE_IV,18,2,554
229,0,238,0,IRON_II,15,14,11907,122,0,122,0,BRONZE_III,47,15,14097,140,0,193,0,BRONZE_IV,0,15,14007,23,0,23,0,BRONZE_IV,0,15,13141,30,0,73,0,IRON_IV,0,12,8954,71,0,64,0,BRONZE_IV,75,16,16227,133,0,126,0,BRONZE_II,17,11,7581,5,0,61,0,IRON,IV,0,14,12520,63,0,73,0,BRONZE_II,31,14,12310,136,0,162,0,IRON_III,43,12,8815
132,0,126,0,BRONZE_IV,0,15,13549,95,0,98,0,IRON_III,91,12,8706,69,0,67,0,BRONZE_IV,0,14,11600,15,0,30,0,IRON_I,84,11,7753,165,0,244,0,IRON_IV,75,11,7609,61,0,76,0,IRON_II,0,11,8518,86,0,114,0,IRON_II,95,10,6711,5,0,61,0,IRON,IV,0,10,6911,258,0,249,0,BRONZE_II,48,11,8236,6,0,33,0,IRON_II,31,9,5066
213,0,253,0,IRON_IV,75,18,20388,73,0,98,0,BRONZE_IV,40,16,15505,106,0,115,0,IRON_II,44,18,19495,119,0,143,0,IRON_II,43,17,16555,55,0,57,0,BRONZE_II,29,13,11421,55,0,88,0,IRON_III,4,18,21716,55,0,76,0,IRON_II,42,15,13785,5,0,61,0,IRON,IV,0,18,19349,26,0,32,0,IRON_III,72,18,19687,16,0,59,0,IRON_IV,0,14,12200
109,0,95,0,BRONZE_IV,0,13,10465,191,0,188,0,BRONZE_IV,46,11,8546,100,0,122,0,BRONZE_IV,3,11,8211,100,0,101,0,BRONZE_I,50,13,10476,139,0,163,0,IRON_III,0,9,5599,633,0,611,0,BRONZE_III,0,14,12790,31,0,49,0,IRON_I,33,8,4243,5,0,61,0,IRON,IV,0,11,7752,272,0,272,0,BRONZE_IV,23,13,10380,173,0,194,0,BRONZE_III,75,11,8057
94,0,120,0,IRON_I,20,11,8231,31,0,45,0,BRONZE_III,7,11,7819,166,0,181,0,BRONZE_IV,0,13,10274,74,0,62,0,BRONZE_III,48,11,8125,175,0,127,0,BRONZE_III,0,11,8077,97,0,107,0,BRONZE_III,0,12,9345,140,0,180,0,IRON_I,68,8,4460,5,0,61,0,IRON,IV,0,8,4850,111,0,127,0,IRON_IV,23,12,9828,173,0,194,0,BRONZE_III,75,8,4661
106,0,68,0,BRONZE_II,39,12,9653,196,0,197,0,BRONZE_IV,69,12,8796,38,0,46,0,IRON_III,16,11,7955,214,0,229,0,BRONZE_II,14,11,8218,107,0,99,0,BRONZE_IV,1,9,6013,114,0,134,0,IRON_I,19,11,7776,9,0,18,0,IRON,IV,75,9,5735,154,0,179,0,BRONZE_IV,0,12,9429,154,0,166,0,BRONZE_IV,83,10,6935,25,0,71,0,IRON_IV,91,10,6586
41,0,26,0,BRONZE_II,21,14,11701,249,0,250,0,BRONZE_II,17,11,7599,422,0,433,0,IRON_II,30,12,8978,40,0,53,0,IRON_IV,69,11,7715,49,0,41,0,IRON_II,34,11,8269,246,0,219,0,BRONZE_III,87,13,10921,9,0,18,0,IRON,IV,75,10,6722,118,0,141,0,BRONZE_IV,44,13,10000,110,0,131,0,BRONZE_IV,68,10,6947,151,0,183,0,IRON_IV,49,9,5275
47,0,47,0,BRONZE_II,45,16,16142,68,0,75,0,IRON_IV,75,17,17224,482,0,459,0,SILVER_IV,0,16,14982,62,0,52,0,BRONZE_III,12,15,14136,574,0,540,0,BRONZE_II,80,14,11777,4,0,6,0,IRON_I,36,15,13296,9,0,18,0,IRON,IV,75,12,9681,156,0,153,0,BRONZE_IV,25,15,13890,207,0,159,0,BRONZE_I,48,14,12173,196,0,160,0,BRONZE_I,7,13,10384
65,0,57,0,IRON_I,47,18,20336,255,0,250,0,BRONZE_IV,0,16,15623,71,0,83,0,IRON_I,28,14,12595,344,0,360,0,BRONZE_IV,31,15,13602,16,0,30,0,IRON_II,25,14,12194,103,0,99,0,BRONZE_III,11,17,17160,9,0,18,0,IRON,IV,75,16,15347,8,0,16,0,BRONZE_IV,0,17,17998,151,0,144,0,BRONZE_III,72,16,15781,117,0,118,0,BRONZE_III,31,15,14369
24,0,17,0,BRONZE_IV,35,17,18102,467,0,518,0,IRON_III,0,15,13374,23,0,17,0,IRON_I,65,16,16060,86,0,104,0,IRON_IV,78,15,14256,33,0,47,0,BRONZE_IV,53,13,11258,47,0,57,0,BRONZE_IV,45,17,18323,151,0,131,0,IRON_II,39,18,22123,72,0,73,0,SILVER_IV,12,16,15282,107,0,137,0,IRON,IV,29,16,15202,182,0,177,0,IRON_II,59,16,15705
70,0,74,0,IRON_II,29,18,20691,123,0,131,0,BRONZE_IV,85,18,19774,473,0,505,0,BRONZE_IV,9,18,20756,246,0,255,0,IRON_II,4,18,18554,87,0,78,0,IRON_I,100,17,17605,74,0,84,0,BRONZE_IV,78,18,20468,156,0,126,0,BRONZE_II,12,16,15397,21,0,26,0,IRON_I,45,18,23050,107,0,137,0,IRON,IV,29,16,15632,139,0,149,0,IRON_I,78,13,10759
188,0,190,0,BRONZE_IV,21,16,16166,175,0,195,0,BRONZE_IV,50,14,12933,241,0,207,0,BRONZE_III,98,15,14566,155,0,184,0,BRONZE_III,46,17,17193,142,0,175,0,IRON_II,57,14,11733,41,0,39,0,BRONZE_IV,70,15,13752,409,0,407,0,BRONZE_IV,13,16,15868,121,0,122,0,BRONZE_III,90,18,18382,107,0,137,0,IRON,IV,29,16,14989,804,0,792,0,BRONZE_IV,33,16,15679
211,0,225,0,IRON,IV,82,15,14071,174,0,190,0,SILVER_IV,13,17,17261,510,0,494,0,GOLD_IV,16,16,14972,238,0,210,0,GOLD_III,0,17,16961,180,0,165,0,SILVER_IV,44,14,12016,289,0,337,0,SILVER_IV,0,14,12597,152,0,169,0,BRONZE_III,24,14,12667,338,0,311,0,SILVER_II,43,15,13599,125,0,125,0,SILVER_III,26,15,14231,258,0,250,0,BRONZE_III,35,13,10525
211,0,225,0,IRON,IV,82,12,9417,135,0,146,0,BRONZE_IV,3,13,10889,231,0,235,0,BRONZE_II,98,13,10755,111,0,87,0,BRONZE_II,8,13,10007,252,0,252,0,BRONZE_IV,64,10,7245,153,0,206,0,IRON_IV,87,8,4819,392,0,439,0,IRON_III,40,10,6154,281,0,291,0,BRONZE_III,33,13,10299,301,0,327,0,BRONZE_II,0,11,7831,75,0,102,0,BRONZE_IV,22,9,5251
211,0,225,0,IRON,IV,82,9,5064,458,0,447,0,BRONZE_IV,33,6,3165,148,0,175,0,BRONZE_III,43,10,6158,103,0,134,0,IRON_II,16,10,6911,94,0,128,0,BRONZE_IV,75,10,6177,117,0,83,0,GOLD_I,8,14,12666,207,0,236,0,IRON_I,96,10,6516,73,0,77,0,BRONZE_IV,0,12,8665,188,0,185,0,BRONZE_IV,66,10,7255,75,0,95,0,BRONZE_IV,0,9,5873
211,0,225,0,IRON,IV,82,11,7422,48,0,49,0,BRONZE_III,22,12,8958,75,0,75,0,BRONZE_IV,57,11,8399,225,0,271,0,BRONZE_IV,41,11,7336,115,0,86,0,SILVER_I,28,9,5638,30,0,43,0,IRON_IV,0,13,10689,169,0,182,0,IRON_II,19,12,9589,258,0,314,0,IRON_III,19,12,9412,255,0,271,0,BRONZE_IV,21,12,9269,13,0,28,0,BRONZE_IV,30,11,8207
