rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
9,0,3,0,SILVER,IV,57,18,19056,26,0,15,0,GOLD_IV,52,16,15147,14,0,12,0,SILVER_II,87,17,16513,31,0,23,0,GOLD_II,65,12,9675,7,0,9,0,SILVER_IV,16,12,9285,7,0,9,0,SILVER_IV,16,18,21114,7,0,9,0,SILVER_IV,16,18,22407,41,0,36,0,GOLD_I,24,16,15167,124,0,92,0,PLATINUM_IV,40,18,20306,13,0,11,0,SILVER_II,50,16,16308
9,0,3,0,SILVER,IV,57,15,13854,26,0,15,0,GOLD_IV,52,14,12011,7,0,5,0,SILVER_IV,87,15,14109,7,0,5,0,SILVER_IV,87,15,13130,7,0,5,0,SILVER_IV,87,14,11901,11,0,10,0,SILVER_II,16,15,13395,6,0,6,0,SILVER_IV,51,16,15693,7,0,7,0,BRONZE_III,75,12,9263,10,0,8,0,SILVER_II,24,12,9328,22,0,28,0,SILVER_II,0,13,10495
9,0,3,0,SILVER,IV,57,12,8761,26,0,15,0,GOLD_IV,52,11,8509,26,0,15,0,GOLD_IV,52,11,8292,26,0,15,0,GOLD_IV,52,12,9080,26,0,15,0,GOLD_IV,52,11,7779,8,0,14,0,SILVER_III,2,11,8044,155,0,156,0,GOLD_II,77,10,6548,151,0,153,0,GOLD_II,75,9,5894,151,0,153,0,GOLD_II,75,5,2234,151,0,153,0,GOLD_II,75,10,6399
9,0,3,0,SILVER,IV,57,14,11942,26,0,15,0,GOLD_IV,52,13,11203,18,0,12,0,SILVER_II,0,14,12008,8,0,11,0,SILVER_IV,62,12,9659,15,0,13,0,GOLD_IV,1,11,8567,11,0,4,0,BRONZE_I,76,15,13410,11,0,4,0,BRONZE_I,76,14,11989,19,0,30,0,SILVER_IV,75,13,10967,36,0,32,0,PLATINUM_IV,20,14,12739,36,0,35,0,SILVER_I,62,14,12963
264,0,264,0,BRONZE_II,49,18,20164,225,0,264,0,SILVER_IV,24,18,18991,72,0,70,0,BRONZE_I,27,18,22137,134,0,122,0,SILVER_IV,15,18,22476,68,0,59,0,BRONZE_I,63,18,18679,120,0,142,0,BRONZE_II,30,18,19333,194,0,213,0,BRONZE_IV,16,17,17074,169,0,182,0,SILVER_IV,71,18,24360,16,0,31,0,BRONZE_III,63,17,16927,281,0,274,0,SILVER,IV,0,16,15307
62,0,48,0,SILVER_IV,18,17,16528,38,0,44,0,BRONZE_III,36,17,17844,102,0,103,0,BRONZE_II,23,16,15031,43,0,61,0,SILVER_IV,49,17,16580,92,0,78,0,SILVER_III,23,15,13196,256,0,241,0,BRONZE_II,50,15,13326,28,0,21,0,BRONZE_IV,13,17,17081,22,0,19,0,SILVER_I,39,16,15804,16,0,31,0,BRONZE_III,63,12,9824,281,0,274,0,SILVER,IV,0,14,12651
400,0,410,0,SILVER_III,1,18,19573,256,0,261,0,SILVER,IV,36,16,15797,207,0,218,0,SILVER_IV,0,14,12538,477,0,463,0,SILVER_III,35,15,13608,171,0,177,0,SILVER_IV,13,16,14847,289,0,252,0,SILVER_IV,11,18,22279,37,0,42,0,SILVER_IV,1,18,19160,76,0,80,0,SILVER_III,0,18,19539,76,0,60,0,SILVER_IV,20,17,18193,177,0,145,0,SILVER_II,3,16,16205
122,0,141,0,SILVER_IV,12,18,22072,256,0,261,0,SILVER,IV,36,18,20610,386,0,385,0,SILVER_III,16,18,18875,222,0,230,0,SILVER_II,0,16,16352,48,0,60,0,SILVER_IV,48,17,17134,61,0,60,0,SILVER_III,17,18,18363,947,0,957,0,SILVER_III,28,18,20144,105,0,105,0,SILVER_IV,11,18,22800,602,0,626,0,SILVER_IV,0,17,17523,318,0,297,0,SILVER_II,12,17,17994
323,0,318,0,SILVER_III,41,18,20645,256,0,261,0,SILVER,IV,36,17,18298,89,0,105,0,SILVER_IV,30,18,18417,222,0,230,0,SILVER_II,0,16,15896,110,0,123,0,SILVER_III,89,15,13503,41,0,46,0,SILVER_IV,31,17,17154,149,0,140,0,BRONZE_I,63,15,14529,75,0,89,0,SILVER_III,57,16,16020,125,0,152,0,SILVER_IV,14,14,12975,70,0,60,0,SILVER_IV,52,14,12631
48,0,39,0,SILVER_IV,5,18,20966,256,0,261,0,SILVER,IV,36,18,22274,238,0,220,0,SILVER_IV,22,18,21633,331,0,317,0,SILVER_IV,0,17,18228,249,0,218,0,SILVER_IV,21,17,17498,99,0,73,0,SILVER_I,15,18,23850,90,0,101,0,SILVER_III,37,18,21863,147,0,104,0,SILVER_II,78,18,25434,98,0,111,0,SILVER_IV,39,18,18486,513,0,491,0,SILVER_IV,89,18,19268
48,0,39,0,SILVER_IV,5,18,22648,256,0,261,0,SILVER,IV,36,18,27738,578,0,555,0,SILVER_IV,75,18,22542,360,0,357,0,SILVER_IV,14,18,20826,281,0,263,0,SILVER_IV,0,18,20639,58,0,60,0,SILVER_IV,36,18,26642,294,0,272,0,SILVER_III,14,18,21021,239,0,221,0,SILVER_IV,52,18,29026,193,0,206,0,SILVER_III,35,18,25123,24,0,27,0,SILVER_IV,1,17,17987
60,0,76,0,BRONZE_II,0,15,14302,182,0,161,0,SILVER_III,0,15,13758,88,0,101,0,SILVER_III,0,17,17296,49,0,52,0,BRONZE_II,30,15,13895,165,0,153,0,SILVER_II,74,13,10862,173,0,179,0,SILVER,IV,53,14,12508,106,0,66,0,SILVER_IV,44,15,14655,42,0,54,0,SILVER_IV,11,13,11334,130,0,161,0,BRONZE_II,73,12,9925,117,0,106,0,SILVER_IV,75,13,10207
278,0,296,0,SILVER_IV,68,11,8127,297,0,313,0,SILVER_IV,10,12,8922,42,0,52,0,SILVER_IV,22,12,8856,235,0,255,0,BRONZE_II,0,12,9026,47,0,54,0,SILVER_III,5,12,8597,173,0,179,0,SILVER,IV,53,12,9582,124,0,137,0,BRONZE_II,46,12,9451,31,0,34,0,BRONZE_I,56,13,10258,55,0,59,0,BRONZE_III,32,11,8547,117,0,115,0,SILVER_I,56,11,8175
206,0,191,0,SILVER_IV,0,16,14957,255,0,253,0,BRONZE_III,80,13,10892,126,0,120,0,SILVER_IV,28,16,16293,24,0,35,0,SILVER_IV,10,15,13184,15,0,25,0,BRONZE_IV,71,13,10359,173,0,179,0,SILVER,IV,53,17,18345,48,0,32,0,SILVER_II,63,16,15239,542,0,531,0,SILVER_II,68,17,17607,87,0,110,0,BRONZE_I,61,16,14969,138,0,123,0,SILVER_IV,7,13,10134
213,0,204,0,SILVER_IV,12,18,18851,435,0,485,0,SILVER_IV,12,16,16321,81,0,91,0,SILVER_IV,39,16,15757,233,0,249,0,SILVER_III,28,15,14006,199,0,184,0,SILVER_IV,0,14,12545,173,0,179,0,SILVER,IV,53,16,15490,201,0,203,0,SILVER_IV,62,15,13066,117,0,130,0,SILVER_IV,0,16,15748,183,0,185,0,SILVER_IV,15,14,12244,171,0,172,0,SILVER_IV,22,14,12095
148,0,148,0,SILVER_IV,15,15,13390,158,0,145,0,SILVER_IV,69,16,15384,63,0,71,0,BRONZE_I,46,13,10538,345,0,342,0,SILVER_IV,6,12,9022,145,0,153,0,SILVER_IV,0,13,10288,173,0,179,0,SILVER,IV,53,14,12312,24,0,31,0,BRONZE_I,64,16,15976,249,0,210,0,SILVER_III,39,16,15355,143,0,164,0,SILVER_IV,28,13,10783,188,0,203,0,SILVER_IV,0,13,10943
128,0,84,0,SILVER_IV,33,14,12414,175,0,197,0,SILVER_IV,42,15,13471,211,0,195,0,SILVER_IV,0,16,16080,215,0,211,0,SILVER_IV,0,16,15398,72,0,74,0,SILVER_IV,58,14,13013,44,0,56,0,SILVER_IV,0,15,14358,148,0,188,0,BRONZE_II,5,13,10800,291,0,304,0,SILVER_III,3,15,14367,395,0,374,0,SILVER_III,75,16,15058,168,0,176,0,SILVER,IV,6,13,10253
106,0,128,0,SILVER_IV,0,18,24208,78,0,92,0,SILVER_IV,13,18,22623,744,0,750,0,SILVER_IV,8,18,26317,367,0,382,0,BRONZE_II,60,18,22532,590,0,597,0,SILVER_IV,49,18,25133,107,0,120,0,BRONZE_III,0,18,25936,522,0,520,0,SILVER_IV,97,18,21484,164,0,161,0,SILVER_II,5,18,26154,166,0,189,0,BRONZE_I,68,18,18637,168,0,176,0,SILVER,IV,6,17,17624
251,0,233,0,SILVER_II,0,18,20266,55,0,64,0,SILVER_IV,30,18,19447,207,0,201,0,SILVER_III,8,18,21506,48,0,46,0,SILVER_IV,4,16,16177,286,0,290,0,SILVER_IV,60,16,16065,187,0,176,0,SILVER_IV,7,15,14398,110,0,119,0,SILVER_IV,24,15,13447,296,0,311,0,SILVER_IV,0,16,15371,370,0,346,0,SILVER_II,87,15,14651,168,0,176,0,SILVER,IV,6,16,15771
174,0,196,0,SILVER_IV,53,18,25174,45,0,62,0,BRONZE_II,0,17,17020,46,0,59,0,BRONZE_I,0,18,18969,482,0,464,0,SILVER_II,60,18,20713,62,0,66,0,SILVER_IV,60,15,13526,76,0,99,0,SILVER_IV,67,18,25253,119,0,134,0,SILVER_IV,34,18,21229,53,0,45,0,SILVER_IV,31,18,22624,31,0,22,0,BRONZE_I,62,18,18511,168,0,176,0,SILVER,IV,6,18,18796
176,0,191,0,BRONZE_II,40,15,14204,85,0,88,0,SILVER_III,28,16,14815,203,0,202,0,SILVER_IV,51,16,14824,65,0,70,0,SILVER_III,20,15,13462,507,0,479,0,SILVER_II,0,13,11353,69,0,85,0,BRONZE_IV,61,16,15984,156,0,139,0,SILVER_IV,59,17,17343,261,0,228,0,SILVER_IV,13,18,19181,121,0,117,0,SILVER_II,3,16,15495,168,0,176,0,SILVER,IV,6,15,13476
296,0,269,0,SILVER_II,5,14,12853,141,0,156,0,GOLD_IV,1,15,13759,130,0,156,0,SILVER_IV,0,14,11808,321,0,300,0,SILVER_III,90,14,12410,24,0,19,0,SILVER,IV,1,13,11001,185,0,194,0,SILVER_II,1,14,12178,59,0,64,0,SILVER_II,64,13,10958,169,0,182,0,SILVER_IV,0,12,9114,267,0,276,0,SILVER_III,76,12,9316,843,0,814,0,SILVER_II,49,11,8390
30,0,20,0,SILVER_IV,0,14,11685,84,0,88,0,SILVER_III,0,13,11275,239,0,243,0,SILVER_III,7,14,12825,256,0,250,0,SILVER_III,51,13,10514,24,0,19,0,SILVER,IV,1,12,8622,177,0,184,0,SILVER_III,90,13,10919,247,0,255,0,SILVER_IV,44,12,8994,123,0,134,0,SILVER_IV,75,12,9630,33,0,21,0,SILVER_IV,24,11,8012,375,0,398,0,SILVER_IV,40,11,7589
141,0,157,0,SILVER_III,30,14,12298,468,0,432,0,SILVER_IV,92,12,9006,42,0,44,0,SILVER,IV,75,14,12919,187,0,187,0,GOLD_IV,22,12,9190,37,0,42,0,BRONZE_I,37,11,8383,58,0,52,0,GOLD_IV,24,15,14089,125,0,124,0,SILVER_IV,81,14,12683,309,0,268,0,SILVER_I,72,15,14696,250,0,265,0,SILVER_III,4,14,12224,335,0,332,0,SILVER_II,3,14,11938
100,0,109,0,SILVER_III,36,16,15016,158,0,164,0,SILVER_III,36,17,16818,42,0,44,0,SILVER,IV,75,16,16452,38,0,35,0,BRONZE_I,93,15,13153,22,0,30,0,SILVER_II,0,14,12745,36,0,34,0,SILVER_III,84,18,19095,170,0,172,0,SILVER_II,50,17,18079,488,0,429,0,SILVER_II,17,16,16461,376,0,368,0,GOLD_IV,16,16,14911,184,0,182,0,SILVER_III,60,16,15462
96,0,114,0,SILVER_IV,32,17,17880,173,0,158,0,SILVER_II,37,18,22175,42,0,44,0,SILVER,IV,75,18,21524,98,0,90,0,SILVER_I,1,18,18652,64,0,65,0,SILVER_IV,26,16,16334,238,0,236,0,SILVER_IV,3,17,17278,625,0,619,0,SILVER_III,61,15,14236,309,0,306,0,SILVER_III,29,18,18619,352,0,338,0,SILVER_I,0,15,13877,508,0,458,0,GOLD_I,0,15,13943
38,0,32,0,SILVER_IV,0,12,8800,523,0,527,0,SILVER_II,58,11,8143,42,0,44,0,SILVER,IV,75,13,10921,518,0,521,0,SILVER_I,16,12,9734,734,0,750,0,SILVER_III,12,11,7550,63,0,68,0,SILVER_IV,26,14,12430,130,0,148,0,SILVER_IV,46,8,5030,24,0,34,0,SILVER_IV,41,12,9213,1074,0,1074,0,SILVER_III,3,9,5268,539,0,566,0,SILVER_III,18,11,8195
152,0,183,0,SILVER_IV,7,16,14828,166,0,183,0,SILVER_III,42,15,13830,42,0,44,0,SILVER,IV,75,17,17304,432,0,429,0,SILVER_III,60,15,13169,328,0,327,0,SILVER_IV,92,15,13099,68,0,80,0,SILVER_IV,18,14,12220,14,0,20,0,BRONZE_I,0,12,9239,51,0,46,0,SILVER_III,2,15,13698,20,0,17,0,BRONZE_I,81,13,11027,124,0,99,0,GOLD_IV,50,13,10919
10,0,13,0,SILVER,IV,0,15,14056,41,0,47,0,SILVER_II,0,14,11989,229,0,216,0,SILVER_I,52,15,13386,44,0,42,0,SILVER_II,2,14,11539,159,0,170,0,SILVER_II,44,13,11066,45,0,53,0,SILVER_III,31,15,14686,83,0,92,0,SILVER_III,62,16,15838,64,0,65,0,SILVER_I,35,15,14214,105,0,102,0,GOLD_IV,63,16,15136,79,0,85,0,SILVER_IV,56,13,10683
10,0,13,0,SILVER,IV,0,15,13712,7,0,11,0,BRONZE_I,20,13,10783,139,0,141,0,SILVER_III,15,12,9310,139,0,141,0,SILVER_III,15,12,9811,134,0,168,0,BRONZE_II,0,13,10538,20,0,25,0,SILVER_IV,19,15,14194,19,0,15,0,SILVER_III,45,14,12152,86,0,98,0,BRONZE_II,43,14,12369,75,0,69,0,GOLD_III,77,14,12537,24,0,17,0,SILVER_III,96,13,10749
10,0,13,0,SILVER,IV,0,15,13805,107,0,124,0,SILVER_IV,31,16,14890,26,0,43,0,GOLD_III,4,17,17846,37,0,39,0,SILVER_III,41,15,14475,134,0,168,0,BRONZE_II,0,14,11862,33,0,41,0,SILVER_III,0,16,16406,7,0,11,0,BRONZE_I,20,15,14618,7,0,11,0,BRONZE_I,20,15,13579,21,0,14,0,SILVER_II,93,17,17461,34,0,14,0,SILVER_III,74,15,14393
186,0,194,0,SILVER_IV,32,16,15560,230,0,251,0,BRONZE_II,16,14,12727,534,0,517,0,SILVER_III,0,15,14374,65,0,68,0,SILVER_IV,88,14,12129,502,0,488,0,SILVER_III,78,15,13250,214,0,230,0,SILVER_IV,0,14,12096,696,0,713,0,SILVER_III,25,15,13611,41,0,42,0,SILVER_IV,15,13,11425,177,0,194,0,SILVER,IV,12,13,11174,22,0,31,0,SILVER_IV,69,13,10885
772,0,780,0,BRONZE_I,42,2,629,332,0,328,0,SILVER_IV,11,3,741,180,0,167,0,SILVER_IV,75,3,1025,234,0,226,0,SILVER_IV,57,2,602,115,0,123,0,SILVER_IV,29,2,602,173,0,198,0,SILVER_IV,0,3,893,220,0,202,0,SILVER_II,70,3,703,131,0,129,0,SILVER_II,10,4,1145,177,0,194,0,SILVER,IV,12,1,0,65,0,76,0,BRONZE_II,23,1,241
68,0,72,0,SILVER_IV,16,16,14902,417,0,433,0,BRONZE_II,4,15,13564,41,0,38,0,GOLD_IV,1,16,15007,97,0,92,0,BRONZE_III,76,13,11101,232,0,230,0,SILVER_IV,27,12,9849,162,0,137,0,SILVER_IV,13,17,17404,27,0,35,0,SILVER_IV,63,17,16998,256,0,196,0,GOLD_IV,0,18,18421,177,0,194,0,SILVER,IV,12,15,14289,148,0,128,0,SILVER_III,9,15,13433
103,0,117,0,SILVER_IV,1,15,14441,164,0,152,0,SILVER_III,89,15,14570,216,0,225,0,BRONZE_III,63,14,12690,48,0,39,0,BRONZE_I,2,12,8873,91,0,96,0,SILVER_IV,57,11,8475,271,0,255,0,BRONZE_III,59,15,14517,247,0,239,0,SILVER_III,38,15,14514,98,0,103,0,SILVER_IV,35,16,14762,177,0,194,0,SILVER,IV,12,15,13658,231,0,234,0,SILVER_IV,79,14,11727
145,0,148,0,SILVER_IV,76,17,16697,92,0,96,0,SILVER_III,0,15,14447,240,0,254,0,SILVER_IV,37,16,15434,120,0,101,0,BRONZE_I,61,15,13684,74,0,62,0,SILVER_III,86,14,12488,79,0,57,0,SILVER,IV,0,17,16687,182,0,181,0,SILVER_IV,51,13,10658,55,0,63,0,SILVER_IV,0,13,10196,177,0,171,0,SILVER_IV,75,12,9803,113,0,103,0,SILVER_IV,34,12,8876
22,0,39,0,BRONZE_IV,53,18,27569,57,0,58,0,SILVER_IV,55,18,24867,181,0,208,0,BRONZE_III,76,18,25259,210,0,223,0,BRONZE_IV,44,18,19057,68,0,74,0,SILVER_IV,14,18,18566,79,0,57,0,SILVER,IV,0,18,21810,46,0,48,0,IRON_I,63,18,28528,4,0,7,0,BRONZE_IV,82,18,23109,16,0,30,0,BRONZE_II,54,18,20941,291,0,307,0,BRONZE_III,0,18,19111
153,0,166,0,SILVER_III,13,16,16089,131,0,138,0,SILVER_III,4,14,11871,152,0,132,0,SILVER_III,12,15,14233,214,0,255,0,SILVER_III,42,13,10372,68,0,74,0,SILVER_IV,35,13,11040,79,0,57,0,SILVER,IV,0,14,12714,176,0,171,0,SILVER_II,2,16,15666,91,0,94,0,SILVER_III,70,18,19414,218,0,210,0,SILVER_III,12,14,12418,355,0,345,0,SILVER_III,75,13,10187
40,0,42,0,SILVER_IV,61,16,16121,26,0,28,0,BRONZE_I,33,14,11971,100,0,117,0,SILVER_II,0,15,13342,281,0,282,0,SILVER_IV,46,15,13191,489,0,478,0,SILVER_IV,35,13,10939,79,0,57,0,SILVER,IV,0,13,10402,100,0,98,0,BRONZE_I,39,13,11357,214,0,207,0,SILVER_III,53,12,8922,280,0,270,0,SILVER_I,62,11,8009,314,0,310,0,SILVER_IV,53,12,9915
297,0,311,0,BRONZE_I,16,17,18110,257,0,281,0,SILVER_IV,73,16,15933,340,0,334,0,SILVER_IV,47,13,10310,129,0,109,0,SILVER_II,74,17,17913,61,0,74,0,SILVER_IV,78,17,17902,79,0,57,0,SILVER,IV,0,18,20068,158,0,156,0,SILVER_IV,9,16,15152,499,0,507,0,SILVER_II,49,16,15033,79,0,101,0,SILVER_IV,12,16,15424,20,0,28,0,SILVER_III,75,15,13337
53,0,46,0,SILVER,IV,16,18,19955,62,0,57,0,SILVER_II,11,18,25043,282,0,266,0,SILVER_II,49,18,21148,25,0,21,0,SILVER_II,69,18,20340,165,0,174,0,SILVER_III,76,17,17579,276,0,266,0,SILVER_I,32,18,18690,313,0,327,0,SILVER_II,42,17,18293,193,0,204,0,SILVER_II,44,17,16802,100,0,102,0,SILVER_I,57,18,20745,100,0,103,0,SILVER_II,58,16,15093
300,0,304,0,SILVER_III,22,17,17443,280,0,277,0,BRONZE_II,30,14,12464,261,0,220,0,SILVER_IV,56,15,14216,142,0,156,0,SILVER,IV,13,16,14735,15,0,11,0,BRONZE_II,53,8,4819,116,0,91,0,SILVER_IV,41,16,15341,155,0,147,0,SILVER_IV,0,17,16987,144,0,156,0,SILVER_II,0,16,16342,213,0,195,0,BRONZE_I,34,14,11918,272,0,279,0,BRONZE_II,47,14,12077
83,0,91,0,SILVER_III,15,17,17057,88,0,68,0,SILVER_III,55,15,14362,49,0,67,0,SILVER_IV,36,14,12792,142,0,156,0,SILVER,IV,13,14,12803,15,0,11,0,BRONZE_II,53,12,9580,34,0,40,0,SILVER_I,38,18,19840,131,0,112,0,SILVER_IV,74,17,16579,506,0,488,0,GOLD_IV,16,18,18634,50,0,64,0,BRONZE_III,45,15,14464,100,0,118,0,SILVER_III,7,13,10988
180,0,174,0,SILVER_IV,80,16,15602,106,0,105,0,SILVER_IV,24,13,10073,30,0,37,0,BRONZE_I,17,14,11742,142,0,156,0,SILVER,IV,13,12,9401,15,0,11,0,BRONZE_II,53,11,8268,194,0,172,0,SILVER_IV,23,14,12002,59,0,56,0,BRONZE_I,43,12,9360,182,0,196,0,SILVER_IV,20,12,9125,417,0,446,0,SILVER_IV,20,12,9074,443,0,442,0,SILVER_III,34,12,8758
170,0,173,0,BRONZE_II,15,10,7144,130,0,105,0,SILVER_II,0,3,1043,155,0,146,0,SILVER_IV,55,10,7034,142,0,156,0,SILVER,IV,13,9,5981,15,0,11,0,BRONZE_II,53,9,5122,37,0,35,0,SILVER_IV,22,11,8514,63,0,74,0,BRONZE_I,75,10,6739,64,0,67,0,SILVER_III,24,11,7594,582,0,567,0,SILVER_II,94,9,5270,43,0,71,0,IRON_I,0,8,4405
17,0,20,0,SILVER,IV,0,15,13325,135,0,162,0,BRONZE_III,33,11,7897,79,0,88,0,BRONZE_IV,27,14,12617,208,0,208,0,BRONZE_II,35,14,12761,78,0,105,0,IRON_II,19,15,13334,131,0,117,0,BRONZE_I,66,16,15039,338,0,348,0,SILVER_IV,0,15,13706,185,0,205,0,BRONZE_II,69,16,16260,62,0,55,0,BRONZE_III,79,14,12932,287,0,292,0,BRONZE_III,3,13,10681
17,0,20,0,SILVER,IV,0,14,12172,33,0,55,0,IRON_II,49,11,7339,424,0,453,0,BRONZE_IV,67,13,10646,153,0,146,0,SILVER_IV,56,11,8028,78,0,105,0,IRON_II,19,12,8589,142,0,143,0,BRONZE_I,27,15,13229,48,0,74,0,IRON_II,47,11,8514,281,0,287,0,SILVER_IV,0,14,11699,208,0,211,0,SILVER_IV,34,13,10346,140,0,164,0,BRONZE_III,68,12,9731
17,0,20,0,SILVER,IV,0,18,22376,274,0,296,0,BRONZE_I,0,18,21824,131,0,124,0,BRONZE_I,79,18,23725,544,0,509,0,GOLD_III,7,18,28086,78,0,105,0,IRON_II,19,18,26530,199,0,176,0,SILVER_III,62,18,22281,75,0,56,0,SILVER_IV,3,18,18670,43,0,37,0,BRONZE_II,25,18,24919,52,0,34,0,GOLD_IV,1,18,26809,272,0,271,0,BRONZE_IV,75,17,17669
17,0,20,0,SILVER,IV,0,11,7974,85,0,87,0,SILVER_IV,16,13,11358,43,0,59,0,BRONZE_II,65,10,6183,97,0,107,0,BRONZE_I,16,13,9996,78,0,105,0,IRON_II,19,10,6585,138,0,133,0,BRONZE_III,0,12,9802,319,0,303,0,IRON_I,15,13,10252,39,0,44,0,SILVER_I,8,12,9151,29,0,38,0,SILVER_IV,54,11,8365,6,0,14,0,BRONZE_III,47,12,8654
17,0,20,0,SILVER,IV,0,11,7735,99,0,123,0,BRONZE_III,61,13,11415,161,0,151,0,SILVER_IV,37,11,8562,359,0,344,0,SILVER_III,15,13,10244,78,0,105,0,IRON_II,19,10,7054,257,0,244,0,BRONZE_II,67,15,13364,113,0,79,0,SILVER_I,38,15,13683,198,0,220,0,BRONZE_IV,44,13,10450,114,0,118,0,SILVER_III,72,13,10649,210,0,211,0,BRONZE_III,75,12,9547
67,0,78,0,SILVER_IV,44,12,9749,369,0,388,0,BRONZE_II,19,13,10157,292,0,287,0,SILVER_III,29,12,9705,147,0,175,0,SILVER_IV,8,13,10069,46,0,47,0,SILVER,IV,13,10,7173,15,0,29,0,SILVER_IV,0,13,10875,587,0,533,0,BRONZE_II,58,12,9075,144,0,164,0,SILVER_IV,13,12,9294,62,0,81,0,SILVER_IV,13,9,6071,6,0,26,0,BRONZE_III,0,8,4772
91,0,94,0,SILVER_IV,0,14,12558,77,0,91,0,BRONZE_II,77,12,8601,136,0,133,0,SILVER_IV,32,13,11003,176,0,193,0,SILVER_IV,30,14,11553,46,0,47,0,SILVER,IV,13,11,8112,187,0,173,0,SILVER_III,56,14,12655,78,0,68,0,SILVER_IV,71,15,13036,100,0,90,0,SILVER_IV,71,16,16444,522,0,501,0,SILVER_IV,56,14,12609,149,0,118,0,SILVER_IV,63,13,10132
23,0,40,0,BRONZE_II,71,14,12202,245,0,223,0,SILVER_IV,48,12,8769,101,0,106,0,BRONZE_II,75,11,8329,314,0,287,0,SILVER_IV,52,13,11303,46,0,47,0,SILVER,IV,13,12,9550,97,0,94,0,SILVER_IV,0,17,16632,7,0,20,0,SILVER_IV,51,16,15498,60,0,67,0,SILVER_IV,34,15,13398,111,0,113,0,SILVER_IV,0,14,12273,53,0,45,0,BRONZE_I,41,13,10059
18,0,10,0,BRONZE_I,67,18,22844,73,0,81,0,SILVER_IV,34,18,19992,13,0,14,0,BRONZE_I,1,18,21245,294,0,285,0,BRONZE_II,61,18,19730,46,0,47,0,SILVER,IV,13,18,19033,524,0,549,0,BRONZE_III,92,18,21629,39,0,34,0,BRONZE_II,38,18,20322,159,0,171,0,SILVER_IV,40,18,19013,51,0,70,0,SILVER_III,15,18,18549,8,0,8,0,BRONZE_I,51,17,17158
56,0,49,0,SILVER_IV,44,15,14318,29,0,53,0,BRONZE_III,5,14,12639,37,0,33,0,SILVER_I,6,15,14487,517,0,504,0,SILVER_IV,40,14,12047,46,0,47,0,SILVER,IV,13,13,10281,440,0,410,0,SILVER_IV,18,14,12841,78,0,95,0,SILVER_IV,27,17,17059,301,0,289,0,SILVER_III,14,15,13741,128,0,134,0,SILVER_III,16,14,12696,533,0,551,0,BRONZE_I,70,15,14539
34,0,29,0,SILVER,IV,38,13,9974,118,0,100,0,SILVER_II,14,12,8980,241,0,239,0,SILVER_III,40,12,9420,291,0,297,0,SILVER_IV,90,13,10260,455,0,464,0,SILVER_III,73,10,6741,68,0,61,0,SILVER_II,4,15,13887,164,0,168,0,SILVER_II,4,14,11782,387,0,378,0,SILVER_III,75,15,13404,105,0,94,0,GOLD_IV,0,13,11002,209,0,195,0,SILVER_II,30,12,8915
120,0,118,0,SILVER_IV,58,17,16908,232,0,245,0,SILVER_IV,59,14,12674,206,0,211,0,SILVER_IV,8,14,12443,100,0,94,0,SILVER_IV,28,14,11548,160,0,165,0,SILVER_IV,31,13,11260,362,0,351,0,SILVER_III,29,17,17263,66,0,84,0,SILVER,IV,94,17,17802,53,0,50,0,SILVER_III,31,16,16160,70,0,90,0,SILVER_IV,81,16,16071,541,0,526,0,SILVER_IV,12,15,14563
73,0,95,0,BRONZE_II,41,16,15957,23,0,17,0,SILVER_I,21,16,16116,10,0,16,0,BRONZE_I,23,15,13970,21,0,15,0,SILVER_IV,83,16,15462,115,0,123,0,SILVER_III,3,15,13293,386,0,363,0,SILVER_III,3,17,16676,66,0,84,0,SILVER,IV,94,17,18270,73,0,71,0,SILVER_III,22,18,18434,100,0,110,0,SILVER_IV,53,18,19339,28,0,20,0,SILVER_IV,34,15,14209
