ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
73,0,54,0,PLATINUM_I,27,16,15996,82,0,79,0,PLATINUM_IV,24,15,13561,56,0,60,0,PLATINUM_III,29,15,14317,108,0,112,0,DIAMOND_IV,2,15,13383,334,0,344,0,PLATINUM_I,49,13,10634,145,0,158,0,DIAMOND_IV,0,14,12353,160,0,130,0,PLATINUM_II,60,14,12771,225,0,219,0,DIAMOND_IV,30,14,12270,364,0,334,0,PLATINUM_II,71,13,10193,188,0,188,0,PLATINUM_II,13,12,9015
53,0,64,0,PLATINUM_II,19,14,12617,563,0,550,0,PLATINUM_IV,38,13,11127,357,0,334,0,PLATINUM_II,0,15,13032,422,0,436,0,PLATINUM_IV,46,14,11761,347,0,356,0,PLATINUM_II,38,12,8815,310,0,296,0,PLATINUM_II,39,12,8746,160,0,130,0,PLATINUM_II,60,11,8340,58,0,56,0,PLATINUM_II,50,14,11704,112,0,94,0,PLATINUM_III,75,12,9830,261,0,249,0,PLATINUM_II,15,11,7852
120,0,101,0,PLATINUM_I,54,18,22361,204,0,210,0,DIAMOND_IV,61,18,19965,236,0,241,0,DIAMOND_IV,25,18,19735,441,0,422,0,PLATINUM_III,9,17,17906,92,0,70,0,DIAMOND_III,26,16,16330,85,0,55,0,PLATINUM_II,41,18,18973,160,0,130,0,PLATINUM_II,60,18,19040,131,0,119,0,PLATINUM_II,63,18,20659,104,0,95,0,DIAMOND_IV,25,18,19950,42,0,50,0,PLATINUM_I,36,15,13863
10,0,8,0,PLATINUM_IV,51,16,15887,86,0,73,0,PLATINUM_II,17,16,15837,352,0,338,0,PLATINUM_II,71,14,12273,86,0,95,0,PLATINUM_II,78,16,15813,103,0,105,0,PLATINUM_II,79,16,16351,298,0,288,0,PLATINUM_I,46,15,13779,14,0,20,0,PLATINUM_III,94,14,12413,61,0,46,0,PLATINUM_IV,83,16,15656,252,0,230,0,PLATINUM_I,70,14,11805,224,0,204,0,PLATINUM_II,47,12,9463
52,0,41,0,PLATINUM_III,27,14,12331,32,0,16,0,PLATINUM_IV,70,13,11409,37,0,22,0,PLATINUM_III,72,14,11777,262,0,251,0,PLATINUM_III,44,11,8191,103,0,105,0,PLATINUM_II,79,13,11150,124,0,109,0,PLATINUM_II,44,15,13918,319,0,324,0,PLATINUM_II,16,15,13754,24,0,11,0,GOLD_I,43,16,16154,18,0,31,0,PLATINUM_III,65,14,12626,115,0,110,0,PLATINUM_III,0,13,11030
35,0,23,0,PLATINUM_IV,0,15,13869,7,0,8,0,PLATINUM_IV,55,16,15392,35,0,39,0,PLATINUM_II,13,14,12994,387,0,357,0,PLATINUM_II,4,14,12035,103,0,105,0,PLATINUM_II,79,13,10154,10,0,15,0,PLATINUM_IV,67,13,11346,54,0,34,0,PLATINUM_II,4,13,11429,14,0,22,0,PLATINUM_III,75,14,12319,43,0,47,0,PLATINUM_III,51,12,9293,60,0,72,0,PLATINUM_II,97,11,8487
15,0,13,0,PLATINUM_I,5,13,11354,31,0,30,0,PLATINUM_I,52,15,13914,21,0,29,0,PLATINUM_I,45,16,15204,57,0,61,0,DIAMOND_IV,18,14,12674,23,0,16,0,PLATINUM_I,23,14,11751,125,0,125,0,PLATINUM_II,74,14,12135,56,0,40,0,PLATINUM_I,89,12,9368,18,0,16,0,PLATINUM_I,0,13,11136,18,0,16,0,PLATINUM_I,0,12,9458,5,0,6,0,PLATINUM_II,23,10,6936
81,0,69,0,DIAMOND_I,61,15,13612,8,0,8,0,PLATINUM_II,75,17,17564,83,0,76,0,DIAMOND_I,35,16,15964,438,0,439,0,DIAMOND_II,75,15,14515,28,0,33,0,PLATINUM_I,90,13,10440,35,0,44,0,DIAMOND_II,61,14,12817,94,0,75,0,DIAMOND_IV,83,14,12354,42,0,49,0,DIAMOND_IV,75,13,10518,216,0,211,0,DIAMOND_II,75,11,7452,5,0,6,0,PLATINUM_II,23,13,10727
112,0,87,0,DIAMOND_I,75,10,7152,83,0,76,0,DIAMOND_I,36,11,7494,75,0,88,0,DIAMOND_IV,45,13,10050,215,0,255,0,PLATINUM_I,75,10,6654,264,0,280,0,DIAMOND_II,75,9,6092,254,0,264,0,DIAMOND_II,75,14,12189,51,0,38,0,PLATINUM_I,100,14,12379,178,0,175,0,MASTER_I,1,11,7395,382,0,388,0,DIAMOND_II,75,10,6276,5,0,6,0,PLATINUM_II,23,12,9512
75,0,83,0,PLATINUM_II,4,15,13916,173,0,164,0,PLATINUM_II,26,13,10904,39,0,26,0,PLATINUM_III,34,14,11489,17,0,24,0,PLATINUM_III,19,11,8363,124,0,91,0,PLATINUM_II,37,11,8346,371,0,337,0,PLATINUM_II,75,17,16785,114,0,114,0,PLATINUM_I,29,16,15937,8,0,8,0,PLATINUM_II,16,14,11824,355,0,349,0,PLATINUM_II,85,14,11461,317,0,330,0,PLATINUM_II,63,13,10227
