rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
165,0,160,0,DIAMOND_III,16,18,23838,145,0,159,0,DIAMOND_IV,89,18,19976,336,0,319,0,PLATINUM_I,65,18,21295,95,0,75,0,DIAMOND_IV,1,18,22191,141,0,157,0,DIAMOND_IV,75,18,19371,147,0,156,0,DIAMOND_IV,83,17,17645,216,0,190,0,DIAMOND_IV,1,18,20089,349,0,353,0,DIAMOND_IV,0,17,18161,281,0,256,0,DIAMOND_III,10,18,18619,284,0,281,0,PLATINUM_II,75,16,15944
103,0,115,0,DIAMOND_IV,48,10,6328,427,0,401,0,DIAMOND_III,48,10,6474,99,0,100,0,DIAMOND_IV,33,10,6958,184,0,167,0,DIAMOND_IV,7,9,5877,60,0,67,0,DIAMOND_IV,44,7,3596,100,0,85,0,DIAMOND_III,32,12,9457,108,0,94,0,PLATINUM_I,84,10,7264,254,0,243,0,DIAMOND_I,27,9,6066,281,0,256,0,DIAMOND_III,10,10,7168,376,0,407,0,DIAMOND_III,7,9,5051
679,0,709,0,DIAMOND_III,43,15,13568,106,0,71,0,DIAMOND_I,81,16,15405,100,0,112,0,DIAMOND_III,51,13,10961,220,0,193,0,DIAMOND_III,37,12,9275,67,0,54,0,PLATINUM_I,100,12,8874,79,0,80,0,PLATINUM_I,45,12,9689,332,0,354,0,DIAMOND_III,9,13,10162,184,0,161,0,DIAMOND_III,19,12,9648,281,0,256,0,DIAMOND_III,10,9,5354,348,0,325,0,DIAMOND_III,27,12,8693
473,0,435,0,DIAMOND_IV,1,17,17094,37,0,45,0,PLATINUM_I,39,17,16646,155,0,96,0,PLATINUM_I,13,18,19187,414,0,351,0,DIAMOND_II,62,15,13273,192,0,208,0,PLATINUM_I,75,14,12640,259,0,283,0,PLATINUM_I,2,18,22699,201,0,218,0,DIAMOND_IV,47,18,18895,184,0,193,0,DIAMOND_IV,0,17,18128,281,0,256,0,DIAMOND_III,10,18,18458,196,0,182,0,PLATINUM_II,75,17,16561
264,0,273,0,DIAMOND_III,0,11,7796,163,0,155,0,DIAMOND_III,36,9,5228,297,0,270,0,DIAMOND_III,46,9,5407,640,0,658,0,DIAMOND_III,62,8,4874,80,0,65,0,DIAMOND_IV,75,8,4371,215,0,206,0,DIAMOND_IV,21,8,4194,279,0,261,0,DIAMOND_IV,50,8,4601,319,0,308,0,DIAMOND_II,35,8,4844,281,0,256,0,DIAMOND_III,10,10,6425,174,0,177,0,DIAMOND_IV,40,7,3499
248,0,214,0,DIAMOND_IV,18,16,14876,249,0,199,0,DIAMOND_II,5,15,13034,405,0,402,0,DIAMOND_IV,5,16,15159,256,0,240,0,DIAMOND_III,0,14,12140,190,0,179,0,DIAMOND_IV,61,13,10842,83,0,36,0,DIAMOND_IV,1,16,15618,236,0,213,0,DIAMOND_III,42,16,16291,305,0,325,0,DIAMOND_III,39,16,16322,385,0,394,0,DIAMOND_II,0,16,15826,285,0,290,0,DIAMOND_I,6,15,14144
242,0,233,0,DIAMOND_III,63,14,11597,282,0,276,0,DIAMOND_III,91,12,8829,553,0,532,0,DIAMOND_IV,0,14,11954,231,0,211,0,DIAMOND_II,0,12,8956,263,0,258,0,DIAMOND_III,73,10,7119,101,0,113,0,DIAMOND_IV,82,12,9076,97,0,83,0,DIAMOND_IV,0,10,6751,305,0,325,0,DIAMOND_III,39,12,8715,256,0,220,0,DIAMOND_II,64,10,7051,321,0,303,0,DIAMOND_II,38,9,5533
23,0,29,0,PLATINUM_II,76,18,22642,197,0,200,0,PLATINUM_I,76,17,17081,87,0,116,0,DIAMOND_III,16,18,19252,285,0,277,0,DIAMOND_IV,90,17,17630,185,0,177,0,DIAMOND_IV,58,17,16945,245,0,246,0,DIAMOND_IV,54,18,25547,608,0,634,0,DIAMOND_II,0,18,22641,305,0,325,0,DIAMOND_III,39,18,26259,180,0,169,0,DIAMOND_III,91,17,17987,41,0,50,0,DIAMOND_III,46,16,16141
107,0,76,0,DIAMOND_III,0,16,15102,128,0,103,0,DIAMOND_IV,78,15,13446,343,0,316,0,DIAMOND_III,6,14,11459,151,0,136,0,DIAMOND_II,0,12,9723,627,0,559,0,DIAMOND_III,27,12,9495,358,0,342,0,DIAMOND_III,47,12,9689,256,0,220,0,DIAMOND_II,64,13,10203,305,0,325,0,DIAMOND_III,39,14,12341,376,0,358,0,DIAMOND_IV,72,11,8170,136,0,150,0,DIAMOND_IV,26,11,7803
468,0,442,0,DIAMOND_IV,31,11,8579,191,0,169,0,PLATINUM_I,36,15,13638,318,0,286,0,DIAMOND_II,7,11,7899,349,0,353,0,DIAMOND_IV,0,13,10405,316,0,275,0,DIAMOND_I,44,9,6083,950,0,948,0,DIAMOND_II,90,12,9384,320,0,296,0,DIAMOND_III,4,11,7918,305,0,325,0,DIAMOND_III,39,12,8787,162,0,140,0,DIAMOND_II,15,12,8713,511,0,507,0,PLATINUM_I,65,9,5274
