rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
84,0,84,0,BRONZE_II,0,14,11778,51,0,49,0,BRONZE_I,0,15,14407,92,0,91,0,BRONZE_I,0,15,14554,206,0,219,0,BRONZE_I,66,14,11904,72,0,83,0,BRONZE_I,45,13,10732,923,0,925,0,BRONZE_IV,66,14,12358,291,0,268,0,SILVER_IV,43,16,15716,379,0,376,0,SILVER_IV,15,17,16558,101,0,105,0,BRONZE_I,54,16,16348,169,0,169,0,BRONZE_II,88,14,11844
115,0,152,0,BRONZE_I,18,15,13310,42,0,50,0,BRONZE_II,60,13,11280,499,0,522,0,BRONZE_II,32,14,11611,318,0,316,0,BRONZE_II,75,13,10551,294,0,289,0,SILVER_IV,0,13,10940,104,0,100,0,BRONZE_II,76,15,13763,55,0,54,0,BRONZE_I,18,16,15128,43,0,38,0,BRONZE_I,10,16,16424,121,0,124,0,BRONZE_I,26,16,15172,27,0,27,0,BRONZE_I,15,15,13207
127,0,121,0,BRONZE_IV,25,15,14294,102,0,104,0,BRONZE_I,29,15,14138,12,0,6,0,SILVER_IV,1,16,14789,6,0,14,0,BRONZE_III,41,12,9316,70,0,47,0,BRONZE_II,48,12,8976,104,0,100,0,BRONZE_II,76,13,10142,57,0,77,0,BRONZE_III,21,13,10642,13,0,30,0,BRONZE_II,60,13,10256,42,0,37,0,BRONZE_I,29,13,10892,821,0,792,0,BRONZE_I,15,11,7768
345,0,319,0,BRONZE_III,61,15,13887,137,0,122,0,BRONZE_II,31,15,13648,243,0,221,0,BRONZE_IV,24,15,14072,50,0,50,0,BRONZE_IV,61,15,13153,30,0,47,0,BRONZE_III,37,13,10632,104,0,100,0,BRONZE_II,76,15,14006,81,0,91,0,BRONZE_III,88,13,10372,50,0,54,0,BRONZE_I,96,16,14953,147,0,134,0,BRONZE_IV,0,13,10357,150,0,163,0,BRONZE_II,18,11,7784
142,0,157,0,BRONZE_IV,0,10,6464,185,0,190,0,BRONZE_IV,62,17,16719,85,0,84,0,SILVER_IV,0,18,19908,74,0,86,0,BRONZE_III,16,18,22921,92,0,94,0,BRONZE_II,0,16,15198,104,0,100,0,BRONZE_II,76,18,21283,45,0,61,0,BRONZE_IV,0,18,18426,45,0,61,0,BRONZE_IV,0,17,17343,147,0,134,0,BRONZE_IV,0,18,18889,95,0,84,0,BRONZE_II,2,14,12291
86,0,96,0,BRONZE_III,75,15,13614,33,0,40,0,BRONZE_III,25,12,9225,174,0,146,0,BRONZE_II,58,13,11167,76,0,83,0,BRONZE_III,81,11,8305,148,0,144,0,BRONZE_III,21,12,9891,222,0,232,0,BRONZE_II,1,13,11210,89,0,95,0,BRONZE_II,17,12,8726,41,0,55,0,BRONZE_III,16,10,7189,18,0,27,0,BRONZE_IV,93,13,11202,499,0,482,0,BRONZE_III,61,11,8453
168,0,145,0,BRONZE_I,1,11,8332,78,0,77,0,BRONZE_II,13,11,7578,209,0,210,0,BRONZE_I,39,13,10139,331,0,312,0,BRONZE_II,46,12,9852,143,0,177,0,BRONZE_III,25,8,4994,193,0,184,0,SILVER_IV,30,16,15365,245,0,214,0,BRONZE_III,28,13,10425,51,0,60,0,BRONZE_III,43,12,9285,203,0,217,0,SILVER_IV,0,15,13063,301,0,317,0,SILVER_IV,75,12,9378
339,0,353,0,BRONZE_II,7,14,12262,78,0,77,0,BRONZE_II,13,15,13709,20,0,8,0,BRONZE_I,100,16,14998,281,0,281,0,BRONZE_I,27,14,11673,211,0,195,0,SILVER_III,36,14,11853,73,0,59,0,BRONZE_I,81,14,12329,369,0,392,0,BRONZE_III,0,14,11902,204,0,174,0,SILVER_I,100,12,8880,78,0,90,0,BRONZE_II,14,14,12966,238,0,287,0,BRONZE_II,34,12,8988
22,0,34,0,BRONZE_II,15,16,16454,78,0,77,0,BRONZE_II,13,16,15472,228,0,244,0,BRONZE_IV,10,14,11923,617,0,609,0,BRONZE_II,38,15,13356,65,0,47,0,SILVER_IV,1,14,12292,5,0,43,0,IRON_IV,5,12,9864,537,0,572,0,SILVER_IV,0,17,17245,2,0,41,0,IRON_IV,0,12,9368,77,0,86,0,SILVER_IV,35,15,13435,70,0,86,0,SILVER_IV,0,14,11913
124,0,118,0,SILVER_IV,0,16,15553,78,0,77,0,BRONZE_II,13,14,12863,654,0,655,0,BRONZE_III,22,15,14448,654,0,612,0,SILVER_IV,12,14,12541,723,0,713,0,BRONZE_II,37,12,9744,148,0,168,0,BRONZE_I,59,15,13512,72,0,64,0,BRONZE_II,75,17,18109,112,0,119,0,BRONZE_III,0,15,13877,200,0,213,0,BRONZE_III,98,15,13837,310,0,296,0,BRONZE_I,34,14,11901
