ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
211,0,150,0,DIAMOND_I,8,18,21338,375,0,258,0,MASTER_I,0,18,22483,114,0,86,0,MASTER_I,19,18,19029,374,0,338,0,DIAMOND_I,0,18,18483,74,0,50,0,DIAMOND_II,33,16,16312,50,0,63,0,DIAMOND_II,0,16,15517,51,0,56,0,DIAMOND_I,0,17,17626,161,0,132,0,MASTER_I,15,18,19666,87,0,61,0,DIAMOND_I,38,18,22712,127,0,136,0,DIAMOND_I,48,15,13460
133,0,144,0,DIAMOND_III,64,15,13098,419,0,387,0,DIAMOND_II,47,14,12811,151,0,178,0,DIAMOND_II,43,17,17263,128,0,134,0,DIAMOND_I,100,14,12937,394,0,394,0,MASTER_I,14,13,10646,88,0,75,0,DIAMOND_I,34,13,10092,51,0,56,0,DIAMOND_I,0,13,10562,162,0,159,0,DIAMOND_I,51,14,12222,317,0,287,0,DIAMOND_I,15,13,10477,39,0,33,0,DIAMOND_II,24,11,8359
134,0,128,0,DIAMOND_I,6,12,9744,300,0,279,0,MASTER_I,70,12,9474,539,0,553,0,DIAMOND_I,25,11,8257,132,0,105,0,DIAMOND_I,75,11,7921,462,0,457,0,MASTER_I,17,10,6995,133,0,144,0,DIAMOND_III,64,10,7018,51,0,56,0,DIAMOND_I,0,11,7505,509,0,509,0,DIAMOND_I,41,12,8595,437,0,435,0,DIAMOND_I,25,10,7123,394,0,394,0,MASTER_I,14,9,5737
309,0,274,0,MASTER_I,33,15,14327,311,0,292,0,DIAMOND_I,91,16,15841,272,0,245,0,MASTER_I,1,16,14831,310,0,287,0,DIAMOND_I,0,14,11911,373,0,342,0,MASTER_I,1,13,10332,123,0,93,0,MASTER_I,18,16,15984,153,0,167,0,DIAMOND_II,75,15,13222,85,0,69,0,DIAMOND_I,42,15,14337,153,0,115,0,DIAMOND_II,0,13,9968,232,0,218,0,DIAMOND_I,14,12,8742
98,0,73,0,MASTER_I,67,13,11181,304,0,299,0,MASTER_I,127,13,11083,209,0,182,0,MASTER_I,36,12,9759,69,0,52,0,MASTER_I,0,14,12135,462,0,457,0,MASTER_I,17,11,8262,463,0,473,0,DIAMOND_I,87,12,9011,89,0,68,0,MASTER_I,18,11,8152,85,0,69,0,DIAMOND_I,42,12,9914,320,0,293,0,DIAMOND_I,100,10,6285,97,0,84,0,DIAMOND_I,43,9,5070
238,0,238,0,MASTER_I,47,11,8085,473,0,432,0,DIAMOND_I,29,10,6818,110,0,69,0,MASTER_I,62,11,8193,292,0,257,0,MASTER_I,64,9,5210,133,0,129,0,DIAMOND_I,100,8,4366,363,0,312,0,MASTER_I,160,12,8763,20,0,14,0,MASTER_I,0,12,9694,85,0,69,0,DIAMOND_I,42,12,8642,297,0,292,0,MASTER_I,24,11,7958,136,0,117,0,MASTER_I,36,10,6553
211,0,183,0,DIAMOND_I,57,13,10815,77,0,69,0,MASTER_I,196,13,11436,345,0,329,0,DIAMOND_I,30,14,12642,292,0,257,0,MASTER_I,64,14,11817,276,0,264,0,MASTER_I,29,12,9202,465,0,454,0,MASTER_I,32,16,16139,20,0,14,0,MASTER_I,0,16,15821,85,0,69,0,DIAMOND_I,42,15,13616,98,0,90,0,DIAMOND_I,57,14,11654,521,0,472,0,MASTER_I,288,12,9418
167,0,163,0,MASTER_I,112,18,18570,1336,0,1316,0,MASTER_I,422,17,17617,960,0,915,0,MASTER_I,235,14,12052,67,0,45,0,MASTER_I,55,15,13626,418,0,380,0,MASTER_I,175,12,9724,196,0,175,0,MASTER_I,364,17,17091,20,0,14,0,MASTER_I,0,17,17769,85,0,69,0,DIAMOND_I,42,17,17148,297,0,292,0,MASTER_I,24,17,16894,202,0,195,0,MASTER_I,1,15,13932
197,0,182,0,GRANDMASTER_I,465,10,6177,353,0,343,0,MASTER_I,79,8,4857,997,0,972,0,DIAMOND_II,40,10,6262,522,0,496,0,MASTER_I,48,9,5334,378,0,346,0,MASTER_I,165,6,3102,882,0,861,0,GRANDMASTER_I,550,11,7355,315,0,293,0,MASTER_I,315,10,7177,268,0,246,0,GRANDMASTER_I,526,11,8521,533,0,544,0,MASTER_I,33,10,6578,108,0,82,0,DIAMOND_I,72,9,5487
208,0,202,0,MASTER_I,278,16,16230,149,0,127,0,MASTER_I,388,16,15694,216,0,221,0,DIAMOND_I,73,18,18586,150,0,127,0,MASTER_I,362,17,18077,139,0,122,0,MASTER_I,367,16,15079,481,0,486,0,MASTER_I,102,17,16925,123,0,84,0,DIAMOND_I,75,15,13109,60,0,40,0,DIAMOND_I,75,15,14485,286,0,259,0,MASTER_I,194,15,13752,108,0,82,0,DIAMOND_I,72,12,8615
