ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
57,0,75,0,IRON_I,53,17,16534,178,0,185,0,BRONZE_IV,9,15,13226,123,0,104,0,IRON_II,75,16,15533,167,0,204,0,IRON_III,91,15,14218,168,0,207,0,BRONZE_IV,0,13,11180,254,0,292,0,IRON_IV,75,14,12774,96,0,122,0,IRON_III,75,13,10372,134,0,165,0,BRONZE_IV,52,15,13984,192,0,193,0,IRON_I,77,15,13297,41,0,46,0,IRON_II,75,12,8746
367,0,380,0,IRON_I,13,15,13996,57,0,71,0,IRON_II,39,12,9350,61,0,80,0,IRON_I,6,15,13931,167,0,204,0,IRON_III,91,13,10591,10,0,42,0,IRON_I,46,9,5489,10,0,26,0,BRONZE_IV,11,16,15543,95,0,127,0,IRON_II,5,15,14031,311,0,335,0,IRON_II,10,13,11238,752,0,774,0,IRON_III,28,14,11859,93,0,104,0,IRON_I,35,12,9950
71,0,81,0,IRON_III,33,3,842,349,0,358,0,BRONZE_IV,14,3,691,57,0,74,0,BRONZE_IV,8,3,1111,167,0,204,0,IRON_III,91,1,0,116,0,155,0,IRON_I,42,3,783,513,0,521,0,BRONZE_III,62,3,904,80,0,89,0,BRONZE_III,0,3,1072,53,0,82,0,IRON_II,41,3,784,189,0,160,0,BRONZE_IV,47,2,602,42,0,87,0,IRON_IV,88,2,602
22,0,24,0,IRON_III,51,16,15595,30,0,77,0,IRON_IV,2,15,14444,159,0,186,0,BRONZE_IV,47,15,14454,107,0,91,0,BRONZE_IV,1,15,14448,20,0,24,0,IRON_I,71,14,12237,75,0,129,0,IRON_IV,0,16,15762,50,0,76,0,IRON_II,33,17,16531,185,0,181,0,BRONZE_IV,82,17,16810,344,0,339,0,BRONZE_IV,51,17,17287,135,0,152,0,IRON_III,62,16,15479
22,0,24,0,IRON_III,51,15,13643,73,0,82,0,IRON_I,0,15,13145,21,0,24,0,BRONZE_I,35,15,13996,98,0,129,0,IRON_II,68,16,15524,146,0,141,0,BRONZE_II,26,14,11497,345,0,319,0,BRONZE_III,61,15,13984,9,0,29,0,IRON_II,59,15,13888,243,0,221,0,BRONZE_IV,24,16,15671,95,0,127,0,IRON_II,5,14,11650,380,0,379,0,BRONZE_III,15,13,10285
22,0,24,0,IRON_III,51,11,8045,68,0,107,0,IRON_III,0,10,7092,29,0,49,0,IRON_I,26,12,8611,85,0,133,0,IRON_IV,11,9,5438,24,0,65,0,IRON_IV,0,9,5441,54,0,66,0,BRONZE_IV,61,13,11069,193,0,192,0,BRONZE_III,85,11,8381,276,0,296,0,BRONZE_III,6,14,11667,287,0,285,0,BRONZE_IV,69,11,7367,221,0,233,0,IRON_I,32,11,7613
22,0,24,0,IRON_III,51,13,9968,427,0,420,0,BRONZE_IV,85,12,9849,153,0,157,0,BRONZE_II,44,14,11753,145,0,193,0,IRON_IV,73,12,8753,80,0,88,0,IRON_I,74,12,9825,40,0,76,0,BRONZE_IV,0,12,9892,223,0,270,0,IRON_III,13,12,9317,14,0,20,0,IRON_I,56,13,10900,132,0,135,0,BRONZE_III,6,11,7423,33,0,35,0,IRON_III,40,10,7092
22,0,24,0,IRON_III,51,15,13325,60,0,76,0,BRONZE_IV,11,16,15515,242,0,244,0,BRONZE_III,19,15,14622,16,0,26,0,IRON_I,2,14,12893,99,0,85,0,BRONZE_I,2,15,13896,97,0,104,0,IRON_III,86,18,19064,293,0,273,0,BRONZE_III,71,18,18407,29,0,45,0,BRONZE_III,0,17,16518,39,0,66,0,IRON_I,52,15,13811,22,0,37,0,BRONZE_III,9,15,14532
166,0,190,0,IRON_III,24,13,10904,14,0,33,0,IRON_I,14,11,7676,36,0,54,0,IRON_IV,38,7,3247,60,0,64,0,IRON_II,58,11,7967,160,0,164,0,BRONZE_IV,0,9,6010,13,0,25,0,IRON_III,54,12,9945,115,0,125,0,IRON_II,70,10,6263,569,0,596,0,IRON_II,38,13,10311,17,0,18,0,IRON_I,23,10,7217,81,0,64,0,IRON_I,23,10,6265
139,0,147,0,BRONZE_IV,47,13,11075,130,0,147,0,IRON_II,78,10,6429,13,0,30,0,IRON_IV,48,11,7893,716,0,673,0,BRONZE_III,37,11,7382,229,0,256,0,IRON_I,31,9,5915,13,0,25,0,IRON_III,54,14,12588,151,0,169,0,IRON_II,0,13,10709,62,0,68,0,IRON_I,53,14,12442,62,0,68,0,IRON_I,53,12,9529,273,0,289,0,BRONZE_IV,75,13,9976
