rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
354,0,370,0,SILVER_IV,0,13,11263,11,0,11,0,BRONZE_II,78,10,6454,257,0,219,0,BRONZE_I,5,12,8585,411,0,388,0,BRONZE_I,64,10,6723,172,0,193,0,SILVER_IV,28,9,5882,83,0,94,0,SILVER_II,8,14,12799,165,0,180,0,SILVER_III,2,11,7705,44,0,36,0,SILVER_IV,35,12,9193,194,0,197,0,BRONZE_I,12,12,8974,69,0,78,0,SILVER_IV,15,10,6177
179,0,193,0,BRONZE_II,54,13,10987,43,0,54,0,IRON_II,41,14,11649,190,0,194,0,SILVER_III,28,13,10691,411,0,388,0,BRONZE_I,64,13,10665,172,0,193,0,SILVER_IV,28,13,10297,39,0,32,0,BRONZE_I,100,16,15873,36,0,45,0,BRONZE_II,51,15,13324,102,0,102,0,BRONZE_II,23,15,14131,47,0,57,0,BRONZE_III,10,15,13479,56,0,67,0,SILVER_IV,0,13,11042
172,0,193,0,SILVER_IV,28,8,4555,260,0,252,0,SILVER_IV,28,10,7106,114,0,124,0,SILVER_IV,15,9,5653,411,0,388,0,BRONZE_I,64,10,6435,287,0,285,0,SILVER_IV,54,7,4053,225,0,234,0,BRONZE_I,10,12,9259,47,0,42,0,BRONZE_I,100,10,6569,264,0,244,0,SILVER_IV,75,11,7805,109,0,102,0,SILVER_IV,29,10,6326,21,0,37,0,SILVER_IV,16,9,5154
64,0,76,0,SILVER_IV,0,15,14426,172,0,193,0,SILVER_IV,28,15,13078,103,0,98,0,SILVER_IV,72,15,13103,411,0,388,0,BRONZE_I,64,14,11797,144,0,148,0,BRONZE_I,22,14,12858,33,0,31,0,BRONZE_I,64,17,18206,72,0,69,0,BRONZE_II,21,16,14856,128,0,115,0,SILVER_II,34,17,17093,44,0,42,0,BRONZE_I,95,15,14176,45,0,39,0,SILVER_IV,15,15,13829
230,0,224,0,SILVER_IV,61,18,31907,306,0,312,0,SILVER_IV,63,18,23659,72,0,69,0,SILVER_IV,40,18,24107,411,0,388,0,BRONZE_I,64,18,21200,226,0,249,0,SILVER_IV,0,18,22936,66,0,83,0,BRONZE_I,46,18,23812,294,0,304,0,SILVER_IV,0,18,23741,271,0,269,0,BRONZE_I,68,18,24906,409,0,405,0,SILVER_IV,17,18,22633,83,0,81,0,SILVER_IV,0,18,22044
61,0,70,0,BRONZE_I,51,15,14449,156,0,171,0,BRONZE_II,18,16,15316,398,0,389,0,BRONZE_I,27,15,13741,824,0,792,0,BRONZE_I,56,15,13575,699,0,673,0,BRONZE_I,67,13,11168,351,0,333,0,SILVER_III,29,18,21042,440,0,435,0,BRONZE_II,78,14,12865,274,0,258,0,BRONZE_III,39,16,15512,166,0,137,0,SILVER_IV,2,13,10532,641,0,638,0,BRONZE_II,47,12,9924
190,0,184,0,SILVER_II,86,13,11129,38,0,39,0,BRONZE_I,33,12,9069,52,0,59,0,SILVER_IV,0,13,10337,99,0,101,0,SILVER_III,22,12,8905,699,0,673,0,BRONZE_I,67,10,6806,102,0,97,0,SILVER_IV,49,12,8757,29,0,37,0,BRONZE_II,33,11,7425,135,0,142,0,BRONZE_I,33,11,7998,52,0,49,0,BRONZE_I,0,10,6163,117,0,112,0,GOLD_IV,58,9,5277
51,0,41,0,BRONZE_I,100,13,10393,705,0,710,0,SILVER_IV,0,12,8767,336,0,319,0,SILVER_III,24,12,8668,211,0,241,0,SILVER_IV,21,12,9117,699,0,673,0,BRONZE_I,67,10,6886,110,0,121,0,SILVER_IV,64,15,14026,239,0,239,0,SILVER_IV,21,13,10838,82,0,98,0,BRONZE_II,4,15,13028,91,0,91,0,SILVER_IV,12,12,8856,323,0,305,0,SILVER_IV,51,12,8773
102,0,107,0,SILVER_IV,59,16,15677,72,0,87,0,SILVER_IV,70,16,16219,27,0,33,0,BRONZE_I,26,14,12648,158,0,167,0,SILVER_IV,0,13,10110,699,0,673,0,BRONZE_I,67,17,16558,267,0,275,0,SILVER_IV,0,17,17792,77,0,85,0,SILVER_IV,46,17,18080,248,0,264,0,SILVER_IV,14,17,17694,111,0,129,0,SILVER_IV,9,17,16659,242,0,222,0,GOLD_IV,1,16,14903
387,0,382,0,SILVER_IV,45,16,15937,52,0,33,0,BRONZE_I,75,17,17603,86,0,108,0,SILVER_III,5,16,16311,72,0,85,0,BRONZE_I,0,15,13765,699,0,673,0,BRONZE_I,67,17,17656,100,0,119,0,BRONZE_III,81,18,20265,53,0,75,0,BRONZE_III,43,17,17648,25,0,22,0,SILVER_IV,35,18,19199,153,0,167,0,BRONZE_I,2,18,18566,82,0,84,0,SILVER_IV,0,17,17220
