rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
181,0,159,0,DIAMOND_II,76,14,12875,276,0,259,0,DIAMOND_I,22,14,11815,362,0,356,0,DIAMOND_III,87,15,13868,73,0,59,0,DIAMOND_IV,55,12,9583,90,0,77,0,DIAMOND_III,58,11,7828,219,0,219,0,DIAMOND_II,20,13,10391,216,0,195,0,DIAMOND_III,4,12,8732,520,0,475,0,DIAMOND_II,75,14,12258,78,0,59,0,DIAMOND_III,6,13,10042,116,0,104,0,DIAMOND_III,17,12,9380
72,0,46,0,DIAMOND_IV,1,14,11653,245,0,236,0,DIAMOND_IV,34,13,10241,168,0,113,0,DIAMOND_IV,27,13,11029,73,0,59,0,DIAMOND_IV,55,12,8788,90,0,77,0,DIAMOND_III,58,12,8818,347,0,305,0,MASTER_I,80,16,14700,276,0,259,0,DIAMOND_I,22,15,14296,362,0,356,0,DIAMOND_III,87,15,14127,151,0,149,0,DIAMOND_III,83,13,10444,149,0,108,0,DIAMOND_III,19,12,9837
107,0,90,0,PLATINUM_I,58,15,14662,140,0,157,0,DIAMOND_III,58,15,13168,210,0,216,0,DIAMOND_IV,59,15,13879,73,0,59,0,DIAMOND_IV,55,15,13694,90,0,77,0,DIAMOND_III,58,13,11032,175,0,177,0,DIAMOND_III,96,14,12407,196,0,193,0,DIAMOND_III,0,14,11741,188,0,201,0,DIAMOND_II,0,13,10935,203,0,207,0,DIAMOND_II,14,13,10227,588,0,556,0,DIAMOND_II,54,11,8221
107,0,90,0,PLATINUM_I,58,16,15624,276,0,259,0,DIAMOND_I,22,15,14672,362,0,356,0,DIAMOND_III,87,16,15583,73,0,59,0,DIAMOND_IV,55,14,11912,90,0,77,0,DIAMOND_III,58,13,10144,116,0,126,0,DIAMOND_IV,0,13,11299,62,0,65,0,PLATINUM_II,66,14,12438,181,0,180,0,DIAMOND_II,1,13,10463,132,0,107,0,DIAMOND_IV,0,12,9445,50,0,51,0,DIAMOND_II,0,12,8729
32,0,43,0,PLATINUM_I,62,11,7682,55,0,55,0,DIAMOND_IV,56,9,5916,36,0,38,0,DIAMOND_IV,1,11,7904,73,0,59,0,DIAMOND_IV,55,9,5493,90,0,77,0,DIAMOND_III,58,9,5498,402,0,352,0,DIAMOND_III,18,13,10114,344,0,320,0,DIAMOND_III,11,12,9474,74,0,39,0,DIAMOND_II,20,12,9375,50,0,59,0,DIAMOND_III,57,10,6632,495,0,460,0,DIAMOND_III,44,9,5792
150,0,137,0,MASTER_I,117,10,7182,757,0,742,0,DIAMOND_I,100,10,6520,114,0,103,0,MASTER_I,17,10,6584,85,0,86,0,MASTER_I,1,9,5859,348,0,340,0,DIAMOND_I,100,8,4592,187,0,163,0,DIAMOND_I,0,10,7113,95,0,90,0,DIAMOND_I,46,8,4951,59,0,21,0,DIAMOND_IV,32,10,6809,41,0,35,0,MASTER_I,1,8,4647,104,0,100,0,DIAMOND_I,34,7,3638
50,0,26,0,DIAMOND_I,100,11,8246,40,0,37,0,MASTER_I,56,10,6326,382,0,364,0,MASTER_I,106,11,7526,286,0,266,0,MASTER_I,51,10,6383,114,0,104,0,MASTER_I,135,7,3593,54,0,46,0,MASTER_I,112,8,4243,138,0,147,0,DIAMOND_I,23,10,7127,59,0,21,0,DIAMOND_IV,32,7,3857,79,0,52,0,MASTER_I,162,9,5085,632,0,578,0,MASTER_I,116,7,3736
54,0,46,0,MASTER_I,112,12,9495,196,0,162,0,MASTER_I,183,13,10163,50,0,41,0,MASTER_I,1,13,10538,84,0,75,0,MASTER_I,44,11,7414,66,0,47,0,MASTER_I,0,9,5715,339,0,328,0,MASTER_I,46,11,7448,87,0,66,0,MASTER_I,173,10,7275,59,0,21,0,DIAMOND_IV,32,11,7774,180,0,163,0,MASTER_I,287,10,6806,146,0,138,0,MASTER_I,129,8,4718
276,0,265,0,MASTER_I,242,15,14468,546,0,525,0,MASTER_I,12,15,13710,351,0,334,0,GRANDMASTER_I,608,14,12740,478,0,434,0,MASTER_I,314,13,11100,243,0,209,0,MASTER_I,141,13,11088,116,0,78,0,MASTER_I,94,17,16897,87,0,66,0,MASTER_I,173,16,16324,59,0,21,0,DIAMOND_IV,32,16,16172,120,0,99,0,MASTER_I,47,15,14379,106,0,94,0,MASTER_I,152,14,12497
55,0,34,0,MASTER_I,0,18,20755,79,0,67,0,MASTER_I,129,17,18245,116,0,78,0,MASTER_I,94,18,19281,328,0,285,0,MASTER_I,269,18,19212,234,0,174,0,MASTER_I,253,16,15814,363,0,347,0,MASTER_I,227,17,16549,92,0,83,0,MASTER_I,42,16,15031,59,0,21,0,DIAMOND_IV,32,17,17106,833,0,800,0,GRANDMASTER_I,595,16,16474,111,0,107,0,DIAMOND_I,100,14,12689
62,0,34,0,DIAMOND_IV,1,11,8212,500,0,483,0,DIAMOND_III,62,11,7302,73,0,94,0,PLATINUM_I,48,11,7903,36,0,34,0,DIAMOND_IV,75,10,6488,37,0,28,0,PLATINUM_I,2,8,4554,505,0,469,0,DIAMOND_II,7,10,6507,40,0,41,0,DIAMOND_IV,11,9,5373,81,0,66,0,PLATINUM_I,79,9,5759,93,0,68,0,DIAMOND_IV,0,10,6359,166,0,168,0,DIAMOND_IV,44,8,4606
717,0,724,0,DIAMOND_III,32,14,11721,632,0,624,0,DIAMOND_II,27,14,12223,322,0,295,0,DIAMOND_IV,82,14,12331,282,0,254,0,DIAMOND_III,63,12,9463,221,0,211,0,DIAMOND_IV,20,12,9088,177,0,147,0,DIAMOND_IV,42,15,13328,238,0,217,0,DIAMOND_III,39,16,15785,175,0,150,0,DIAMOND_IV,25,17,16948,93,0,68,0,DIAMOND_IV,0,13,11258,405,0,418,0,DIAMOND_II,80,14,11493
485,0,476,0,DIAMOND_IV,0,10,6774,407,0,364,0,PLATINUM_I,33,9,5354,426,0,398,0,DIAMOND_IV,88,10,6713,139,0,130,0,PLATINUM_I,54,9,5952,250,0,245,0,PLATINUM_I,15,8,4435,213,0,180,0,DIAMOND_IV,62,12,8918,267,0,237,0,PLATINUM_I,100,11,7482,63,0,39,0,PLATINUM_I,3,12,9139,93,0,68,0,DIAMOND_IV,0,10,6923,127,0,91,0,DIAMOND_III,31,9,5090
163,0,107,0,DIAMOND_IV,0,18,20821,139,0,130,0,DIAMOND_IV,16,18,19036,130,0,137,0,DIAMOND_III,26,18,24355,168,0,143,0,DIAMOND_IV,1,16,16247,91,0,74,0,DIAMOND_IV,47,18,19102,65,0,47,0,DIAMOND_IV,23,18,23069,115,0,88,0,PLATINUM_I,17,18,23021,164,0,129,0,PLATINUM_I,37,18,19211,93,0,68,0,DIAMOND_IV,0,18,19643,64,0,57,0,DIAMOND_IV,11,17,17034
488,0,454,0,DIAMOND_IV,30,16,16173,19,0,27,0,PLATINUM_II,75,17,18172,296,0,287,0,DIAMOND_III,0,18,18612,138,0,142,0,DIAMOND_IV,37,16,15088,787,0,778,0,DIAMOND_III,78,14,12313,152,0,138,0,PLATINUM_I,58,17,17241,44,0,28,0,DIAMOND_IV,51,17,17119,69,0,69,0,PLATINUM_I,45,17,16856,93,0,68,0,DIAMOND_IV,0,17,16708,425,0,402,0,PLATINUM_I,28,15,14513
76,0,50,0,DIAMOND_III,1,17,17030,93,0,78,0,PLATINUM_I,47,17,17789,294,0,309,0,DIAMOND_III,17,16,16165,62,0,45,0,PLATINUM_I,62,16,14775,220,0,200,0,DIAMOND_III,22,14,11453,93,0,79,0,DIAMOND_II,1,17,17986,36,0,15,0,DIAMOND_IV,22,17,17042,129,0,100,0,DIAMOND_III,11,18,18519,259,0,254,0,DIAMOND_II,50,16,16143,92,0,87,0,DIAMOND_IV,53,15,13949
48,0,31,0,PLATINUM_I,41,16,16373,262,0,272,0,DIAMOND_III,17,15,14465,48,0,45,0,DIAMOND_IV,62,16,15660,191,0,143,0,DIAMOND_IV,38,15,13604,53,0,35,0,PLATINUM_I,41,14,12069,251,0,233,0,DIAMOND_III,43,16,15820,180,0,169,0,DIAMOND_III,91,18,20533,125,0,84,0,DIAMOND_III,76,17,16532,259,0,254,0,DIAMOND_II,50,16,16401,92,0,87,0,DIAMOND_IV,53,15,13373
74,0,55,0,DIAMOND_IV,48,18,19288,65,0,67,0,DIAMOND_IV,61,17,17662,275,0,270,0,DIAMOND_II,59,17,17633,78,0,65,0,DIAMOND_IV,18,17,18178,124,0,133,0,DIAMOND_IV,0,15,13452,48,0,64,0,PLATINUM_II,60,18,21696,168,0,141,0,DIAMOND_IV,0,18,21781,206,0,217,0,DIAMOND_IV,20,18,21980,259,0,254,0,DIAMOND_II,50,18,21959,92,0,87,0,DIAMOND_IV,53,17,17910
147,0,135,0,PLATINUM_I,79,18,19166,155,0,175,0,PLATINUM_I,68,17,17995,113,0,95,0,PLATINUM_I,79,15,13265,112,0,112,0,DIAMOND_IV,4,17,17206,44,0,46,0,PLATINUM_I,46,15,14099,328,0,341,0,DIAMOND_IV,13,15,14228,391,0,383,0,DIAMOND_III,30,16,15839,292,0,262,0,DIAMOND_IV,17,16,15200,92,0,116,0,DIAMOND_IV,81,16,15498,92,0,87,0,DIAMOND_IV,53,14,11906
460,0,461,0,DIAMOND_II,22,18,18615,24,0,31,0,PLATINUM_II,75,17,17690,343,0,316,0,DIAMOND_IV,0,15,14016,193,0,188,0,DIAMOND_IV,50,15,13514,138,0,152,0,DIAMOND_IV,13,14,11932,198,0,200,0,DIAMOND_IV,69,13,11435,124,0,99,0,PLATINUM_II,61,16,15432,62,0,47,0,PLATINUM_I,0,16,15350,92,0,116,0,DIAMOND_IV,81,15,14470,92,0,87,0,DIAMOND_IV,53,14,12159
92,0,87,0,DIAMOND_IV,53,13,10849,92,0,87,0,DIAMOND_IV,53,16,15218,92,0,87,0,DIAMOND_IV,53,14,12018,92,0,87,0,DIAMOND_IV,53,13,10300,92,0,87,0,DIAMOND_IV,53,11,8533,92,0,87,0,DIAMOND_IV,53,13,11363,92,0,87,0,DIAMOND_IV,53,13,10610,92,0,87,0,DIAMOND_IV,53,11,7486,92,0,87,0,DIAMOND_IV,53,10,7266,92,0,87,0,DIAMOND_IV,53,10,6811
92,0,87,0,DIAMOND_IV,53,16,16268,92,0,87,0,DIAMOND_IV,53,15,13475,92,0,87,0,DIAMOND_IV,53,15,14324,92,0,87,0,DIAMOND_IV,53,14,12809,92,0,87,0,DIAMOND_IV,53,14,12183,92,0,87,0,DIAMOND_IV,53,17,17541,92,0,87,0,DIAMOND_IV,53,18,18781,92,0,87,0,DIAMOND_IV,53,18,18669,92,0,87,0,DIAMOND_IV,53,15,14318,92,0,87,0,DIAMOND_IV,53,15,13539
92,0,87,0,DIAMOND_IV,53,16,15269,92,0,87,0,DIAMOND_IV,53,14,12322,92,0,87,0,DIAMOND_IV,53,16,16071,92,0,87,0,DIAMOND_IV,53,14,11619,92,0,87,0,DIAMOND_IV,53,12,9839,92,0,87,0,DIAMOND_IV,53,14,12455,92,0,87,0,DIAMOND_IV,53,12,9702,92,0,87,0,DIAMOND_IV,53,15,13588,92,0,87,0,DIAMOND_IV,53,13,11197,92,0,87,0,DIAMOND_IV,53,11,8481
92,0,87,0,DIAMOND_IV,53,14,12103,92,0,87,0,DIAMOND_IV,53,13,10522,92,0,87,0,DIAMOND_IV,53,16,15322,92,0,87,0,DIAMOND_IV,53,14,11541,92,0,87,0,DIAMOND_IV,53,13,10380,92,0,87,0,DIAMOND_IV,53,16,14915,92,0,87,0,DIAMOND_IV,53,15,14543,92,0,87,0,DIAMOND_IV,53,16,15922,92,0,87,0,DIAMOND_IV,53,15,14344,92,0,87,0,DIAMOND_IV,53,14,11524
92,0,87,0,DIAMOND_IV,53,14,12049,92,0,87,0,DIAMOND_IV,53,14,12163,92,0,87,0,DIAMOND_IV,53,14,11797,92,0,87,0,DIAMOND_IV,53,12,9229,92,0,87,0,DIAMOND_IV,53,12,9009,92,0,87,0,DIAMOND_IV,53,11,7488,92,0,87,0,DIAMOND_IV,53,11,7861,92,0,87,0,DIAMOND_IV,53,13,11370,92,0,87,0,DIAMOND_IV,53,11,7883,92,0,87,0,DIAMOND_IV,53,10,6338
46,0,41,0,PLATINUM_II,78,15,13724,223,0,202,0,DIAMOND_IV,31,15,13234,195,0,198,0,PLATINUM_I,38,14,12050,250,0,244,0,PLATINUM_I,37,13,10411,185,0,154,0,PLATINUM_I,27,13,10545,95,0,108,0,PLATINUM_II,30,15,14423,106,0,93,0,PLATINUM_I,29,16,15226,203,0,173,0,DIAMOND_IV,15,16,15755,64,0,42,0,DIAMOND_IV,95,15,13504,364,0,343,0,PLATINUM_II,72,12,9894
111,0,123,0,GOLD_III,58,14,11956,111,0,123,0,GOLD_III,58,11,8530,19,0,18,0,GOLD_IV,41,13,10989,22,0,12,0,BRONZE_II,59,10,6999,72,0,89,0,BRONZE_I,4,9,5492,107,0,99,0,PLATINUM_III,55,15,13136,52,0,54,0,GOLD_IV,67,13,10786,34,0,27,0,SILVER_III,48,14,11628,219,0,192,0,DIAMOND_IV,0,15,14512,219,0,192,0,DIAMOND_IV,0,13,10474
50,0,27,0,GOLD_II,0,16,15184,151,0,162,0,GOLD_III,10,14,12470,108,0,88,0,DIAMOND_IV,5,15,13337,78,0,61,0,PLATINUM_II,75,16,16219,192,0,182,0,GOLD_IV,23,13,11340,186,0,181,0,GOLD_III,86,17,17080,79,0,67,0,GOLD_II,43,16,15231,68,0,71,0,GOLD_III,49,15,14173,178,0,175,0,MASTER_I,1,16,15209,94,0,85,0,DIAMOND_IV,76,15,13620
