main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
126,0,119,0,SILVER,III,78,18,18930,200,0,207,0,SILVER_III,22,18,23252,186,0,194,0,SILVER_III,41,18,19386,121,0,121,0,SILVER_III,59,17,17986,338,0,336,0,SILVER_III,1,16,15927,57,0,67,0,SILVER_II,7,18,20431,168,0,128,0,SILVER_III,64,16,15708,34,0,40,0,SILVER_IV,6,15,14029,350,0,341,0,SILVER_II,12,16,16434,97,0,98,0,SILVER_III,14,15,13265
126,0,119,0,SILVER,III,78,17,17511,153,0,159,0,SILVER_III,78,17,18227,105,0,105,0,SILVER_IV,43,18,19162,81,0,84,0,SILVER_III,54,17,16771,26,0,27,0,SILVER_II,55,15,14139,40,0,51,0,SILVER_III,8,18,19092,180,0,188,0,SILVER_IV,65,16,15389,245,0,200,0,SILVER_III,75,15,13979,28,0,36,0,SILVER_IV,75,14,12814,79,0,86,0,SILVER_III,43,15,14688
467,0,460,0,SILVER_III,89,18,19544,544,0,552,0,SILVER_II,89,17,17563,35,0,49,0,SILVER_III,64,16,15948,27,0,24,0,SILVER_IV,87,17,17798,59,0,68,0,SILVER_III,99,18,18767,81,0,89,0,SILVER_III,48,18,21881,79,0,74,0,SILVER,III,0,18,19594,117,0,100,0,SILVER_I,4,18,19258,97,0,95,0,SILVER_II,75,18,18538,22,0,26,0,SILVER_IV,0,16,15659
69,0,71,0,SILVER_II,35,13,10917,45,0,36,0,BRONZE_I,100,14,12591,34,0,50,0,SILVER_III,94,14,12505,21,0,28,0,SILVER_IV,99,14,12063,39,0,38,0,SILVER_I,46,13,11085,47,0,43,0,SILVER_II,23,13,9997,79,0,74,0,SILVER,III,0,14,11633,117,0,100,0,SILVER_I,4,13,10514,752,0,748,0,SILVER_II,32,11,8303,80,0,94,0,SILVER_II,0,12,9417
140,0,143,0,SILVER_II,15,16,15725,188,0,183,0,SILVER_III,90,16,16458,346,0,348,0,SILVER_III,58,17,16795,74,0,98,0,SILVER_III,75,14,12027,33,0,43,0,SILVER_III,45,14,12223,351,0,370,0,SILVER_II,15,17,17094,79,0,74,0,SILVER,III,0,18,18720,117,0,100,0,SILVER_I,4,16,16455,136,0,132,0,SILVER_II,48,16,16022,140,0,135,0,SILVER_II,30,15,14022
279,0,278,0,SILVER_III,80,13,10701,324,0,300,0,SILVER_III,41,13,10633,586,0,532,0,SILVER_II,19,12,9808,375,0,320,0,SILVER_III,0,11,7857,240,0,225,0,SILVER_III,51,11,8034,150,0,153,0,SILVER_IV,62,12,8600,30,0,38,0,SILVER_IV,73,12,9035,41,0,50,0,SILVER,III,1,10,7024,76,0,108,0,SILVER_IV,21,10,7191,32,0,35,0,SILVER_III,62,10,6514
155,0,169,0,SILVER_I,0,18,21577,16,0,29,0,SILVER_IV,61,18,21640,215,0,207,0,SILVER_III,62,18,21193,78,0,86,0,SILVER_III,1,18,19311,139,0,156,0,SILVER_IV,71,18,18731,244,0,201,0,SILVER_IV,0,18,25189,94,0,103,0,SILVER_II,90,18,20379,41,0,50,0,SILVER,III,1,17,16940,79,0,82,0,SILVER_III,19,18,19878,169,0,156,0,SILVER_III,90,18,19198
156,0,163,0,SILVER_IV,75,16,14917,281,0,291,0,SILVER_III,45,13,10890,183,0,190,0,SILVER_IV,80,15,14136,74,0,83,0,SILVER_III,5,13,10697,257,0,228,0,SILVER_II,29,12,9668,57,0,56,0,SILVER_III,17,17,16641,48,0,40,0,SILVER_II,12,16,15067,41,0,50,0,SILVER,III,1,16,15113,262,0,277,0,SILVER_IV,9,15,14390,369,0,365,0,SILVER_IV,50,14,12580
61,0,61,0,GOLD_IV,0,13,10870,153,0,154,0,GOLD_IV,0,16,15855,61,0,60,0,SILVER_II,14,15,14112,175,0,182,0,SILVER_IV,47,14,12088,88,0,101,0,GOLD_I,28,13,10391,187,0,186,0,GOLD_IV,12,16,15209,63,0,73,0,SILVER,III,77,17,16773,227,0,187,0,GOLD_III,16,15,13638,258,0,259,0,GOLD_III,31,15,14498,547,0,537,0,SILVER_III,51,14,11909
65,0,73,0,SILVER_IV,11,18,19207,66,0,85,0,SILVER_I,66,15,13403,331,0,343,0,SILVER_III,20,15,14462,307,0,294,0,SILVER_III,13,14,12577,95,0,95,0,SILVER_III,27,14,11579,340,0,329,0,SILVER_III,88,17,16871,63,0,73,0,SILVER,III,77,17,16608,356,0,360,0,SILVER_II,14,18,18633,173,0,138,0,SILVER_III,41,16,14879,174,0,144,0,SILVER_III,5,14,12037
