rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
16,0,10,0,GOLD_I,61,9,5672,16,0,10,0,GOLD_I,61,8,4200,34,0,34,0,SILVER_III,33,8,4262,31,0,17,0,GOLD_I,50,10,6302,110,0,109,0,GOLD_IV,64,8,4607,96,0,88,0,SILVER_I,14,8,4080,188,0,202,0,SILVER_IV,39,8,4802,16,0,16,0,SILVER_IV,64,10,6559,41,0,52,0,BRONZE_II,68,11,7373,16,0,10,0,GOLD_I,61,11,7952
110,0,109,0,GOLD_IV,64,14,12129,110,0,109,0,GOLD_IV,64,12,9130,110,0,109,0,GOLD_IV,64,11,8108,31,0,17,0,GOLD_I,50,14,12441,34,0,34,0,SILVER_III,33,12,8950,147,0,146,0,PLATINUM_II,13,15,14286,147,0,146,0,PLATINUM_II,13,14,11777,49,0,48,0,GOLD_IV,2,13,9983,49,0,48,0,GOLD_IV,2,14,11771,7,0,8,0,BRONZE_III,37,12,9567
34,0,34,0,SILVER_III,33,13,10868,22,0,11,0,PLATINUM_IV,43,12,9755,93,0,98,0,PLATINUM_II,23,14,12427,302,0,305,0,PLATINUM_I,75,11,8133,281,0,252,0,PLATINUM_II,75,10,6703,46,0,41,0,PLATINUM_II,62,14,12025,223,0,204,0,PLATINUM_III,1,15,13908,167,0,169,0,DIAMOND_IV,31,14,12753,56,0,32,0,GOLD_I,41,13,11244,45,0,26,0,PLATINUM_I,92,13,10330
113,0,129,0,PLATINUM_IV,65,13,11379,146,0,131,0,DIAMOND_IV,41,11,8533,67,0,76,0,PLATINUM_IV,69,11,7707,41,0,42,0,DIAMOND_III,0,12,9084,198,0,188,0,DIAMOND_II,84,10,6446,271,0,247,0,PLATINUM_I,64,15,13175,336,0,353,0,PLATINUM_II,26,14,12555,90,0,85,0,PLATINUM_I,75,13,11311,56,0,32,0,GOLD_I,41,12,9602,45,0,26,0,PLATINUM_I,92,11,7890
16,0,23,0,GOLD_I,38,16,15303,18,0,7,0,SILVER_I,82,16,14931,87,0,96,0,PLATINUM_IV,0,14,12023,91,0,74,0,PLATINUM_III,13,13,10257,19,0,25,0,GOLD_I,71,13,10142,135,0,133,0,PLATINUM_I,75,13,10369,43,0,51,0,PLATINUM_IV,0,13,11139,54,0,38,0,PLATINUM_III,0,12,9164,56,0,32,0,GOLD_I,41,14,11749,23,0,25,0,PLATINUM_IV,0,12,8637
199,0,217,0,SILVER_II,9,18,19555,72,0,52,0,DIAMOND_IV,19,18,20434,21,0,16,0,GOLD_II,74,18,21010,190,0,197,0,GOLD_I,40,17,17007,86,0,83,0,PLATINUM_IV,30,16,15658,17,0,27,0,GOLD_II,33,17,17451,182,0,183,0,PLATINUM_IV,18,18,18947,36,0,12,0,PLATINUM_I,18,16,15770,56,0,32,0,GOLD_I,41,18,22335,93,0,97,0,PLATINUM_IV,46,18,19564
35,0,43,0,GOLD_II,43,10,6874,253,0,261,0,PLATINUM_IV,15,8,4701,87,0,96,0,PLATINUM_IV,0,10,6976,79,0,49,0,PLATINUM_I,98,8,4383,79,0,49,0,PLATINUM_I,98,8,4249,30,0,27,0,GOLD_II,21,10,6835,8,0,7,0,GOLD_III,90,12,9054,64,0,72,0,GOLD_I,21,10,6264,56,0,32,0,GOLD_I,41,11,8030,67,0,86,0,GOLD_III,23,8,4796
26,0,20,0,GOLD_I,16,14,12197,36,0,28,0,PLATINUM_IV,50,13,10332,36,0,28,0,PLATINUM_IV,50,14,12161,21,0,11,0,PLATINUM_IV,1,12,9781,29,0,22,0,PLATINUM_IV,4,12,8597,40,0,57,0,PLATINUM_IV,83,11,8257,16,0,17,0,GOLD_I,17,11,7731,32,0,24,0,PLATINUM_IV,1,13,10373,59,0,67,0,GOLD_IV,59,12,9210,16,0,21,0,GOLD_I,64,9,5945
68,0,58,0,PLATINUM_IV,69,14,11706,173,0,169,0,PLATINUM_IV,12,13,10582,34,0,32,0,PLATINUM_IV,49,15,13091,177,0,160,0,PLATINUM_III,11,13,10469,132,0,133,0,PLATINUM_III,6,11,8340,41,0,22,0,PLATINUM_I,75,16,15302,16,0,17,0,GOLD_I,17,15,14122,305,0,268,0,PLATINUM_II,2,14,12890,47,0,40,0,PLATINUM_III,4,14,12181,223,0,212,0,PLATINUM_III,37,14,11467
18,0,12,0,GOLD_IV,24,17,17527,74,0,55,0,PLATINUM_IV,0,16,16017,31,0,17,0,GOLD_I,79,15,14467,69,0,66,0,PLATINUM_II,45,16,15180,487,0,459,0,PLATINUM_II,0,14,12347,58,0,68,0,PLATINUM_I,47,14,12224,16,0,17,0,GOLD_I,17,15,13773,16,0,13,0,GOLD_I,100,14,12726,21,0,13,0,GOLD_IV,57,13,10222,29,0,34,0,PLATINUM_IV,20,12,9937
