rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
182,0,176,0,DIAMOND_II,0,12,9028,25,0,18,0,PLATINUM_II,30,14,11780,40,0,32,0,PLATINUM_I,4,12,9745,76,0,59,0,PLATINUM_I,75,12,9379,110,0,98,0,DIAMOND_III,59,11,8500,290,0,270,0,DIAMOND_I,60,12,8928,113,0,100,0,DIAMOND_IV,21,11,8115,270,0,254,0,DIAMOND_I,36,11,8575,16,0,14,0,PLATINUM_I,80,11,7344,171,0,192,0,DIAMOND_I,29,10,6267
20,0,16,0,DIAMOND_IV,13,18,22243,71,0,61,0,DIAMOND_II,26,18,22055,26,0,20,0,PLATINUM_I,75,17,17406,34,0,38,0,DIAMOND_II,21,17,16858,122,0,120,0,DIAMOND_III,53,16,15120,55,0,32,0,DIAMOND_I,75,18,18420,33,0,31,0,PLATINUM_I,37,15,14414,214,0,226,0,PLATINUM_I,32,16,16414,16,0,14,0,PLATINUM_I,80,16,15498,17,0,28,0,PLATINUM_II,44,14,12815
41,0,24,0,DIAMOND_II,1,14,12848,26,0,20,0,PLATINUM_I,75,14,12162,20,0,16,0,DIAMOND_IV,13,15,13141,40,0,16,0,DIAMOND_IV,0,14,12279,40,0,16,0,DIAMOND_IV,0,13,10605,222,0,201,0,DIAMOND_IV,1,13,10752,29,0,13,0,DIAMOND_IV,46,12,9156,40,0,39,0,PLATINUM_I,78,12,9551,16,0,14,0,PLATINUM_I,80,11,8287,17,0,28,0,PLATINUM_II,44,12,8938
222,0,201,0,DIAMOND_IV,1,15,13467,99,0,106,0,DIAMOND_IV,14,15,13020,77,0,59,0,DIAMOND_I,45,16,15064,156,0,137,0,MASTER_I,0,14,12462,61,0,50,0,PLATINUM_I,100,14,11680,58,0,59,0,DIAMOND_II,0,16,16253,113,0,95,0,DIAMOND_IV,75,16,15442,56,0,25,0,PLATINUM_I,15,16,16152,16,0,14,0,PLATINUM_I,80,16,16361,17,0,28,0,PLATINUM_II,44,15,14439
85,0,62,0,DIAMOND_III,98,15,13163,610,0,584,0,DIAMOND_I,97,14,13019,773,0,747,0,DIAMOND_II,0,15,13893,107,0,135,0,DIAMOND_III,70,12,9038,254,0,229,0,PLATINUM_I,49,12,8838,300,0,235,0,DIAMOND_II,16,15,13963,245,0,215,0,DIAMOND_II,16,18,19054,307,0,285,0,DIAMOND_II,58,15,14428,16,0,14,0,PLATINUM_I,80,15,13105,17,0,28,0,PLATINUM_II,44,15,13049
4,0,6,0,PLATINUM_III,76,16,16360,205,0,223,0,DIAMOND_IV,43,14,12624,8,0,10,0,PLATINUM_I,8,15,14430,748,0,743,0,DIAMOND_IV,0,15,13364,12,0,15,0,PLATINUM_I,66,13,10883,369,0,313,0,DIAMOND_IV,75,16,15477,86,0,56,0,PLATINUM_I,100,16,15661,53,0,28,0,PLATINUM_I,19,17,18302,24,0,19,0,PLATINUM_I,77,16,15380,36,0,22,0,PLATINUM_I,41,15,13508
406,0,395,0,DIAMOND_IV,59,17,17789,72,0,89,0,DIAMOND_IV,46,18,20896,58,0,45,0,PLATINUM_I,25,18,18440,387,0,370,0,DIAMOND_IV,44,18,18846,213,0,180,0,DIAMOND_IV,62,16,15277,73,0,57,0,DIAMOND_IV,1,18,22040,238,0,203,0,PLATINUM_I,34,17,17633,53,0,28,0,PLATINUM_I,19,18,21045,92,0,116,0,DIAMOND_IV,81,18,22245,156,0,133,0,DIAMOND_III,4,16,16219
530,0,542,0,DIAMOND_II,4,12,8980,361,0,348,0,PLATINUM_I,0,15,13111,270,0,282,0,DIAMOND_IV,48,14,12507,64,0,40,0,PLATINUM_II,76,14,12225,38,0,34,0,PLATINUM_II,66,14,11466,410,0,378,0,DIAMOND_III,62,16,15571,437,0,452,0,DIAMOND_III,7,15,14047,53,0,28,0,PLATINUM_I,19,16,16083,337,0,314,0,DIAMOND_III,53,15,13568,138,0,113,0,DIAMOND_III,68,13,10623
43,0,40,0,PLATINUM_I,64,16,14799,64,0,40,0,PLATINUM_I,12,16,15965,322,0,295,0,DIAMOND_IV,82,15,13820,233,0,245,0,DIAMOND_IV,0,14,12654,130,0,102,0,PLATINUM_I,74,14,11716,227,0,207,0,DIAMOND_IV,0,14,11892,243,0,230,0,DIAMOND_IV,26,13,10807,53,0,28,0,PLATINUM_I,19,13,11361,35,0,42,0,PLATINUM_I,20,13,11132,245,0,237,0,PLATINUM_II,63,12,8664
235,0,215,0,DIAMOND_III,6,14,11466,158,0,152,0,DIAMOND_IV,2,14,12154,29,0,19,0,PLATINUM_I,8,13,10750,765,0,759,0,PLATINUM_I,37,13,11133,704,0,673,0,PLATINUM_I,95,13,10375,26,0,20,0,PLATINUM_I,56,17,17725,18,0,22,0,PLATINUM_I,68,17,17443,53,0,28,0,PLATINUM_I,19,16,16095,62,0,47,0,PLATINUM_I,32,14,11703,112,0,95,0,PLATINUM_I,75,14,11772
