rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
181,0,183,0,BRONZE_III,48,10,6663,56,0,64,0,BRONZE_II,49,13,10874,145,0,150,0,BRONZE_III,75,13,10651,20,0,19,0,BRONZE_III,8,10,7153,117,0,139,0,BRONZE_II,42,10,7108,662,0,616,0,BRONZE_II,50,14,11482,259,0,281,0,BRONZE_II,8,13,10245,357,0,331,0,BRONZE_I,7,14,11915,45,0,57,0,BRONZE_II,38,12,9186,71,0,77,0,BRONZE_II,61,12,8604
8,0,11,0,BRONZE_II,51,12,8782,14,0,6,0,BRONZE_I,40,11,8254,146,0,132,0,BRONZE_III,75,12,9624,20,0,19,0,BRONZE_III,8,10,7271,8,0,4,0,BRONZE_IV,98,9,6092,8,0,14,0,BRONZE_II,12,11,7795,279,0,285,0,BRONZE_IV,13,9,5920,19,0,18,0,BRONZE_III,47,10,7039,14,0,18,0,BRONZE_I,32,10,6656,14,0,18,0,BRONZE_I,32,9,5971
29,0,32,0,BRONZE_II,29,18,25882,309,0,283,0,SILVER_IV,19,18,21273,322,0,321,0,SILVER_IV,22,17,17059,243,0,238,0,SILVER_III,83,18,23507,14,0,20,0,BRONZE_II,90,18,18448,196,0,174,0,SILVER_IV,0,18,22210,11,0,13,0,BRONZE_III,83,17,17284,67,0,67,0,SILVER_IV,28,18,20523,229,0,216,0,SILVER_IV,15,16,15132,472,0,464,0,SILVER_IV,15,16,14770
50,0,64,0,BRONZE_II,8,15,14665,136,0,143,0,BRONZE_II,85,15,14026,443,0,452,0,BRONZE_II,0,15,13031,77,0,81,0,BRONZE_III,91,15,13883,185,0,196,0,BRONZE_I,70,15,13282,57,0,55,0,BRONZE_III,75,14,11951,55,0,60,0,BRONZE_II,81,12,9691,595,0,568,0,SILVER_IV,41,13,10213,365,0,380,0,BRONZE_II,64,13,10498,111,0,100,0,BRONZE_I,24,12,8924
26,0,28,0,BRONZE_II,21,18,20800,27,0,40,0,BRONZE_III,98,17,16650,215,0,237,0,BRONZE_IV,44,18,18751,15,0,12,0,BRONZE_II,32,15,14149,7,0,3,0,BRONZE_II,2,15,13026,57,0,55,0,BRONZE_III,75,17,16981,57,0,55,0,BRONZE_III,75,15,13021,170,0,181,0,BRONZE_II,89,16,16216,170,0,181,0,BRONZE_II,89,14,11716,170,0,181,0,BRONZE_II,89,13,11140
116,0,115,0,BRONZE_II,34,15,13331,84,0,109,0,BRONZE_IV,28,14,12213,163,0,183,0,SILVER_IV,0,15,13390,92,0,96,0,BRONZE_III,71,15,13924,138,0,144,0,SILVER_IV,27,14,11888,57,0,55,0,BRONZE_III,75,16,14842,236,0,217,0,BRONZE_III,34,15,14304,335,0,319,0,BRONZE_I,51,14,12807,180,0,189,0,BRONZE_II,13,14,11766,49,0,93,0,IRON_IV,92,12,9278
82,0,75,0,SILVER_IV,18,15,13391,68,0,73,0,SILVER_IV,54,12,9549,268,0,292,0,SILVER_IV,36,14,11526,206,0,221,0,SILVER_IV,37,14,12205,256,0,232,0,SILVER_IV,0,14,12468,57,0,55,0,BRONZE_III,75,14,11488,123,0,125,0,SILVER_III,25,17,17243,200,0,183,0,SILVER_IV,83,15,13281,157,0,152,0,SILVER_I,51,15,14376,352,0,301,0,SILVER_II,26,13,11132
21,0,30,0,BRONZE_IV,15,18,23271,33,0,38,0,BRONZE_III,75,18,21275,171,0,157,0,BRONZE_I,19,18,20828,98,0,81,0,SILVER_IV,36,18,21756,112,0,114,0,BRONZE_I,33,18,19910,613,0,592,0,SILVER_III,14,18,21603,56,0,73,0,BRONZE_III,31,18,23577,556,0,561,0,SILVER_IV,11,18,23909,16,0,24,0,BRONZE_III,33,18,19777,37,0,43,0,BRONZE_III,79,16,15328
137,0,116,0,SILVER_IV,23,17,18248,42,0,43,0,BRONZE_III,48,14,12618,35,0,44,0,BRONZE_IV,36,14,12954,111,0,107,0,SILVER_IV,0,15,14683,281,0,276,0,BRONZE_II,56,13,10344,70,0,92,0,BRONZE_IV,30,15,13040,56,0,73,0,BRONZE_III,31,15,14441,414,0,368,0,SILVER_I,81,16,14850,260,0,255,0,BRONZE_II,29,12,9671,239,0,256,0,BRONZE_III,69,12,8998
139,0,97,0,GOLD_IV,0,16,15160,14,0,26,0,BRONZE_IV,31,14,13014,13,0,15,0,IRON_I,68,18,20943,32,0,33,0,SILVER_IV,64,15,14210,28,0,31,0,BRONZE_IV,18,15,13279,73,0,88,0,BRONZE_IV,77,16,15532,56,0,73,0,BRONZE_III,31,18,21094,55,0,50,0,SILVER_II,95,16,16196,51,0,65,0,BRONZE_III,0,17,18239,402,0,399,0,BRONZE_IV,92,16,14753
47,0,64,0,BRONZE_II,0,17,17552,157,0,161,0,BRONZE_IV,53,17,17779,179,0,165,0,GOLD_IV,18,18,22769,144,0,123,0,SILVER_III,0,18,22381,87,0,83,0,SILVER_IV,12,18,22290,22,0,23,0,BRONZE_II,0,18,20206,56,0,73,0,BRONZE_III,31,18,20041,495,0,494,0,BRONZE_I,31,16,15573,162,0,168,0,SILVER_IV,0,18,22055,81,0,83,0,BRONZE_II,54,17,17344
144,0,166,0,BRONZE_I,57,16,15932,32,0,52,0,IRON_II,90,15,13526,294,0,285,0,SILVER_III,1,17,16564,190,0,191,0,BRONZE_III,91,16,15714,190,0,190,0,BRONZE_II,29,15,13619,150,0,150,0,BRONZE_I,26,15,14177,56,0,73,0,BRONZE_III,31,16,15323,337,0,325,0,SILVER_IV,76,16,16376,445,0,404,0,SILVER_IV,26,14,11907,57,0,63,0,BRONZE_II,18,13,10506
194,0,208,0,BRONZE_III,88,18,19450,325,0,311,0,BRONZE_II,2,17,17936,500,0,516,0,BRONZE_III,25,18,19525,74,0,68,0,BRONZE_III,25,18,18674,130,0,145,0,BRONZE_II,16,16,15841,18,0,33,0,BRONZE_III,75,17,18049,92,0,92,0,BRONZE_III,16,18,18757,78,0,87,0,BRONZE_III,75,18,18788,218,0,231,0,BRONZE_III,48,16,15113,446,0,405,0,BRONZE_III,42,15,13431
