result,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,80,88,BRONZE_IV,75,17,17893,11,21,BRONZE_II,20,18,21375,125,141,SILVER_IV,0,18,21155,13,22,BRONZE_II,43,15,14427,18,17,BRONZE_III,75,16,16362,288,317,BRONZE_III,0,18,18567,202,252,BRONZE_I,17,18,20482,22,22,BRONZE_II,75,17,17331,128,136,BRONZE_II,91,15,14565,37,63,BRONZE_III,61,12,9823
0,54,72,SILVER_IV,0,18,20695,24,24,SILVER_II,0,18,19884,29,24,BRONZE_I,87,18,19839,21,21,SILVER_IV,32,17,18336,11,13,BRONZE_IV,1,17,16887,11,13,BRONZE_IV,1,17,18084,360,368,GOLD_IV,0,17,16697,9,8,BRONZE_II,24,18,20665,147,147,BRONZE_II,0,18,18801,147,147,BRONZE_II,0,15,13977
1,266,273,SILVER_IV,0,18,19346,205,204,SILVER_IV,4,17,18047,138,149,BRONZE_III,7,16,16361,159,144,BRONZE_II,75,17,16887,91,99,BRONZE_II,47,15,13241,147,147,BRONZE_II,0,18,20239,21,21,BRONZE_II,55,18,22952,9,8,BRONZE_II,24,17,18234,8,7,BRONZE_I,9,15,14646,68,70,IRON_I,22,15,13570
1,7,14,BRONZE_IV,10,14,12241,7,14,BRONZE_IV,10,11,8141,38,48,BRONZE_II,60,12,9283,12,22,BRONZE_II,46,11,8413,123,118,BRONZE_II,0,10,7118,147,147,BRONZE_II,0,15,13185,8,4,BRONZE_II,1,15,13361,9,8,BRONZE_II,24,14,12168,343,353,SILVER_IV,61,13,11274,17,19,BRONZE_II,85,12,9488
0,64,68,SILVER_III,85,16,14780,258,246,GOLD_IV,57,15,13065,121,134,SILVER_I,94,14,11658,152,142,PLATINUM_IV,42,13,10142,152,142,PLATINUM_IV,42,12,9820,147,147,BRONZE_II,0,14,11510,54,57,GOLD_IV,27,10,6921,9,8,BRONZE_II,24,12,9243,9,8,BRONZE_II,24,12,9270,194,182,GOLD_III,17,12,9806
1,86,84,GOLD_IV,0,11,7312,20,12,IRON_II,8,7,3689,74,92,SILVER_IV,75,11,7814,23,19,SILVER_I,71,10,6762,106,118,SILVER_IV,27,9,5171,147,147,BRONZE_II,0,11,8000,194,182,GOLD_III,17,11,8035,9,8,BRONZE_II,24,11,8368,54,57,GOLD_IV,27,9,5086,54,57,GOLD_IV,27,10,6452
0,108,75,SILVER_I,100,16,14795,158,117,SILVER_II,23,14,12872,7,19,BRONZE_IV,58,15,13113,288,280,SILVER_II,3,12,9885,220,204,SILVER_IV,77,12,9126,147,147,BRONZE_II,0,14,12682,194,182,GOLD_III,17,12,9331,9,8,BRONZE_II,24,12,9437,50,49,PLATINUM_IV,0,11,7818,69,50,BRONZE_I,43,10,6478
1,28,35,BRONZE_II,1,14,11474,16,16,BRONZE_I,76,11,7368,33,31,BRONZE_IV,71,12,9951,33,31,BRONZE_IV,71,11,8449,158,137,GOLD_IV,15,11,7421,147,147,BRONZE_II,0,13,11344,194,182,GOLD_III,17,14,12154,9,8,BRONZE_II,24,14,12802,131,141,BRONZE_II,15,12,9683,150,170,BRONZE_IV,94,13,10372
1,12,12,BRONZE_I,51,12,9612,23,16,SILVER_II,86,13,10454,23,16,SILVER_II,86,12,9004,5,6,BRONZE_II,12,13,11090,56,78,SILVER_IV,46,10,6627,45,58,SILVER_IV,0,11,8350,13,27,BRONZE_III,61,11,8124,6,12,BRONZE_I,88,13,10572,3,9,BRONZE_III,29,10,6658,3,9,BRONZE_III,29,10,6280
0,258,274,BRONZE_IV,31,5,1837,25,29,SILVER_IV,73,9,5783,16,24,BRONZE_I,0,8,4722,5,6,BRONZE_II,12,7,3991,14,14,SILVER_III,81,8,4231,127,121,SILVER_II,15,10,6909,7,3,BRONZE_II,95,8,4282,7,3,BRONZE_II,95,9,5156,7,3,BRONZE_II,95,8,4098,12,21,BRONZE_II,17,6,2555
