rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
49,0,29,0,GOLD_II,0,18,21518,83,0,75,0,GOLD_II,26,18,20711,79,0,50,0,GOLD_I,100,18,20934,499,0,507,0,GOLD_III,51,18,20587,69,0,72,0,GOLD_I,14,16,15022,13,0,20,0,GOLD_III,77,17,17533,343,0,349,0,GOLD_I,62,16,16213,171,0,185,0,GOLD_IV,15,16,16122,109,0,111,0,GOLD_II,46,17,16538,396,0,397,0,PLATINUM_IV,6,14,12469
247,0,266,0,GOLD_II,24,15,14035,304,0,320,0,PLATINUM_IV,55,14,12707,195,0,182,0,PLATINUM_III,43,15,13413,257,0,237,0,PLATINUM_IV,12,14,12744,345,0,328,0,GOLD_II,20,13,10241,13,0,20,0,GOLD_III,77,13,10964,194,0,196,0,GOLD_III,16,11,7966,250,0,247,0,GOLD_IV,9,12,9116,68,0,61,0,GOLD_II,13,12,9728,256,0,250,0,GOLD_IV,42,12,9711
173,0,160,0,PLATINUM_IV,72,17,16911,45,0,58,0,GOLD_IV,95,16,16195,51,0,51,0,PLATINUM_III,6,18,20095,76,0,95,0,PLATINUM_IV,0,18,19950,57,0,55,0,GOLD_II,63,14,12036,13,0,20,0,GOLD_III,77,16,16188,58,0,37,0,PLATINUM_II,48,16,16055,129,0,106,0,PLATINUM_IV,78,16,15555,69,0,59,0,PLATINUM_IV,1,16,15454,157,0,153,0,GOLD_I,21,13,11412
208,0,174,0,PLATINUM_IV,4,13,10633,171,0,173,0,GOLD_IV,41,13,10343,400,0,367,0,GOLD_III,60,13,10783,86,0,57,0,GOLD_II,78,12,8689,420,0,391,0,GOLD_IV,47,10,7194,30,0,22,0,GOLD_IV,90,12,9106,254,0,251,0,GOLD_IV,27,11,7998,338,0,331,0,GOLD_IV,76,10,6937,153,0,151,0,GOLD_III,32,10,6667,152,0,114,0,GOLD_IV,55,9,5601
30,0,22,0,GOLD_IV,90,13,10652,254,0,251,0,GOLD_IV,27,11,8508,400,0,367,0,GOLD_III,60,13,10643,435,0,389,0,GOLD_I,45,10,7282,110,0,99,0,GOLD_IV,2,10,6624,90,0,78,0,GOLD_IV,71,16,15209,237,0,224,0,GOLD_III,43,14,12643,214,0,202,0,GOLD_III,14,15,13633,119,0,119,0,GOLD_II,92,13,10004,108,0,107,0,GOLD_IV,75,11,7808
225,0,250,0,GOLD_IV,58,18,28979,367,0,362,0,GOLD_III,33,18,22643,400,0,367,0,GOLD_III,60,18,22708,210,0,220,0,GOLD_III,68,18,20181,242,0,228,0,GOLD_IV,1,18,19638,176,0,157,0,GOLD_II,61,18,21598,305,0,311,0,GOLD_II,56,18,25484,317,0,322,0,GOLD_III,82,18,24739,249,0,244,0,GOLD_IV,24,18,20231,172,0,143,0,GOLD_I,30,18,21902
68,0,66,0,GOLD_IV,6,14,11744,295,0,285,0,GOLD_III,47,13,10308,400,0,367,0,GOLD_III,60,11,7911,173,0,173,0,GOLD_II,32,12,8865,155,0,155,0,GOLD_IV,53,11,8514,190,0,178,0,GOLD_II,26,15,13220,129,0,134,0,GOLD_II,75,14,11744,248,0,225,0,GOLD_II,6,14,12176,381,0,373,0,GOLD_III,90,12,9931,262,0,257,0,GOLD_II,0,11,7758
35,0,40,0,GOLD_I,100,16,15177,86,0,79,0,GOLD_III,17,16,14954,400,0,367,0,GOLD_III,60,17,16618,89,0,94,0,GOLD_III,92,16,14817,235,0,211,0,GOLD_III,44,13,11325,60,0,66,0,GOLD_I,2,17,16859,222,0,211,0,GOLD_II,60,18,18624,345,0,340,0,GOLD_II,5,17,17959,201,0,188,0,GOLD_II,0,18,19819,116,0,110,0,GOLD_III,60,15,14502
102,0,116,0,GOLD_III,24,13,11068,129,0,134,0,GOLD_II,0,15,13063,54,0,32,0,GOLD_III,25,16,16418,71,0,76,0,GOLD_III,73,14,11731,114,0,121,0,GOLD_IV,69,12,8971,97,0,103,0,GOLD_III,60,16,15286,246,0,226,0,GOLD_I,42,15,13495,67,0,60,0,GOLD_III,18,15,13903,104,0,108,0,GOLD_I,60,17,16491,85,0,89,0,GOLD_III,29,14,12712
150,0,143,0,GOLD_III,74,18,21823,287,0,286,0,GOLD_IV,61,18,20538,54,0,32,0,GOLD_III,25,18,23772,147,0,152,0,GOLD_IV,0,18,18742,68,0,76,0,GOLD_IV,28,15,14398,201,0,208,0,GOLD_III,15,18,19880,296,0,265,0,PLATINUM_III,26,18,20223,74,0,78,0,GOLD_II,19,17,18138,33,0,31,0,SILVER_I,64,18,20726,107,0,107,0,GOLD_I,80,17,16684
376,0,393,0,GOLD_IV,0,13,10411,286,0,276,0,GOLD_IV,54,13,10934,54,0,32,0,GOLD_III,25,14,13001,270,0,263,0,GOLD_IV,15,13,11040,125,0,113,0,GOLD_II,2,12,9262,436,0,407,0,GOLD_III,46,13,10038,290,0,284,0,GOLD_III,52,12,8841,80,0,78,0,GOLD_IV,61,12,9173,411,0,426,0,GOLD_III,35,11,8394,67,0,53,0,GOLD_IV,77,12,8740
67,0,62,0,GOLD_IV,8,14,12743,273,0,227,0,GOLD_III,0,17,16484,54,0,32,0,GOLD_III,25,17,16891,41,0,54,0,GOLD_IV,27,14,12918,86,0,75,0,GOLD_III,16,15,13332,53,0,47,0,GOLD_III,36,17,18353,80,0,66,0,GOLD_III,31,16,15398,34,0,31,0,GOLD_IV,93,18,18749,172,0,176,0,GOLD_III,31,16,15261,53,0,52,0,GOLD_III,32,15,14237
191,0,188,0,GOLD_II,0,14,12027,141,0,137,0,GOLD_II,63,14,11952,54,0,32,0,GOLD_III,25,15,13492,422,0,404,0,GOLD_III,45,13,10852,175,0,178,0,GOLD_IV,63,12,9552,234,0,239,0,PLATINUM_IV,26,16,15565,403,0,380,0,GOLD_II,86,15,13414,283,0,276,0,GOLD_IV,62,16,16180,348,0,341,0,GOLD_IV,30,13,10893,203,0,211,0,GOLD_II,58,15,13806
226,0,226,0,GOLD_III,50,13,10295,317,0,288,0,GOLD_III,75,12,8900,75,0,68,0,GOLD_III,0,15,13052,85,0,79,0,PLATINUM_IV,56,12,9613,487,0,482,0,GOLD_IV,75,10,6891,411,0,392,0,PLATINUM_IV,0,14,11876,181,0,184,0,GOLD_III,75,13,10956,279,0,246,0,GOLD_I,92,15,13603,106,0,120,0,GOLD_IV,41,14,11507,282,0,272,0,GOLD_III,28,12,9148
