result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,120,125,BRONZE_IV,59,13,10505,28,35,SILVER_I,0,13,11119,13,10,BRONZE_I,13,13,11100,393,423,BRONZE_IV,42,11,8494,116,102,BRONZE_III,49,11,8088,97,105,BRONZE_III,0,13,10706,35,41,IRON_II,25,13,9978,35,41,IRON_II,25,15,13989,18,33,BRONZE_IV,0,12,8798,5,11,BRONZE_IV,0,11,8524
0,19,16,SILVER_IV,0,13,10860,10,14,IRON_I,100,11,8451,4,15,BRONZE_IV,2,14,11638,98,168,IRON_I,23,12,9220,127,143,IRON_III,52,11,8262,175,178,BRONZE_IV,23,14,12637,12,19,BRONZE_II,57,14,12212,117,113,BRONZE_I,74,15,13670,51,47,SILVER_IV,59,15,13179,196,160,SILVER_II,15,12,8891
0,12,14,BRONZE_I,34,12,8998,12,14,BRONZE_I,34,11,7605,4,15,BRONZE_IV,2,13,10209,4,15,BRONZE_IV,2,10,6818,101,103,BRONZE_IV,58,10,6287,46,36,BRONZE_III,41,13,10328,16,14,BRONZE_II,67,13,10982,8,22,BRONZE_IV,27,13,10621,21,29,BRONZE_III,75,12,9462,12,14,BRONZE_I,34,12,9529
0,266,279,BRONZE_III,57,12,9085,112,97,BRONZE_II,75,11,8551,4,15,BRONZE_IV,2,11,7309,108,101,BRONZE_II,75,12,9282,19,16,BRONZE_IV,83,10,7209,96,90,SILVER_IV,36,14,12679,54,59,BRONZE_II,34,12,9801,62,78,BRONZE_III,23,12,9188,466,474,BRONZE_II,49,12,8610,557,542,BRONZE_II,0,10,6162
0,19,16,BRONZE_IV,83,10,6624,5,8,BRONZE_II,12,8,4469,4,15,BRONZE_IV,2,12,9043,282,262,SILVER_IV,53,10,6203,91,133,BRONZE_III,2,9,5356,11,3,SILVER_IV,1,14,12485,139,115,SILVER_I,22,13,10438,71,91,BRONZE_III,78,13,10147,433,449,BRONZE_III,38,11,7698,27,14,SILVER_I,100,12,8823
0,29,32,BRONZE_II,47,13,11175,22,20,SILVER_II,79,12,9231,4,15,BRONZE_IV,2,11,7819,8,18,BRONZE_IV,0,10,6928,100,91,SILVER_III,34,10,6705,22,26,BRONZE_I,10,13,10200,62,40,GOLD_IV,1,12,9036,72,74,BRONZE_III,88,12,8864,57,28,GOLD_IV,61,12,9647,294,287,SILVER_III,20,10,6906
0,14,7,BRONZE_I,0,13,10214,14,7,BRONZE_I,0,13,10519,4,15,BRONZE_IV,2,13,10201,4,15,BRONZE_IV,2,11,8035,11,12,BRONZE_IV,16,11,7340,14,19,BRONZE_II,14,15,13177,14,19,BRONZE_II,14,15,13345,84,75,SILVER_III,10,15,13227,125,107,SILVER_I,27,14,12498,51,59,BRONZE_III,17,13,10581
1,43,47,BRONZE_II,12,15,13731,237,256,BRONZE_I,66,15,13276,4,15,BRONZE_IV,2,14,11661,21,24,BRONZE_II,27,13,11057,50,65,BRONZE_IV,69,13,10152,29,28,SILVER_IV,57,15,13391,309,313,BRONZE_III,95,12,9383,75,89,BRONZE_III,60,14,11943,107,109,BRONZE_II,34,13,11382,5,10,BRONZE_I,0,13,10480
0,178,191,BRONZE_IV,51,18,19472,253,239,SILVER_III,59,18,19978,150,131,SILVER_III,58,17,18265,150,131,SILVER_III,58,15,14123,3,12,GOLD_IV,0,18,18422,3,12,GOLD_IV,0,17,17806,108,115,BRONZE_II,61,17,18332,41,58,BRONZE_IV,44,15,14438,179,151,GOLD_IV,28,18,20093,20,18,SILVER_IV,1,16,16184
0,135,161,GOLD_IV,14,13,10631,91,86,SILVER_IV,54,11,7632,5,12,BRONZE_II,48,13,10024,314,276,SILVER_IV,2,13,10997,37,39,IRON_I,32,12,8957,32,49,BRONZE_IV,29,10,6774,7,14,IRON_III,35,12,9004,41,58,BRONZE_IV,44,10,6504,10,19,BRONZE_IV,12,12,8821,109,130,BRONZE_III,48,9,5942
1,139,161,BRONZE_IV,10,18,23947,70,98,IRON_I,22,18,18476,31,24,IRON_II,29,18,19023,172,232,IRON_IV,34,17,17003,314,303,BRONZE_III,47,16,16164,33,53,IRON_I,61,18,22854,251,331,IRON_IV,69,16,15496,41,58,BRONZE_IV,44,17,18124,131,145,BRONZE_III,0,18,23706,294,299,IRON_II,58,16,15291
0,149,137,IRON_I,14,17,16973,276,288,BRONZE_III,11,16,15895,198,230,IRON_III,56,14,12400,141,151,BRONZE_III,0,15,14590,50,66,BRONZE_IV,96,15,13765,487,490,BRONZE_IV,9,16,15535,390,404,BRONZE_IV,78,15,13849,41,58,BRONZE_IV,44,13,10162,86,111,BRONZE_IV,0,15,13885,511,526,IRON_I,25,13,10361
1,149,199,BRONZE_IV,0,17,17492,69,88,BRONZE_IV,49,18,19789,106,134,IRON_III,70,16,15546,71,76,SILVER_III,62,16,16375,139,164,BRONZE_IV,8,17,16545,324,332,BRONZE_IV,54,18,21200,324,332,BRONZE_IV,54,17,17257,41,58,BRONZE_IV,44,17,16533,90,69,BRONZE_I,100,18,23553,109,130,BRONZE_III,48,16,15904
1,92,112,BRONZE_IV,59,13,11251,61,74,IRON_I,47,12,9231,52,99,BRONZE_IV,0,14,13010,80,101,SILVER_IV,74,14,12163,205,235,IRON_III,13,13,10306,60,58,IRON_I,72,15,13959,85,101,BRONZE_IV,15,15,13573,41,58,BRONZE_IV,44,12,9944,181,205,IRON_I,11,14,12566,109,130,BRONZE_III,48,13,11085
0,251,272,IRON_III,75,11,7609,221,201,BRONZE_IV,41,11,8402,424,429,BRONZE_III,39,13,10382,28,32,IRON_I,3,12,9354,30,50,BRONZE_IV,12,12,9110,206,235,IRON_III,62,13,11162,157,134,IRON_II,52,10,7183,41,58,BRONZE_IV,44,10,6536,284,264,BRONZE_IV,20,10,6820,109,130,BRONZE_III,48,9,5317
1,7,5,BRONZE_IV,80,14,11481,7,5,BRONZE_IV,80,13,10714,64,70,SILVER_I,56,14,12301,119,139,GOLD_IV,37,13,10738,119,139,GOLD_IV,37,12,9819,9,21,IRON_I,90,13,10274,22,23,BRONZE_I,34,11,8437,45,52,GOLD_IV,15,12,8855,39,41,SILVER_IV,45,11,7599,39,41,SILVER_IV,45,9,5535
0,7,5,BRONZE_IV,80,12,8805,7,7,BRONZE_IV,45,13,10787,64,70,SILVER_I,56,11,8232,25,31,SILVER_II,0,12,9278,19,26,BRONZE_I,41,9,5606,24,41,BRONZE_III,58,13,11109,10,10,SILVER_II,63,12,9388,10,10,SILVER_II,63,15,13696,10,10,SILVER_II,63,12,8876,8,8,BRONZE_II,71,11,7368
0,7,5,BRONZE_IV,80,12,9711,64,70,SILVER_I,56,15,13244,7,7,BRONZE_IV,45,12,8706,137,122,SILVER_III,9,11,8561,9,9,SILVER_IV,0,11,7669,28,29,SILVER_II,52,14,12839,62,67,GOLD_III,15,12,8980,62,67,GOLD_III,15,14,12170,25,45,SILVER_II,15,14,12644,43,61,SILVER_III,12,14,12448
0,7,5,BRONZE_IV,80,16,14729,9,9,SILVER_IV,0,16,16274,7,7,BRONZE_IV,45,15,14568,137,122,SILVER_III,9,15,13747,64,70,SILVER_I,56,14,12529,73,74,BRONZE_II,16,17,17660,245,243,GOLD_IV,0,17,17440,45,47,SILVER_III,36,17,16996,264,255,SILVER_III,0,17,16556,113,113,SILVER_IV,72,16,16020
1,7,5,BRONZE_IV,80,15,13818,42,53,SILVER_II,0,17,18143,137,122,SILVER_III,9,16,15104,183,163,BRONZE_II,42,15,14498,9,9,SILVER_IV,0,15,14484,192,200,SILVER_IV,46,16,15570,254,255,SILVER_III,14,18,18471,228,216,SILVER_III,13,17,18111,228,216,SILVER_III,13,15,13105,208,178,PLATINUM_IV,0,15,13573
0,7,5,BRONZE_IV,80,14,11910,40,27,SILVER_III,48,17,16515,127,149,SILVER_IV,11,17,17311,64,70,SILVER_I,56,15,14249,157,157,SILVER_II,18,14,11963,14,12,SILVER_I,14,16,15936,195,193,BRONZE_II,79,15,13053,113,120,SILVER_II,0,17,16988,214,205,GOLD_IV,12,16,15510,102,87,SILVER_I,23,14,12589
