result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
0,484,501,PLATINUM_IV,60,18,19966,101,91,PLATINUM_III,27,17,18322,549,546,DIAMOND_III,33,18,19533,498,493,PLATINUM_III,30,18,19797,385,387,PLATINUM_IV,0,16,16432,266,256,PLATINUM_III,11,17,16917,190,190,PLATINUM_IV,34,16,15945,612,610,PLATINUM_IV,28,17,17219,139,100,PLATINUM_III,0,16,14980,415,434,PLATINUM_III,55,18,18553
1,66,59,PLATINUM_I,75,14,12169,192,182,PLATINUM_II,15,13,10988,182,168,PLATINUM_I,8,13,10131,88,96,PLATINUM_IV,78,11,8031,116,111,PLATINUM_I,75,11,7589,103,95,PLATINUM_I,67,16,15147,61,58,PLATINUM_III,79,13,11263,905,899,DIAMOND_III,32,15,13078,21,31,PLATINUM_III,62,14,12078,181,173,DIAMOND_IV,32,12,9819
1,48,60,PLATINUM_II,50,16,15518,171,173,PLATINUM_III,0,14,11732,258,229,PLATINUM_I,86,15,14545,297,296,PLATINUM_III,14,14,12228,120,160,PLATINUM_IV,70,12,9574,29,34,GOLD_I,85,17,17805,61,58,PLATINUM_III,79,16,15915,61,61,PLATINUM_I,30,17,18278,21,31,PLATINUM_III,62,16,15224,201,181,DIAMOND_IV,92,14,11925
0,96,75,DIAMOND_IV,45,17,16505,58,74,PLATINUM_III,61,17,17006,192,217,PLATINUM_IV,0,17,16650,283,275,PLATINUM_II,36,15,13713,303,292,PLATINUM_I,75,15,13063,48,60,PLATINUM_II,50,16,14811,61,58,PLATINUM_III,79,14,11656,146,161,PLATINUM_IV,0,15,14321,21,31,PLATINUM_III,62,14,11803,120,160,PLATINUM_IV,70,12,9836
1,31,38,PLATINUM_II,41,15,14080,65,51,PLATINUM_I,0,13,11188,94,86,PLATINUM_I,75,16,15071,337,301,DIAMOND_III,25,13,10960,52,46,PLATINUM_II,21,12,9878,79,91,DIAMOND_IV,32,16,15082,61,58,PLATINUM_III,79,16,16102,21,31,PLATINUM_III,62,15,14361,283,275,PLATINUM_II,36,17,17891,173,168,PLATINUM_I,74,15,13972
1,84,72,PLATINUM_II,3,15,13324,7,12,GOLD_III,92,11,8260,95,82,PLATINUM_I,75,12,9418,487,469,DIAMOND_IV,14,13,9965,52,46,PLATINUM_II,21,11,7704,35,36,PLATINUM_I,33,14,12364,61,58,PLATINUM_III,79,14,12597,101,73,PLATINUM_II,22,15,14038,21,31,PLATINUM_III,62,14,11752,257,235,DIAMOND_I,20,13,10841
1,63,61,PLATINUM_III,30,13,11020,18,17,PLATINUM_IV,0,12,8801,121,141,PLATINUM_III,21,13,10043,10,12,GOLD_II,43,12,8851,201,181,DIAMOND_IV,92,10,7182,74,54,PLATINUM_I,100,15,13529,61,58,PLATINUM_III,79,14,12949,165,155,DIAMOND_IV,1,13,11211,21,31,PLATINUM_III,62,14,11589,131,152,PLATINUM_III,18,13,10163
1,102,98,PLATINUM_III,53,11,7430,4,18,GOLD_II,53,11,7748,47,69,PLATINUM_II,18,12,9124,122,96,DIAMOND_II,80,11,7364,78,84,PLATINUM_III,55,9,5452,70,67,PLATINUM_I,79,13,9975,61,58,PLATINUM_III,79,12,9381,65,56,PLATINUM_I,23,12,9644,21,31,PLATINUM_III,62,12,9385,201,181,DIAMOND_IV,92,10,6825
1,63,58,PLATINUM_I,100,16,15354,131,116,DIAMOND_I,44,14,12263,95,70,DIAMOND_I,44,16,15667,5,5,PLATINUM_III,26,14,12583,82,94,PLATINUM_I,75,12,9917,65,50,PLATINUM_I,75,15,14657,15,17,PLATINUM_I,75,13,10500,82,91,PLATINUM_I,31,13,10660,39,23,PLATINUM_II,41,12,9768,28,12,PLATINUM_II,1,11,8426
0,6,7,PLATINUM_IV,24,13,10832,26,26,PLATINUM_I,75,14,12317,40,56,PLATINUM_I,18,14,12491,5,5,PLATINUM_III,26,12,9246,259,268,PLATINUM_IV,30,13,11073,28,12,PLATINUM_II,1,14,12694,55,22,DIAMOND_II,11,16,16370,44,18,PLATINUM_I,51,14,12959,44,18,PLATINUM_I,51,14,11594,31,27,PLATINUM_I,75,14,11798
