ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
78,0,72,0,GOLD_IV,78,18,18946,239,0,237,0,GOLD_IV,36,17,18024,249,0,239,0,GOLD_IV,78,17,16581,64,0,73,0,GOLD_IV,49,17,16724,254,0,271,0,GOLD_II,8,15,13822,274,0,236,0,GOLD_IV,16,18,20303,174,0,179,0,GOLD_IV,28,15,14462,219,0,186,0,GOLD_IV,7,16,15493,218,0,225,0,GOLD_III,30,17,17008,234,0,228,0,GOLD_IV,28,14,12378
100,0,86,0,GOLD_IV,64,11,8206,524,0,524,0,GOLD_IV,19,9,5852,82,0,73,0,GOLD_IV,75,10,7172,18,0,26,0,SILVER_II,0,9,5777,230,0,223,0,GOLD_IV,78,9,5683,192,0,180,0,SILVER_II,75,13,11262,174,0,179,0,GOLD_IV,28,13,10085,466,0,476,0,GOLD_I,15,11,8185,59,0,51,0,GOLD_III,30,11,8309,402,0,397,0,GOLD_IV,76,9,5719
100,0,97,0,SILVER_IV,38,15,14549,56,0,54,0,GOLD_I,17,16,15971,110,0,123,0,GOLD_IV,22,18,20881,440,0,425,0,GOLD_IV,84,14,12094,79,0,79,0,SILVER_I,28,15,13530,49,0,54,0,SILVER_I,44,17,17084,238,0,237,0,SILVER_II,9,16,16021,448,0,455,0,GOLD_IV,0,16,15337,79,0,90,0,GOLD_IV,13,14,12901,79,0,79,0,SILVER_II,51,13,11004
63,0,68,0,SILVER_II,60,18,20082,145,0,162,0,SILVER_IV,32,15,13046,53,0,51,0,GOLD_II,1,16,16000,178,0,158,0,GOLD_IV,1,16,15153,82,0,75,0,SILVER_I,8,14,12611,128,0,124,0,SILVER_I,50,18,21407,182,0,193,0,GOLD_IV,59,17,18032,185,0,182,0,SILVER_I,71,17,17895,79,0,90,0,GOLD_IV,13,16,16194,79,0,79,0,SILVER_II,51,14,12000
30,0,19,0,SILVER_III,67,16,16464,167,0,152,0,SILVER_II,29,16,15985,252,0,256,0,SILVER_I,32,17,17813,246,0,273,0,SILVER_II,24,16,15188,139,0,160,0,SILVER_II,49,15,13724,189,0,187,0,SILVER_III,42,17,17123,203,0,198,0,GOLD_IV,56,16,16325,190,0,204,0,GOLD_IV,65,18,19311,79,0,90,0,GOLD_IV,13,17,17791,79,0,79,0,SILVER_II,51,15,14003
108,0,104,0,SILVER_III,91,17,16696,383,0,361,0,GOLD_IV,31,16,14932,37,0,38,0,SILVER_III,90,17,17384,181,0,173,0,GOLD_IV,89,16,15306,194,0,195,0,GOLD_IV,0,15,13827,121,0,104,0,SILVER_III,29,18,18581,252,0,222,0,SILVER_II,53,15,13694,31,0,49,0,SILVER_I,63,17,17708,79,0,90,0,GOLD_IV,13,16,15617,79,0,79,0,SILVER_II,51,15,14169
128,0,147,0,SILVER_II,18,18,25874,508,0,437,0,GOLD_IV,0,18,28846,43,0,37,0,SILVER_I,30,18,21271,270,0,278,0,GOLD_IV,0,18,23755,239,0,245,0,SILVER_III,61,18,19089,238,0,225,0,GOLD_IV,16,18,18837,29,0,31,0,SILVER_II,7,18,23676,100,0,115,0,SILVER_I,57,18,25064,79,0,90,0,GOLD_IV,13,18,19130,79,0,79,0,SILVER_II,51,17,17584
420,0,423,0,GOLD_I,15,18,20910,17,0,18,0,GOLD_IV,53,15,14291,191,0,181,0,GOLD_III,15,16,16401,80,0,80,0,PLATINUM_IV,0,17,17286,197,0,204,0,SILVER_II,60,15,14321,89,0,96,0,GOLD_III,56,17,17021,380,0,334,0,PLATINUM_IV,35,18,19328,446,0,442,0,GOLD_IV,66,17,17426,75,0,62,0,PLATINUM_IV,1,17,17009,61,0,48,0,GOLD_I,43,15,13618
550,0,572,0,GOLD_IV,27,15,14166,17,0,18,0,GOLD_IV,53,16,14869,415,0,450,0,GOLD_IV,21,16,14960,208,0,231,0,GOLD_IV,39,15,13130,121,0,130,0,GOLD_III,41,12,9709,359,0,345,0,GOLD_III,60,15,13458,67,0,64,0,PLATINUM_IV,3,15,13728,80,0,78,0,GOLD_IV,15,15,13217,195,0,185,0,GOLD_IV,22,15,13109,45,0,45,0,GOLD_I,33,13,9993
117,0,117,0,GOLD_I,17,12,9232,17,0,18,0,GOLD_IV,53,10,6993,107,0,111,0,GOLD_I,33,12,9158,131,0,132,0,PLATINUM_IV,0,10,6525,140,0,163,0,GOLD_III,21,9,5439,86,0,81,0,GOLD_I,0,13,11249,94,0,101,0,GOLD_III,75,12,9870,174,0,176,0,GOLD_II,13,13,10219,91,0,80,0,PLATINUM_IV,15,12,8850,52,0,51,0,GOLD_II,19,11,7333
