result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
1,39,41,DIAMOND_III,0,15,13922,609,583,DIAMOND_IV,50,16,15817,76,61,DIAMOND_IV,20,15,13355,501,516,DIAMOND_II,19,15,14677,88,85,DIAMOND_II,5,14,12307,320,294,DIAMOND_I,1,17,17476,139,132,DIAMOND_I,27,18,22665,351,330,DIAMOND_III,59,17,18185,202,162,DIAMOND_II,34,16,15601,252,252,DIAMOND_IV,56,15,14164
1,722,726,DIAMOND_III,80,10,6979,29,15,PLATINUM_IV,0,9,5189,63,55,PLATINUM_I,85,9,5986,71,53,DIAMOND_III,80,8,4847,73,59,PLATINUM_II,16,7,3531,320,294,DIAMOND_I,1,11,7495,255,246,DIAMOND_III,15,10,6821,255,246,DIAMOND_III,15,11,7499,130,133,DIAMOND_IV,41,11,7415,48,49,PLATINUM_I,67,9,5886
1,393,344,DIAMOND_I,34,14,12566,1770,1746,DIAMOND_III,75,14,12253,457,460,DIAMOND_I,0,15,13990,180,128,DIAMOND_II,36,13,10806,468,394,DIAMOND_II,19,11,8546,320,294,DIAMOND_I,1,16,15147,104,105,DIAMOND_II,94,16,15278,336,298,DIAMOND_III,92,15,14315,476,452,DIAMOND_I,80,14,12879,90,92,DIAMOND_II,48,14,11883
1,349,290,DIAMOND_III,76,15,14211,501,500,DIAMOND_III,43,13,10988,483,481,DIAMOND_II,61,14,11740,148,173,DIAMOND_III,45,14,12362,286,218,DIAMOND_I,58,12,9404,320,294,DIAMOND_I,1,16,15786,104,105,DIAMOND_II,94,16,14875,81,68,DIAMOND_III,20,15,13452,441,428,DIAMOND_II,47,15,14526,445,405,MASTER_I,162,13,11205
1,956,952,DIAMOND_I,28,15,14683,97,83,DIAMOND_II,14,9,5046,579,558,MASTER_I,87,13,11230,149,150,DIAMOND_III,46,11,8067,64,45,DIAMOND_II,7,10,6858,320,294,DIAMOND_I,1,15,13226,122,115,MASTER_I,104,13,11058,199,201,MASTER_I,59,13,10581,89,97,DIAMOND_I,75,13,10638,398,395,DIAMOND_II,19,11,8253
1,391,367,DIAMOND_I,0,18,21691,436,431,MASTER_I,167,16,15053,438,419,DIAMOND_II,48,17,18235,454,419,MASTER_I,1,15,14183,398,395,DIAMOND_II,19,14,12337,320,294,DIAMOND_I,1,18,20445,122,115,MASTER_I,104,18,20623,464,472,MASTER_I,42,18,22301,180,128,DIAMOND_II,36,18,19268,468,394,DIAMOND_II,19,16,14893
1,409,402,DIAMOND_II,33,14,11480,94,123,DIAMOND_III,0,15,13168,280,283,DIAMOND_I,32,17,16547,311,294,MASTER_I,177,13,10911,371,307,MASTER_I,0,12,8982,320,294,DIAMOND_I,1,17,16545,122,115,MASTER_I,104,15,14187,107,102,DIAMOND_II,15,15,13556,429,399,DIAMOND_I,100,16,15081,249,259,MASTER_I,1,13,10707
0,144,117,DIAMOND_I,0,12,9139,762,752,DIAMOND_I,0,11,8105,351,356,DIAMOND_II,60,11,7844,271,290,DIAMOND_II,75,11,8578,130,110,DIAMOND_II,36,10,6390,474,486,DIAMOND_I,75,14,12890,249,220,DIAMOND_I,100,13,11288,464,421,DIAMOND_I,11,14,11836,288,253,DIAMOND_I,52,11,7484,270,250,DIAMOND_I,2,10,6279
0,144,117,DIAMOND_I,0,14,11822,71,45,DIAMOND_II,40,11,7653,178,173,DIAMOND_II,56,13,10070,153,125,DIAMOND_I,49,14,11664,188,178,DIAMOND_I,14,10,6656,500,413,DIAMOND_I,31,13,11273,50,60,DIAMOND_III,12,14,11842,21,30,DIAMOND_IV,59,14,12562,135,109,DIAMOND_I,7,14,11794,301,308,DIAMOND_I,44,11,8047
0,144,117,DIAMOND_I,0,14,12868,158,149,GOLD_II,37,15,13196,179,160,GOLD_IV,1,16,14868,82,53,GOLD_III,43,14,12134,4,6,BRONZE_IV,89,15,14267,59,67,GOLD_IV,0,17,16905,210,217,PLATINUM_IV,0,17,18181,81,68,GOLD_I,62,14,12781,8,6,BRONZE_I,7,15,14577,5,7,BRONZE_II,0,16,14808
0,144,117,DIAMOND_I,0,15,14408,158,149,GOLD_II,37,18,20997,179,160,GOLD_IV,1,17,17298,82,53,GOLD_III,43,15,13684,4,6,BRONZE_IV,89,17,16966,210,183,SILVER_I,63,17,16855,163,164,GOLD_IV,33,18,19199,37,21,GOLD_II,33,16,15238,184,189,GOLD_III,0,17,17970,107,98,SILVER_III,54,18,19764
0,144,117,DIAMOND_I,0,18,20143,47,44,SILVER_I,67,18,22108,153,134,SILVER_I,10,18,20511,78,92,SILVER_III,59,18,22863,82,53,GOLD_III,43,18,21554,68,53,GOLD_II,40,18,26080,187,154,GOLD_IV,23,18,25516,13,6,SILVER_I,97,18,27549,22,23,SILVER_II,57,18,25081,38,27,GOLD_IV,1,18,18432
1,144,117,DIAMOND_I,0,12,9326,100,77,DIAMOND_II,59,12,9836,250,213,MASTER_I,12,13,10673,233,191,MASTER_I,0,13,10294,348,334,DIAMOND_I,95,11,7468,416,373,DIAMOND_I,46,13,10639,400,412,DIAMOND_II,77,12,9058,68,63,DIAMOND_I,2,13,10686,449,399,DIAMOND_I,76,11,8533,405,419,DIAMOND_II,70,9,5597
0,144,117,DIAMOND_I,0,16,14981,170,146,MASTER_I,1,17,17761,217,176,MASTER_I,153,17,16924,575,528,DIAMOND_I,82,15,13945,32,34,DIAMOND_II,32,14,11908,57,51,MASTER_I,168,17,17285,71,56,DIAMOND_II,4,17,16794,299,262,DIAMOND_II,17,17,16861,600,605,DIAMOND_II,58,16,16439,304,300,MASTER_I,132,15,13223
0,582,565,DIAMOND_I,91,14,12457,135,106,DIAMOND_II,0,18,18473,227,223,DIAMOND_III,92,16,15063,104,88,DIAMOND_II,77,16,14953,244,208,DIAMOND_I,83,13,10509,135,133,DIAMOND_I,24,16,15070,269,282,DIAMOND_III,24,14,11890,475,437,DIAMOND_I,8,15,14646,589,587,DIAMOND_I,58,14,11473,350,335,DIAMOND_I,14,11,8083
1,173,169,DIAMOND_II,49,11,8539,253,243,DIAMOND_I,53,11,8521,118,100,DIAMOND_II,0,12,9956,170,175,DIAMOND_II,82,13,9963,304,287,DIAMOND_III,43,9,5683,135,133,DIAMOND_I,24,14,11961,269,282,DIAMOND_III,24,12,9802,216,201,DIAMOND_I,25,13,10718,316,320,DIAMOND_I,44,12,9007,400,382,MASTER_I,104,11,7362
0,756,764,DIAMOND_II,59,8,4117,298,306,DIAMOND_I,54,10,6557,153,146,DIAMOND_I,58,12,9953,309,279,DIAMOND_II,84,11,7889,74,69,DIAMOND_I,15,9,5285,178,183,DIAMOND_II,71,13,10091,489,494,MASTER_I,17,13,10047,196,205,DIAMOND_II,49,12,9071,657,627,DIAMOND_I,100,10,6457,619,590,MASTER_I,1,10,6191
1,446,464,DIAMOND_II,49,15,14237,324,285,DIAMOND_II,59,14,12297,273,233,DIAMOND_I,65,13,10876,309,279,DIAMOND_II,84,15,14287,74,69,DIAMOND_I,15,13,10989,418,386,DIAMOND_I,94,13,11416,28,36,DIAMOND_III,68,14,11495,171,162,DIAMOND_I,20,14,12544,520,489,MASTER_I,1,15,14200,399,386,DIAMOND_I,50,11,8531
0,291,283,DIAMOND_II,0,15,13596,319,316,MASTER_I,62,14,11460,175,140,DIAMOND_I,100,8,4659,309,279,DIAMOND_II,84,13,10767,74,69,DIAMOND_I,15,11,8311,411,386,MASTER_I,19,14,11782,134,104,DIAMOND_II,47,14,11615,219,219,DIAMOND_I,25,16,15429,64,51,DIAMOND_I,75,13,10643,206,180,DIAMOND_I,23,12,8595
1,63,58,MASTER_I,1,12,9494,67,75,DIAMOND_I,17,11,8396,133,97,MASTER_I,0,11,7757,309,279,DIAMOND_II,84,10,6653,74,69,DIAMOND_I,15,10,6148,357,340,DIAMOND_I,0,9,5268,252,225,MASTER_I,1,9,5651,76,70,DIAMOND_II,2,11,7389,662,673,DIAMOND_II,74,9,5198,163,160,DIAMOND_II,58,8,4393
1,230,202,MASTER_I,133,11,8283,265,258,MASTER_I,33,10,6907,552,553,DIAMOND_I,51,10,7181,309,279,DIAMOND_II,84,9,5837,74,69,DIAMOND_I,15,8,4831,168,148,DIAMOND_II,55,9,5828,32,21,PLATINUM_I,0,9,5728,11,14,PLATINUM_I,28,9,5733,30,18,PLATINUM_I,0,7,3880,163,160,DIAMOND_II,58,7,3872
0,128,123,DIAMOND_III,11,14,11727,148,117,DIAMOND_I,100,14,11857,98,88,DIAMOND_II,10,13,10717,309,279,DIAMOND_II,84,14,11720,74,69,DIAMOND_I,15,12,9242,131,125,DIAMOND_II,59,17,16673,1095,1072,DIAMOND_I,100,15,14554,552,553,DIAMOND_I,51,16,15268,249,256,DIAMOND_III,63,14,12804,336,282,DIAMOND_I,18,14,12198
1,131,125,DIAMOND_II,59,16,15838,55,44,DIAMOND_III,52,16,15313,249,256,DIAMOND_III,63,16,14760,309,279,DIAMOND_II,84,14,12894,74,69,DIAMOND_I,15,13,11317,155,128,DIAMOND_III,63,14,12942,168,175,DIAMOND_II,0,13,11254,335,331,DIAMOND_II,13,14,12958,210,214,DIAMOND_II,75,14,11774,111,117,DIAMOND_III,76,13,10257
1,189,161,DIAMOND_I,48,17,17893,459,467,DIAMOND_II,35,16,15334,249,260,DIAMOND_I,0,17,16923,281,284,DIAMOND_II,6,16,15596,161,163,DIAMOND_II,13,14,11708,547,519,MASTER_I,113,17,17475,174,109,MASTER_I,1,18,20786,195,148,MASTER_I,39,18,18662,54,48,DIAMOND_I,88,17,17536,48,40,DIAMOND_III,55,14,12996
1,173,152,MASTER_I,264,14,11473,223,183,DIAMOND_I,80,14,11659,135,133,DIAMOND_I,0,13,10123,131,143,DIAMOND_II,59,12,8970,159,123,DIAMOND_I,44,10,7214,75,60,MASTER_I,35,14,12306,248,259,DIAMOND_I,63,16,14924,405,352,DIAMOND_II,43,14,12086,54,48,DIAMOND_I,88,14,12170,224,233,DIAMOND_III,68,12,9241
0,95,88,DIAMOND_I,50,15,14638,46,31,MASTER_I,2,16,15012,118,99,DIAMOND_I,81,16,14845,389,357,MASTER_I,303,15,14522,291,275,MASTER_I,421,13,10018,437,418,MASTER_I,295,10,7210,528,524,MASTER_I,266,10,6842,676,655,MASTER_I,204,14,12148,429,409,MASTER_I,316,13,10828,39,29,DIAMOND_I,52,15,13157
1,551,532,MASTER_I,425,10,6972,347,310,MASTER_I,143,11,7910,754,748,MASTER_I,300,11,7423,166,149,MASTER_I,337,9,5136,99,93,MASTER_I,114,8,4414,189,171,MASTER_I,457,10,7062,676,667,MASTER_I,318,12,9499,414,408,MASTER_I,422,10,6522,309,296,MASTER_I,460,8,4716,39,29,DIAMOND_I,52,11,8085
0,66,62,MASTER_I,199,14,12897,81,54,MASTER_I,161,16,15195,50,42,MASTER_I,0,15,14011,407,387,MASTER_I,169,15,13464,319,290,MASTER_I,117,13,10817,93,78,MASTER_I,83,14,12229,227,218,MASTER_I,157,12,9427,617,631,MASTER_I,144,13,10123,250,212,MASTER_I,205,11,7923,39,29,DIAMOND_I,52,16,15824
1,154,108,MASTER_I,424,13,10347,309,280,CHALLENGER_I,866,14,12298,145,104,CHALLENGER_I,931,11,8568,256,238,MASTER_I,133,11,7783,132,157,DIAMOND_II,75,11,8205,280,238,GRANDMASTER_I,529,13,10308,340,318,MASTER_I,275,14,11875,238,206,MASTER_I,168,12,8846,99,94,DIAMOND_III,75,12,9579,39,29,DIAMOND_I,52,15,13520
1,254,257,PLATINUM_I,14,10,6441,16,14,PLATINUM_I,75,10,6198,582,565,DIAMOND_I,91,10,6939,149,134,PLATINUM_I,72,9,5779,27,28,DIAMOND_III,25,8,4411,144,106,CHALLENGER_I,824,12,8888,310,280,CHALLENGER_I,814,10,7229,81,58,DIAMOND_I,99,9,5644,157,148,DIAMOND_I,100,8,4569,39,29,DIAMOND_I,52,13,11281
1,150,161,DIAMOND_III,21,10,7278,96,102,DIAMOND_I,45,13,11074,42,36,PLATINUM_IV,9,13,10442,44,42,PLATINUM_I,65,11,7810,44,42,PLATINUM_I,65,10,6635,144,106,CHALLENGER_I,824,13,10755,310,280,CHALLENGER_I,814,13,11241,81,58,DIAMOND_I,99,11,8221,157,148,DIAMOND_I,100,10,7102,39,29,DIAMOND_I,52,14,12449
0,324,297,GRANDMASTER_I,465,17,18164,1020,1005,DIAMOND_IV,16,15,14386,81,72,DIAMOND_I,75,17,17431,258,236,MASTER_I,42,17,17028,296,234,CHALLENGER_I,821,14,11850,130,106,GRANDMASTER_I,544,16,16328,230,209,GRANDMASTER_I,664,15,14315,161,152,DIAMOND_I,33,15,14192,490,465,MASTER_I,426,14,12112,39,29,DIAMOND_I,52,18,18451
1,26,22,DIAMOND_II,5,9,5702,635,554,DIAMOND_II,75,9,5303,342,325,DIAMOND_I,0,11,7598,235,213,DIAMOND_I,26,10,6140,546,545,DIAMOND_II,64,8,4761,244,177,DIAMOND_I,100,12,8819,354,331,DIAMOND_I,51,10,6874,102,105,DIAMOND_I,25,11,7939,112,100,DIAMOND_I,44,10,6378,273,232,DIAMOND_I,100,8,4382
1,69,51,MASTER_I,89,18,22615,155,152,DIAMOND_II,66,16,15938,313,290,DIAMOND_I,30,17,16873,118,117,DIAMOND_II,74,17,16666,380,364,DIAMOND_I,29,16,15265,173,148,DIAMOND_I,35,15,14646,447,424,DIAMOND_I,100,15,13523,344,301,DIAMOND_II,57,17,17644,116,94,DIAMOND_I,61,15,13064,133,120,MASTER_I,1,14,12211
1,20,13,DIAMOND_IV,47,15,14100,388,347,DIAMOND_II,88,15,14034,435,390,DIAMOND_II,26,15,14698,198,143,DIAMOND_IV,79,14,12572,109,90,DIAMOND_I,14,14,12475,141,130,DIAMOND_III,61,13,11205,51,54,DIAMOND_III,0,14,11556,47,41,DIAMOND_III,20,14,12028,114,76,DIAMOND_IV,0,13,10658,20,19,DIAMOND_IV,0,13,10392
1,982,941,DIAMOND_III,7,18,18578,173,198,DIAMOND_II,0,18,19401,81,71,DIAMOND_III,17,18,18711,198,143,DIAMOND_IV,79,17,17774,109,90,DIAMOND_I,14,14,11760,62,35,DIAMOND_IV,57,16,15115,151,135,DIAMOND_II,0,16,15865,247,231,DIAMOND_III,89,17,17128,55,55,DIAMOND_IV,8,16,15733,802,793,DIAMOND_III,73,14,11784
1,127,73,DIAMOND_IV,1,11,8074,198,143,DIAMOND_IV,79,12,8708,145,123,DIAMOND_IV,1,12,9067,46,54,DIAMOND_IV,60,11,7415,109,90,DIAMOND_I,14,12,8632,520,484,DIAMOND_II,22,12,9251,143,118,DIAMOND_IV,31,9,5909,277,251,DIAMOND_III,68,9,5907,242,220,DIAMOND_III,52,9,5916,250,223,DIAMOND_III,40,8,4838
0,574,547,DIAMOND_III,15,17,17214,83,98,DIAMOND_IV,67,16,15486,162,150,DIAMOND_III,0,16,15327,198,143,DIAMOND_IV,79,17,17377,109,90,DIAMOND_I,14,15,14524,226,226,DIAMOND_III,38,18,21279,180,177,DIAMOND_II,16,18,22284,226,216,DIAMOND_II,30,18,20697,130,114,DIAMOND_II,12,18,19308,313,310,DIAMOND_III,59,17,17308
1,226,226,DIAMOND_III,38,12,8973,391,361,DIAMOND_III,20,14,12140,237,230,DIAMOND_III,58,14,11503,198,143,DIAMOND_IV,79,13,10093,109,90,DIAMOND_I,14,12,8875,496,500,DIAMOND_III,1,13,10374,142,132,DIAMOND_III,19,11,8183,243,245,DIAMOND_IV,45,12,8682,130,114,DIAMOND_II,12,10,7205,389,351,DIAMOND_III,0,10,6818
0,356,325,DIAMOND_III,21,15,13131,515,494,DIAMOND_II,16,14,12210,106,98,DIAMOND_II,0,13,11427,198,143,DIAMOND_IV,79,14,12187,109,90,DIAMOND_I,14,12,9621,253,227,DIAMOND_II,35,12,9464,56,47,DIAMOND_IV,97,15,13971,137,122,DIAMOND_III,76,15,13230,115,125,DIAMOND_II,43,15,13438,170,188,DIAMOND_IV,1,13,10790
1,649,633,DIAMOND_II,46,14,11799,90,113,DIAMOND_II,1,13,10456,438,419,DIAMOND_II,48,14,12137,198,143,DIAMOND_IV,79,14,11640,109,90,DIAMOND_I,14,13,10512,221,207,DIAMOND_II,20,12,9584,242,209,DIAMOND_III,55,14,11458,650,639,DIAMOND_III,58,11,7454,141,129,DIAMOND_II,0,12,8757,569,556,DIAMOND_II,16,10,6907
1,292,293,MASTER_I,159,13,10335,459,467,DIAMOND_II,35,13,10125,582,570,DIAMOND_I,24,15,13819,100,112,DIAMOND_II,90,14,11895,451,463,DIAMOND_I,42,12,9365,128,127,DIAMOND_I,100,13,11041,75,37,DIAMOND_I,75,17,17021,106,71,DIAMOND_I,20,14,12433,351,342,MASTER_I,8,15,14158,188,191,MASTER_I,1,13,11066
0,861,845,MASTER_I,322,14,12741,122,88,MASTER_I,87,14,11843,145,123,MASTER_I,66,14,12340,106,71,DIAMOND_I,20,12,9047,389,393,MASTER_I,73,11,7955,70,50,DIAMOND_IV,14,11,8528,75,37,DIAMOND_I,75,12,8948,160,162,DIAMOND_I,41,13,10773,188,191,MASTER_I,1,11,8558,451,463,DIAMOND_I,42,10,7155
