rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
19,0,26,0,BRONZE_IV,42,15,13723,202,0,193,0,BRONZE_IV,21,13,10077,154,0,155,0,BRONZE_IV,75,13,10582,117,0,144,0,BRONZE_II,48,15,13194,123,0,123,0,BRONZE_III,77,14,11987,23,0,36,0,BRONZE_IV,0,12,9866,9,0,13,0,BRONZE_IV,32,12,9344,44,0,36,0,BRONZE_IV,64,14,11968,37,0,42,0,SILVER_IV,77,13,11339,146,0,164,0,IRON_III,36,11,7817
19,0,26,0,BRONZE_IV,42,18,21139,101,0,126,0,BRONZE_III,22,17,17426,28,0,26,0,BRONZE_IV,21,17,17855,267,0,311,0,BRONZE_IV,0,15,14313,56,0,50,0,BRONZE_I,1,17,17530,197,0,190,0,BRONZE_I,8,18,23269,34,0,44,0,BRONZE_IV,0,17,16580,187,0,189,0,BRONZE_II,0,18,18579,220,0,215,0,BRONZE_II,35,16,14942,5,0,10,0,IRON_I,22,16,15124
19,0,26,0,BRONZE_IV,42,15,14568,3,0,16,0,BRONZE_IV,11,13,11236,210,0,182,0,BRONZE_I,0,15,14453,65,0,77,0,BRONZE_III,67,13,11403,56,0,52,0,BRONZE_II,0,13,11136,247,0,235,0,SILVER_IV,0,14,12966,84,0,69,0,BRONZE_II,56,16,15712,69,0,58,0,BRONZE_IV,44,13,11409,52,0,58,0,BRONZE_III,37,15,14149,40,0,36,0,BRONZE_III,10,12,9701
88,0,105,0,BRONZE_IV,42,12,9258,297,0,294,0,BRONZE_IV,0,12,9086,31,0,50,0,IRON_II,40,12,9118,6,0,26,0,BRONZE_IV,5,12,8799,154,0,155,0,IRON_II,61,11,8298,113,0,101,0,BRONZE_IV,56,15,13125,151,0,172,0,BRONZE_IV,25,14,12521,50,0,51,0,BRONZE_IV,17,13,11425,56,0,86,0,IRON_III,63,12,9449,15,0,59,0,IRON_IV,0,10,6474
124,0,134,0,BRONZE_III,14,16,16130,51,0,38,0,BRONZE_IV,1,15,13769,139,0,153,0,IRON_I,8,16,15468,11,0,28,0,BRONZE_IV,0,14,12854,243,0,282,0,BRONZE_IV,0,13,10838,145,0,154,0,IRON_I,12,13,10931,147,0,166,0,BRONZE_IV,23,16,15039,50,0,51,0,BRONZE_IV,17,13,10727,280,0,293,0,BRONZE_III,57,14,12319,82,0,113,0,IRON_III,72,13,10765
89,0,80,0,BRONZE_III,30,10,7101,72,0,68,0,BRONZE_III,33,9,5312,241,0,284,0,IRON_II,15,10,6805,253,0,269,0,IRON_II,34,7,3714,241,0,387,0,IRON_III,0,7,3344,10,0,13,0,IRON_I,0,6,3051,10,0,13,0,IRON_I,0,7,3246,50,0,51,0,BRONZE_IV,17,8,4529,21,0,26,0,BRONZE_IV,52,7,3717,9,0,22,0,IRON_II,66,7,3929
13,0,19,0,BRONZE_IV,52,15,13970,344,0,345,0,BRONZE_II,0,17,18246,173,0,176,0,BRONZE_III,78,16,15488,688,0,703,0,BRONZE_III,82,17,17312,94,0,90,0,BRONZE_II,62,15,13875,41,0,59,0,BRONZE_III,42,18,23298,23,0,29,0,BRONZE_III,1,17,16857,50,0,51,0,BRONZE_IV,17,15,13801,11,0,18,0,BRONZE_I,0,18,18982,36,0,46,0,BRONZE_III,26,16,15272
21,0,28,0,IRON_I,11,10,7283,28,0,26,0,IRON_I,89,7,3657,22,0,59,0,IRON_IV,0,6,2628,80,0,108,0,BRONZE_IV,0,8,4603,335,0,329,0,BRONZE_IV,47,8,4971,182,0,199,0,IRON_I,15,10,6161,183,0,201,0,BRONZE_IV,12,10,6810,50,0,51,0,BRONZE_IV,17,10,6200,395,0,365,0,BRONZE_IV,34,9,5797,446,0,463,0,IRON_IV,70,8,4394
30,0,39,0,BRONZE_IV,0,9,5491,526,0,577,0,IRON_IV,35,9,5154,129,0,146,0,BRONZE_IV,0,10,7183,61,0,64,0,BRONZE_IV,18,8,4143,24,0,64,0,IRON_IV,0,6,2996,107,0,134,0,IRON_III,48,10,6279,107,0,113,0,BRONZE_IV,29,9,5410,310,0,309,0,IRON_II,9,10,6323,113,0,117,0,BRONZE_IV,72,10,6749,122,0,152,0,BRONZE_IV,57,9,5639
30,0,39,0,BRONZE_IV,0,12,8710,129,0,146,0,BRONZE_IV,0,12,9023,154,0,166,0,BRONZE_III,69,13,11427,88,0,110,0,IRON_III,82,11,7463,326,0,345,0,SILVER_IV,10,11,7785,172,0,172,0,BRONZE_IV,0,10,6901,26,0,39,0,BRONZE_IV,75,11,8239,10,0,27,0,IRON_II,21,13,11124,35,0,42,0,BRONZE_IV,27,11,7308,32,0,42,0,BRONZE_IV,21,11,7438
