result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,219,202,BRONZE_III,48,15,14139,10,29,SILVER_IV,0,13,10416,323,314,BRONZE_III,75,14,12988,214,210,BRONZE_III,32,10,6791,73,102,BRONZE_III,83,11,8397,92,96,BRONZE_I,11,16,16256,75,81,BRONZE_II,74,15,14408,267,274,BRONZE_II,83,16,15920,256,268,BRONZE_II,44,14,12681,25,31,BRONZE_I,35,13,10606
0,146,139,GOLD_III,75,16,16247,141,155,SILVER_IV,0,15,13838,7,6,BRONZE_III,70,16,15341,19,18,BRONZE_I,49,13,10285,192,210,BRONZE_IV,39,13,10876,18,4,PLATINUM_IV,1,17,16522,6,6,BRONZE_II,17,16,15514,6,6,BRONZE_II,17,16,14978,6,6,BRONZE_II,17,14,12031,6,6,BRONZE_II,17,13,10891
0,172,186,BRONZE_III,75,17,17211,192,210,BRONZE_IV,39,18,20892,7,6,BRONZE_III,70,18,27219,183,195,BRONZE_II,13,18,22848,7,7,BRONZE_IV,73,18,20781,14,7,SILVER_IV,8,18,26835,128,131,BRONZE_IV,17,18,25736,5,6,BRONZE_I,1,18,23918,158,146,SILVER_IV,65,18,23037,51,46,SILVER_IV,40,18,21888
0,278,285,BRONZE_IV,21,16,15210,192,210,BRONZE_IV,39,16,15906,7,6,BRONZE_III,70,17,16802,122,114,SILVER_II,22,18,19220,118,116,SILVER_III,45,15,13606,13,13,SILVER_IV,20,18,20194,5,5,BRONZE_IV,13,17,17297,160,172,BRONZE_II,32,17,16598,183,195,BRONZE_II,13,17,17657,7,7,BRONZE_IV,73,16,15859
0,192,210,BRONZE_IV,39,14,12383,422,410,SILVER_IV,5,13,10979,7,6,BRONZE_III,70,14,12201,64,58,BRONZE_III,71,12,9369,34,59,IRON_I,7,11,7421,18,19,BRONZE_III,22,15,13739,22,21,BRONZE_I,27,13,10989,14,20,BRONZE_II,17,15,13473,153,192,IRON_I,45,13,11034,34,34,SILVER_IV,2,12,9947
1,192,210,BRONZE_IV,39,11,7966,234,230,SILVER_III,76,11,8020,7,6,BRONZE_III,70,10,6246,77,86,BRONZE_II,0,9,5477,169,166,BRONZE_III,55,8,4181,16,12,BRONZE_III,32,10,6451,3,12,IRON_II,55,8,4086,13,31,BRONZE_IV,15,9,5391,118,102,SILVER_III,0,7,3696,28,64,IRON_IV,0,7,3737
1,169,166,BRONZE_III,55,7,3770,192,210,BRONZE_IV,39,8,4125,7,6,BRONZE_III,70,7,3340,76,60,SILVER_III,25,7,3712,6,8,BRONZE_IV,40,7,3474,29,33,SILVER_IV,0,9,5069,29,33,SILVER_IV,0,6,2854,29,33,SILVER_IV,0,3,697,15,25,IRON_I,98,6,2941,6,19,BRONZE_IV,24,5,2109
1,60,83,BRONZE_IV,11,16,16398,9,12,BRONZE_I,6,15,13367,7,6,BRONZE_III,70,15,13737,7,6,BRONZE_III,70,15,13914,29,24,SILVER_I,63,14,11764,12,18,BRONZE_II,60,17,17768,50,43,GOLD_IV,58,16,15745,50,43,GOLD_IV,58,15,14059,9,22,BRONZE_III,11,13,10873,48,49,SILVER_I,21,16,14824
0,12,17,SILVER_IV,0,12,9354,12,12,BRONZE_I,74,10,7196,6,6,BRONZE_III,45,11,8542,5,8,BRONZE_II,75,6,2692,11,6,SILVER_IV,59,10,6592,13,12,SILVER_IV,63,14,11873,20,18,SILVER_III,43,12,9251,42,44,SILVER_III,91,12,9697,42,44,SILVER_III,91,12,8806,42,44,SILVER_III,91,11,7925
1,9,2,BRONZE_II,64,13,10673,19,20,SILVER_IV,85,13,10095,6,6,BRONZE_III,45,14,11576,6,6,BRONZE_III,45,12,9731,10,5,BRONZE_I,60,11,8063,6,4,BRONZE_II,61,11,8202,6,4,BRONZE_II,61,11,8253,9,17,BRONZE_II,29,11,7990,9,17,BRONZE_II,29,10,6167,4,16,BRONZE_III,0,10,6350
