result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,18,21,GOLD_IV,1,11,8474,18,9,GOLD_IV,75,12,9111,127,155,GOLD_III,8,14,11532,16,29,GOLD_IV,61,10,6743,19,22,GOLD_IV,1,10,6293,6,12,GOLD_IV,15,11,8565,21,18,SILVER_I,90,10,6650,20,33,GOLD_III,40,9,6069,29,22,GOLD_IV,21,11,7878,44,50,GOLD_III,29,10,6565
0,68,77,SILVER_II,75,17,16547,34,30,GOLD_IV,4,17,17229,421,414,GOLD_IV,90,15,14043,29,32,SILVER_II,73,13,11140,36,43,SILVER_II,62,13,10541,58,56,SILVER_I,53,15,14250,37,42,SILVER_II,73,13,11126,28,64,BRONZE_IV,72,15,14315,37,48,SILVER_II,59,12,9661,56,59,GOLD_IV,44,11,8280
0,184,181,GOLD_III,24,16,15037,78,73,GOLD_II,0,15,14326,212,195,GOLD_IV,39,13,11397,159,170,GOLD_IV,34,14,11997,72,76,SILVER_II,16,14,11575,58,56,SILVER_I,53,14,12486,46,46,SILVER_II,64,12,9511,913,874,GOLD_II,56,15,13352,31,38,SILVER_II,82,12,9791,214,191,GOLD_I,18,11,7603
1,273,255,GOLD_IV,85,12,9416,121,134,SILVER_III,36,11,7722,414,412,GOLD_III,29,12,9039,152,144,GOLD_III,1,10,6850,285,297,GOLD_IV,0,9,5822,58,56,SILVER_I,53,14,11858,591,594,GOLD_IV,27,11,7984,466,456,GOLD_IV,0,12,8910,475,451,GOLD_II,28,11,7514,21,22,SILVER_II,72,9,6056
1,123,120,SILVER_I,0,14,11753,190,193,GOLD_IV,0,13,11316,73,75,SILVER_III,94,14,12104,234,229,SILVER_II,50,14,12768,214,217,GOLD_III,13,11,8425,58,56,SILVER_I,53,16,15863,323,270,GOLD_I,36,15,13478,138,149,SILVER_I,32,18,19160,258,225,GOLD_III,24,15,14224,180,179,GOLD_III,0,14,11778
1,183,180,GOLD_IV,3,15,14563,95,106,SILVER_I,62,16,15702,31,35,SILVER_II,19,17,16626,266,282,GOLD_IV,70,15,13837,343,303,GOLD_IV,15,14,12223,58,56,SILVER_I,53,18,19820,78,70,SILVER_I,16,17,17410,129,101,GOLD_IV,1,18,18805,23,33,GOLD_IV,33,16,15288,18,27,SILVER_IV,82,14,12933
0,388,365,GOLD_IV,18,17,17315,49,48,SILVER_I,13,16,16101,487,482,GOLD_IV,0,17,18277,70,63,GOLD_IV,29,17,17853,146,145,GOLD_IV,54,14,12399,58,56,SILVER_I,53,17,17828,373,336,GOLD_III,4,17,16515,183,201,SILVER_II,75,16,16184,102,116,SILVER_II,32,15,13154,96,88,GOLD_III,14,14,11647
0,225,225,GOLD_IV,77,17,17126,35,39,GOLD_II,75,18,19453,111,108,GOLD_IV,12,17,16959,238,242,GOLD_IV,0,16,16416,177,189,GOLD_IV,16,15,13219,58,56,SILVER_I,53,17,16617,29,18,SILVER_I,100,17,18126,41,47,SILVER_II,0,17,17012,139,169,SILVER_IV,75,14,11904,28,39,SILVER_I,22,12,9889
1,40,44,SILVER_I,35,13,10074,190,205,GOLD_IV,1,13,11125,507,458,GOLD_III,62,13,10865,51,66,SILVER_III,41,13,10717,31,28,SILVER_I,52,11,8091,76,70,GOLD_IV,16,17,16546,22,31,SILVER_II,63,16,14738,201,210,GOLD_IV,82,17,16731,37,30,GOLD_IV,1,14,12900,35,40,SILVER_I,39,15,13200
0,167,171,GOLD_IV,36,15,13565,331,339,GOLD_IV,0,15,14253,263,255,GOLD_IV,75,15,13609,126,89,PLATINUM_III,14,15,13296,318,299,SILVER_I,50,12,9015,401,428,SILVER_II,88,11,7615,281,259,GOLD_II,0,13,11331,53,63,GOLD_IV,0,11,8213,45,45,GOLD_IV,8,11,7688,35,40,SILVER_I,39,12,9412
