main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
161,0,147,0,DIAMOND_I,52,17,17292,418,0,389,0,CHALLENGER_I,842,13,10696,252,0,237,0,MASTER_I,406,14,12765,160,0,143,0,MASTER_I,408,13,10962,83,0,48,0,DIAMOND_II,75,14,12077,415,0,382,0,MASTER_I,427,15,13376,533,0,534,0,DIAMOND_I,75,14,12633,195,0,165,0,GRANDMASTER_I,618,16,14987,426,0,402,0,GRANDMASTER_I,727,14,12153,155,0,130,0,DIAMOND_II,75,13,10851
378,0,319,0,CHALLENGER_I,1131,18,20238,106,0,80,0,GRANDMASTER_I,648,18,18939,261,0,243,0,GRANDMASTER_I,649,17,16480,281,0,274,0,MASTER_I,342,14,12750,83,0,48,0,DIAMOND_II,75,15,13804,258,0,229,0,CHALLENGER_I,885,18,19192,372,0,348,0,GRANDMASTER_I,699,18,20104,19,0,23,0,PLATINUM_I,75,18,21805,452,0,408,0,MASTER_I,220,18,19983,452,0,408,0,MASTER_I,220,16,15187
134,0,97,0,MASTER_I,426,13,11061,424,0,395,0,MASTER_I,306,12,9529,577,0,567,0,MASTER_I,223,12,9736,351,0,344,0,DIAMOND_I,60,11,8368,83,0,48,0,DIAMOND_II,75,12,8732,138,0,138,0,MASTER_I,117,15,13642,479,0,408,0,GRANDMASTER_I,728,14,12133,44,0,33,0,DIAMOND_II,75,16,15626,378,0,352,0,MASTER_I,373,14,12124,144,0,144,0,MASTER_I,153,12,8960
163,0,129,0,CHALLENGER_I,838,13,10264,267,0,245,0,GRANDMASTER_I,755,11,8491,310,0,280,0,MASTER_I,256,13,10549,213,0,180,0,GRANDMASTER_I,662,12,8750,83,0,48,0,DIAMOND_II,75,8,4658,59,0,40,0,DIAMOND_II,75,13,10788,218,0,198,0,DIAMOND_II,75,12,9957,292,0,261,0,DIAMOND_I,75,12,9685,182,0,154,0,DIAMOND_II,75,13,10442,144,0,150,0,DIAMOND_I,28,9,5472
16,0,17,0,PLATINUM_I,100,17,16919,341,0,345,0,DIAMOND_IV,31,17,17257,48,0,51,0,PLATINUM_I,75,18,19605,107,0,111,0,MASTER_I,130,18,19545,41,0,45,0,PLATINUM_I,99,14,12166,274,0,246,0,DIAMOND_II,60,18,18949,111,0,92,0,DIAMOND_I,37,18,20318,314,0,281,0,DIAMOND_II,75,18,19633,412,0,458,0,PLATINUM_III,20,17,17447,200,0,158,0,DIAMOND_II,60,16,16251
344,0,299,0,MASTER_I,1,18,19419,111,0,92,0,DIAMOND_I,37,18,18623,200,0,158,0,DIAMOND_II,60,18,23279,171,0,159,0,MASTER_I,241,18,20215,250,0,243,0,MASTER_I,34,16,15899,194,0,196,0,MASTER_I,75,18,20708,220,0,199,0,MASTER_I,387,18,20668,314,0,281,0,DIAMOND_II,75,18,21027,941,0,935,0,DIAMOND_III,76,15,13753,66,0,53,0,PLATINUM_I,59,14,12577
240,0,234,0,DIAMOND_II,61,14,11963,111,0,92,0,DIAMOND_I,37,13,11117,401,0,405,0,MASTER_I,2,13,10066,404,0,370,0,DIAMOND_II,43,11,8343,200,0,158,0,DIAMOND_II,60,11,8556,332,0,322,0,DIAMOND_I,44,14,13010,94,0,84,0,DIAMOND_II,75,16,15193,314,0,281,0,DIAMOND_II,75,15,13800,263,0,239,0,MASTER_I,85,13,11132,270,0,239,0,MASTER_I,205,12,9766
883,0,863,0,GRANDMASTER_I,539,17,16589,186,0,183,0,DIAMOND_III,49,16,15006,193,0,203,0,DIAMOND_II,61,16,16429,193,0,203,0,DIAMOND_II,61,14,12692,50,0,55,0,DIAMOND_IV,39,14,12308,76,0,61,0,DIAMOND_II,75,16,16428,179,0,199,0,DIAMOND_III,0,16,14775,314,0,281,0,DIAMOND_II,75,16,16177,263,0,239,0,MASTER_I,85,16,15915,270,0,239,0,MASTER_I,205,15,13753
310,0,236,0,DIAMOND_II,75,14,11879,428,0,408,0,DIAMOND_II,75,14,12066,91,0,86,0,DIAMOND_I,51,13,11221,190,0,161,0,DIAMOND_I,0,11,8301,47,0,57,0,DIAMOND_II,7,12,9025,123,0,119,0,DIAMOND_I,30,13,10364,469,0,445,0,DIAMOND_IV,57,13,11224,314,0,281,0,DIAMOND_II,75,14,11824,28,0,22,0,PLATINUM_I,75,13,10714,106,0,85,0,DIAMOND_II,59,12,9830
216,0,205,0,DIAMOND_II,0,16,14856,12,0,8,0,GOLD_IV,1,14,11875,12,0,8,0,GOLD_IV,1,14,12647,12,0,8,0,GOLD_IV,1,14,12996,14,0,15,0,PLATINUM_II,19,12,9019,32,0,41,0,PLATINUM_IV,11,14,12413,195,0,209,0,PLATINUM_IV,35,13,10739,195,0,209,0,PLATINUM_IV,35,12,9947,124,0,120,0,PLATINUM_III,52,12,9316,27,0,18,0,PLATINUM_IV,26,12,9502
