result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,438,407,SILVER_III,21,18,19168,72,91,BRONZE_IV,11,16,15923,218,227,BRONZE_IV,48,18,24288,337,317,BRONZE_IV,9,15,13929,22,31,IRON_I,86,16,16092,109,92,BRONZE_III,34,17,18043,127,99,BRONZE_I,7,16,16219,537,525,SILVER_IV,65,17,17110,130,156,IRON_IV,84,18,20429,29,40,BRONZE_IV,76,17,17809
0,175,189,IRON_IV,72,11,8536,77,84,IRON_II,49,13,10442,707,687,BRONZE_IV,40,13,10752,211,193,BRONZE_IV,0,10,7175,22,31,IRON_I,86,15,13905,172,131,BRONZE_III,87,15,13781,274,262,BRONZE_IV,28,15,13407,180,169,BRONZE_III,19,15,13915,40,61,IRON_IV,4,14,12375,29,40,BRONZE_IV,76,13,11418
0,197,231,IRON_II,39,14,12290,78,94,BRONZE_IV,79,11,8085,28,47,IRON_III,58,12,8709,215,191,SILVER_IV,52,11,8374,22,31,IRON_I,86,10,6619,137,150,IRON_II,58,14,11956,169,236,IRON_IV,91,15,13061,11,16,IRON_II,36,14,12811,217,211,IRON_I,47,13,10410,136,144,BRONZE_III,67,12,9567
1,73,65,BRONZE_IV,45,15,14684,162,144,BRONZE_III,64,14,12866,202,214,IRON_I,3,13,10407,317,322,BRONZE_IV,72,14,12251,22,31,IRON_I,86,14,12684,35,26,IRON_II,26,13,10642,98,95,BRONZE_IV,24,14,11984,388,385,BRONZE_IV,78,16,14745,350,365,BRONZE_IV,1,12,9352,16,59,IRON_IV,0,12,8816
1,144,166,BRONZE_III,42,12,9137,317,301,BRONZE_II,44,13,10875,246,178,SILVER_I,37,13,10411,39,37,BRONZE_IV,88,11,7537,22,31,IRON_I,86,10,6588,180,148,BRONZE_III,2,12,9339,217,189,BRONZE_IV,75,10,6740,12,15,BRONZE_IV,0,11,8100,148,182,BRONZE_IV,31,10,6722,186,164,BRONZE_II,0,9,5710
0,95,79,BRONZE_III,59,13,10702,72,91,BRONZE_IV,11,10,6573,694,694,IRON_II,65,11,8344,96,125,IRON_III,30,8,4542,22,31,IRON_I,86,9,5156,207,183,BRONZE_IV,14,12,9185,182,183,IRON_II,87,12,9427,277,244,BRONZE_II,85,12,9146,104,91,BRONZE_III,38,12,9164,79,87,BRONZE_IV,13,11,7834
0,71,94,IRON_II,55,10,7237,366,314,SILVER_IV,4,10,6323,20,42,IRON_IV,60,12,9611,117,151,IRON_II,3,11,7876,22,31,IRON_I,86,11,8220,163,209,IRON_II,77,13,11432,120,149,IRON_IV,35,13,10458,249,244,BRONZE_IV,64,13,10355,332,304,SILVER_IV,7,13,10416,14,9,IRON_I,100,11,8195
1,195,174,IRON_I,72,14,12392,38,39,BRONZE_IV,12,13,10408,50,58,IRON_I,100,15,14007,18,32,IRON_II,53,13,10660,344,347,BRONZE_IV,22,14,11888,277,262,BRONZE_IV,64,14,11727,40,58,BRONZE_IV,6,13,10222,72,131,IRON_IV,21,12,8828,293,315,BRONZE_IV,1,12,9700,455,428,BRONZE_IV,0,11,8557
0,195,174,IRON_I,72,16,15265,61,98,BRONZE_IV,77,18,20383,523,533,BRONZE_IV,4,17,17689,118,150,BRONZE_IV,10,18,18427,79,103,BRONZE_IV,4,18,19109,208,192,BRONZE_IV,15,18,24912,85,88,IRON_I,24,18,22262,138,153,BRONZE_IV,40,18,20143,44,60,BRONZE_IV,24,18,19009,14,32,BRONZE_IV,34,16,15498
1,195,174,IRON_I,72,13,11350,40,61,IRON_IV,60,10,7257,65,73,BRONZE_III,43,12,9558,34,51,IRON_II,6,12,9139,117,128,IRON_I,100,10,6973,146,149,BRONZE_IV,36,13,10756,15,21,BRONZE_IV,0,10,7283,94,74,IRON_II,45,11,8409,21,37,IRON_III,35,10,7086,10,41,BRONZE_IV,0,8,4474
1,195,174,IRON_I,72,18,23101,140,129,BRONZE_III,32,18,26038,34,50,BRONZE_IV,76,18,21524,33,46,BRONZE_III,8,18,18874,18,67,IRON_IV,0,10,6165,49,70,IRON_I,55,18,25766,27,26,BRONZE_IV,78,18,25437,29,40,BRONZE_IV,28,18,22741,96,107,IRON_II,75,18,25483,121,126,IRON_I,14,18,19467
1,195,174,IRON_I,72,16,14862,13,34,BRONZE_IV,0,14,12922,767,816,IRON_III,21,13,10847,197,203,BRONZE_IV,61,15,13835,12,19,IRON_I,42,12,8703,134,132,IRON_II,8,15,13297,2,23,IRON_I,46,13,11118,23,22,IRON_I,61,15,14392,32,54,IRON_IV,61,13,10015,89,82,BRONZE_III,39,13,10846
1,195,174,IRON_I,72,14,11893,108,101,BRONZE_III,8,15,14571,34,33,BRONZE_III,30,14,12844,237,265,BRONZE_IV,25,12,9695,132,126,IRON_II,4,12,9550,152,176,IRON_III,29,14,11603,226,212,BRONZE_IV,35,13,10530,14,40,IRON_II,83,12,9426,200,189,BRONZE_IV,76,13,10663,7,32,BRONZE_IV,5,11,7404
1,195,174,IRON_I,72,14,11486,87,76,SILVER_II,58,16,15239,54,46,GOLD_IV,60,15,14435,18,32,IRON_II,53,13,10462,18,32,IRON_II,53,15,13351,116,91,SILVER_II,43,16,15994,191,185,GOLD_IV,15,16,15816,202,159,PLATINUM_II,14,16,15910,202,159,PLATINUM_II,14,14,12016,406,431,BRONZE_II,57,13,10510
