result,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,745,706,DIAMOND_II,32,13,11126,160,127,DIAMOND_IV,75,12,8689,982,941,DIAMOND_III,7,12,9800,234,225,DIAMOND_III,18,11,8290,97,72,DIAMOND_III,71,10,6454,89,67,DIAMOND_II,1,12,9577,318,290,DIAMOND_III,42,14,12961,74,61,PLATINUM_I,60,15,13230,187,166,DIAMOND_IV,75,12,9735,180,195,DIAMOND_III,53,10,7058
1,181,152,DIAMOND_IV,25,11,7753,260,224,DIAMOND_III,26,10,6408,130,112,DIAMOND_III,19,11,8088,234,225,DIAMOND_III,18,10,7256,211,196,DIAMOND_II,58,10,6632,152,120,DIAMOND_II,91,14,11780,318,290,DIAMOND_III,42,14,12431,123,92,DIAMOND_IV,92,13,11336,55,75,DIAMOND_IV,26,11,8390,22,25,PLATINUM_I,21,10,7104
0,297,288,DIAMOND_I,22,15,14383,222,224,MASTER_I,34,14,12537,223,235,DIAMOND_III,55,13,11390,319,297,DIAMOND_II,38,13,11054,205,201,DIAMOND_III,41,13,10123,90,95,DIAMOND_II,16,16,15344,130,130,DIAMOND_II,39,15,13696,121,98,DIAMOND_III,12,15,14278,296,311,DIAMOND_I,50,14,12080,321,314,DIAMOND_II,42,12,9918
1,98,106,DIAMOND_IV,40,15,13411,84,84,DIAMOND_IV,62,13,10368,223,235,DIAMOND_III,55,12,9631,54,44,DIAMOND_III,0,11,7919,472,458,DIAMOND_II,4,9,5914,105,84,DIAMOND_IV,30,12,9010,151,145,DIAMOND_III,46,12,8598,215,216,DIAMOND_III,67,14,11792,350,311,MASTER_I,12,10,7277,118,90,PLATINUM_I,75,9,5521
0,90,29,DIAMOND_III,19,9,5214,892,902,DIAMOND_I,20,11,8302,223,235,DIAMOND_III,55,10,6717,1019,1010,DIAMOND_I,28,9,5911,443,446,DIAMOND_II,10,9,5332,244,232,DIAMOND_III,75,11,8318,138,110,DIAMOND_II,32,12,8887,190,164,DIAMOND_II,34,12,9317,247,231,DIAMOND_I,25,12,9413,136,130,DIAMOND_I,91,8,5000
0,85,60,DIAMOND_II,19,8,4567,424,383,DIAMOND_III,72,9,6020,223,235,DIAMOND_III,55,5,2283,216,208,DIAMOND_II,70,7,3737,181,175,DIAMOND_I,0,8,4217,200,184,DIAMOND_I,82,10,6332,48,32,DIAMOND_II,37,8,4831,439,421,MASTER_I,3,10,6990,718,685,DIAMOND_III,64,8,4523,607,601,DIAMOND_III,82,7,3800
1,138,110,DIAMOND_II,32,16,14783,178,180,DIAMOND_I,65,13,10983,223,235,DIAMOND_III,55,15,13072,151,130,DIAMOND_III,43,14,12577,146,137,DIAMOND_IV,0,13,10535,143,121,DIAMOND_II,58,12,8781,153,152,DIAMOND_III,0,13,11147,199,199,DIAMOND_II,59,15,13213,260,240,DIAMOND_I,7,13,10360,75,66,DIAMOND_II,25,11,7997
0,1024,1009,DIAMOND_IV,15,14,11684,30,35,DIAMOND_III,7,15,13493,223,235,DIAMOND_III,55,14,12711,237,194,DIAMOND_I,100,14,12486,81,52,DIAMOND_I,0,12,9540,599,579,DIAMOND_III,79,17,16974,160,169,DIAMOND_II,74,14,12879,892,902,DIAMOND_I,20,16,15689,157,161,DIAMOND_III,55,14,12660,209,207,DIAMOND_IV,31,12,9922
1,218,182,DIAMOND_IV,46,16,15199,116,119,DIAMOND_III,60,15,14606,223,235,DIAMOND_III,55,15,13327,28,22,DIAMOND_IV,41,15,13639,44,19,DIAMOND_IV,13,13,10658,427,423,DIAMOND_IV,17,16,15188,50,36,PLATINUM_II,49,14,12878,56,42,DIAMOND_IV,62,14,11714,328,289,DIAMOND_II,0,13,10153,155,91,MASTER_I,288,10,6914
0,145,133,DIAMOND_III,4,16,15867,565,578,DIAMOND_IV,0,14,12856,113,118,DIAMOND_IV,17,15,13406,597,590,DIAMOND_IV,0,13,11260,189,177,DIAMOND_III,72,13,11320,165,160,DIAMOND_IV,75,14,12750,208,185,DIAMOND_III,5,14,11966,277,272,DIAMOND_IV,0,12,9596,328,318,DIAMOND_III,0,14,11497,95,82,DIAMOND_III,21,14,11767
