result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
1,27,30,PLATINUM_I,6,13,10554,6,4,PLATINUM_IV,64,14,11662,27,30,PLATINUM_I,6,15,14128,265,263,DIAMOND_IV,75,13,10258,28,28,DIAMOND_IV,5,11,7912,4,6,PLATINUM_III,60,12,9593,92,111,DIAMOND_IV,93,11,7916,135,115,DIAMOND_II,50,13,10731,40,28,PLATINUM_I,88,12,9173,146,151,DIAMOND_IV,20,9,5806
1,60,59,DIAMOND_III,0,15,13806,6,4,PLATINUM_IV,64,16,15900,296,305,PLATINUM_I,14,15,13223,30,20,PLATINUM_II,80,15,13790,44,43,PLATINUM_III,41,13,11329,57,47,PLATINUM_II,15,15,14096,134,116,DIAMOND_III,50,14,11490,33,56,GOLD_II,60,15,13596,19,4,GOLD_IV,24,14,12093,15,14,PLATINUM_I,24,13,10422
1,86,80,PLATINUM_III,66,13,10249,164,144,PLATINUM_III,17,13,10288,88,68,PLATINUM_IV,27,13,11058,102,102,PLATINUM_III,75,12,8847,63,44,PLATINUM_IV,16,11,7675,116,86,PLATINUM_IV,0,12,9757,113,122,PLATINUM_IV,70,11,7605,288,277,PLATINUM_IV,61,13,10198,344,337,PLATINUM_IV,15,11,7562,354,340,PLATINUM_III,16,10,6569
0,86,80,PLATINUM_III,66,13,11012,115,108,PLATINUM_IV,33,13,10799,98,79,PLATINUM_II,37,14,12140,542,547,PLATINUM_IV,57,12,9954,63,44,PLATINUM_IV,16,11,7834,92,77,PLATINUM_IV,1,14,11886,75,84,PLATINUM_III,62,15,13669,63,64,PLATINUM_III,26,16,15292,61,63,PLATINUM_IV,4,14,11730,114,110,PLATINUM_III,21,13,11110
0,86,80,PLATINUM_III,66,16,14977,286,271,PLATINUM_IV,40,14,12328,209,174,DIAMOND_IV,0,14,11927,184,176,PLATINUM_III,16,11,8254,63,44,PLATINUM_IV,16,14,11943,239,229,PLATINUM_III,79,15,13766,337,338,PLATINUM_IV,66,15,14566,204,185,PLATINUM_IV,0,14,11830,21,18,PLATINUM_IV,4,15,14151,112,57,PLATINUM_II,31,14,12312
1,86,80,PLATINUM_III,66,17,18103,246,245,PLATINUM_IV,30,18,21181,392,421,PLATINUM_IV,14,18,19060,86,83,PLATINUM_II,50,17,17341,63,44,PLATINUM_IV,16,18,18455,259,261,PLATINUM_IV,36,16,14717,129,116,PLATINUM_IV,3,16,16356,953,944,PLATINUM_IV,46,17,16668,59,64,PLATINUM_IV,37,16,15137,58,55,PLATINUM_III,2,15,13729
1,86,80,PLATINUM_III,66,16,14798,340,333,PLATINUM_III,44,16,15210,274,275,PLATINUM_III,31,15,13564,22,27,GOLD_III,75,13,11023,63,44,PLATINUM_IV,16,14,12954,108,88,PLATINUM_IV,33,14,11896,135,105,PLATINUM_II,78,13,10666,38,32,GOLD_I,65,15,13376,244,229,PLATINUM_IV,10,13,10206,214,196,PLATINUM_IV,0,12,8675
0,86,80,PLATINUM_III,66,10,6258,62,54,PLATINUM_IV,0,6,2828,165,195,PLATINUM_III,0,6,2946,247,245,PLATINUM_IV,48,6,2466,63,44,PLATINUM_IV,16,9,5288,694,668,PLATINUM_IV,19,8,4444,101,69,PLATINUM_III,52,9,5044,148,124,PLATINUM_III,31,9,5812,404,357,PLATINUM_III,55,8,4545,292,290,PLATINUM_IV,75,7,3994
0,86,80,PLATINUM_III,66,16,16453,893,887,PLATINUM_IV,30,17,16764,189,160,PLATINUM_III,0,16,15029,183,189,PLATINUM_IV,0,14,12898,63,44,PLATINUM_IV,16,16,14886,195,191,PLATINUM_IV,76,17,17614,412,389,PLATINUM_III,18,17,17562,145,142,PLATINUM_IV,44,17,17861,316,282,PLATINUM_II,29,16,15060,99,85,PLATINUM_III,62,16,14844
1,183,197,GOLD_I,34,17,18031,292,296,GOLD_IV,75,16,15987,853,866,GOLD_I,4,16,16425,196,204,GOLD_I,75,16,15591,137,124,GOLD_III,75,14,12992,46,43,GOLD_I,62,17,17979,115,111,PLATINUM_IV,97,17,17746,41,36,GOLD_III,52,18,20313,394,387,PLATINUM_IV,8,18,19988,264,249,PLATINUM_IV,25,15,14341
