result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
1,344,320,PLATINUM_II,46,12,9339,105,101,PLATINUM_II,9,12,9892,331,370,PLATINUM_I,20,13,10491,103,68,PLATINUM_I,27,11,8371,189,198,PLATINUM_III,42,9,5455,71,48,PLATINUM_I,100,15,14164,359,354,DIAMOND_IV,1,12,9757,142,100,PLATINUM_III,30,14,11776,364,368,PLATINUM_II,0,13,10263,49,50,PLATINUM_II,16,12,9503
1,622,608,PLATINUM_III,75,16,15541,257,243,PLATINUM_III,11,17,18018,187,193,PLATINUM_III,21,17,18228,230,228,PLATINUM_II,44,16,15003,617,570,DIAMOND_IV,51,14,12549,34,39,GOLD_I,65,17,17534,69,73,PLATINUM_II,73,18,20107,193,149,DIAMOND_II,10,17,16795,101,82,DIAMOND_IV,81,18,19466,168,138,PLATINUM_II,23,16,15582
0,76,67,PLATINUM_III,49,15,13676,475,458,PLATINUM_II,43,14,12465,28,33,PLATINUM_IV,28,15,14585,205,194,PLATINUM_II,48,13,11180,17,13,PLATINUM_IV,47,13,10167,52,44,PLATINUM_III,61,13,10171,69,73,PLATINUM_II,73,13,10875,105,106,PLATINUM_IV,1,13,10537,34,39,GOLD_I,65,12,9687,34,32,GOLD_II,53,12,9175
0,640,614,DIAMOND_III,2,15,13125,14,5,GOLD_II,67,15,13370,11,2,GOLD_II,0,14,12732,178,164,PLATINUM_III,0,15,14187,34,32,GOLD_II,53,13,10800,60,55,PLATINUM_II,89,13,10586,69,73,PLATINUM_II,73,14,11443,28,33,PLATINUM_IV,28,13,10868,34,39,GOLD_I,65,12,9496,17,13,PLATINUM_IV,47,10,6338
1,89,86,GOLD_I,22,14,12491,877,863,PLATINUM_IV,19,14,12754,415,396,PLATINUM_III,84,14,12228,243,244,PLATINUM_II,52,13,10308,243,227,PLATINUM_II,26,11,7645,223,220,DIAMOND_IV,28,16,14944,69,73,PLATINUM_II,73,15,14152,370,370,PLATINUM_I,44,14,12628,34,39,GOLD_I,65,15,13223,318,305,PLATINUM_I,15,14,11592
0,351,375,PLATINUM_III,35,16,15074,180,116,DIAMOND_I,32,15,14004,198,185,PLATINUM_I,0,17,16487,165,156,DIAMOND_IV,1,17,17186,163,174,PLATINUM_II,7,14,12066,133,97,PLATINUM_III,60,15,13541,69,73,PLATINUM_II,73,15,13451,174,168,PLATINUM_II,64,18,18741,34,39,GOLD_I,65,15,13607,244,218,DIAMOND_IV,1,13,10951
0,58,57,PLATINUM_I,69,18,20014,57,55,GOLD_I,33,18,18781,409,434,DIAMOND_IV,28,18,20636,505,502,PLATINUM_III,29,17,16935,252,263,PLATINUM_III,50,16,15161,594,550,DIAMOND_IV,74,17,16852,69,73,PLATINUM_II,73,17,16713,79,80,PLATINUM_III,67,17,18061,137,112,PLATINUM_I,0,16,16087,192,179,PLATINUM_IV,0,14,12535
1,435,421,PLATINUM_II,47,16,15887,445,432,PLATINUM_III,61,15,13681,125,120,DIAMOND_I,18,15,13904,105,94,DIAMOND_IV,33,17,16723,201,192,DIAMOND_III,0,14,12754,58,46,PLATINUM_III,16,18,19130,69,73,PLATINUM_II,73,18,18731,72,57,PLATINUM_I,0,17,17469,585,568,PLATINUM_IV,72,18,18737,192,179,PLATINUM_IV,0,15,14256
0,249,238,PLATINUM_II,0,18,20833,31,30,PLATINUM_II,23,18,23780,140,138,PLATINUM_III,59,18,20876,109,88,PLATINUM_II,75,18,18914,90,81,PLATINUM_I,75,17,18020,63,61,PLATINUM_I,93,18,24912,313,298,PLATINUM_III,3,18,20807,237,225,PLATINUM_I,6,18,21231,129,126,PLATINUM_III,46,18,22440,106,116,PLATINUM_II,77,17,18284
0,249,238,PLATINUM_II,0,14,11836,31,30,PLATINUM_II,23,14,11537,140,138,PLATINUM_III,59,15,13914,463,416,PLATINUM_I,75,13,10552,381,368,PLATINUM_II,0,11,8492,518,515,DIAMOND_IV,27,15,14102,219,202,DIAMOND_III,33,14,11611,413,408,PLATINUM_I,75,15,13587,266,264,PLATINUM_I,23,14,12541,500,521,DIAMOND_IV,0,13,10724
