result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,373,364,SILVER_IV,55,17,17735,375,395,SILVER_III,28,16,14911,74,83,SILVER_IV,23,15,14196,232,240,SILVER_III,38,15,14362,162,173,SILVER_III,37,14,12413,101,117,BRONZE_II,23,13,11279,54,63,SILVER_IV,82,13,10557,245,241,SILVER_III,19,15,13630,184,195,SILVER_IV,27,13,10791,17,12,BRONZE_I,100,11,8195
0,17,17,SILVER_I,72,10,6987,43,32,PLATINUM_III,82,11,7935,104,83,SILVER_II,15,13,10023,141,132,GOLD_IV,75,9,5655,10,8,BRONZE_II,44,9,5593,14,2,SILVER_IV,1,10,6578,50,50,PLATINUM_II,73,10,7215,10,6,BRONZE_I,73,10,6310,16,7,BRONZE_I,1,8,4679,16,7,BRONZE_I,1,7,3544
0,10,11,BRONZE_III,81,13,11081,10,11,BRONZE_III,81,13,10145,6,4,BRONZE_II,67,12,9322,87,72,PLATINUM_IV,75,15,13169,38,41,GOLD_I,100,15,13143,16,7,BRONZE_I,1,15,13625,14,2,SILVER_IV,1,14,11490,10,6,BRONZE_I,73,12,8899,14,2,SILVER_IV,1,14,12487,16,7,BRONZE_I,1,11,8207
0,10,6,BRONZE_I,73,13,9982,270,251,GOLD_III,29,12,9718,6,4,BRONZE_IV,60,12,9243,37,41,SILVER_IV,75,11,8087,219,192,GOLD_III,0,10,7200,38,41,GOLD_I,100,10,6771,38,41,GOLD_I,100,9,5663,10,6,BRONZE_I,73,11,7573,14,2,SILVER_IV,1,12,9052,16,7,BRONZE_I,1,10,6361
1,12,11,BRONZE_II,60,12,9209,159,159,GOLD_IV,2,13,9980,3,7,BRONZE_IV,47,12,9522,84,92,SILVER_I,26,12,9801,84,92,SILVER_I,26,11,7560,14,2,SILVER_IV,1,16,15189,10,6,BRONZE_I,73,13,10617,10,6,BRONZE_I,73,13,10018,16,7,BRONZE_I,1,12,8780,16,7,BRONZE_I,1,11,7364
1,42,49,BRONZE_I,8,15,13448,47,53,SILVER_IV,0,13,10576,147,148,SILVER_II,5,14,12490,28,27,SILVER_I,100,13,11221,15,12,BRONZE_I,79,10,7201,239,272,SILVER_IV,46,15,13233,236,207,GOLD_III,82,15,13759,10,6,BRONZE_I,73,14,12516,42,59,BRONZE_II,0,15,14332,16,7,BRONZE_I,1,15,13918
0,68,61,SILVER_III,51,18,20107,68,65,SILVER_III,34,17,17563,9,20,BRONZE_III,61,15,13143,40,46,SILVER_III,3,16,16319,51,43,GOLD_IV,25,16,14932,147,139,SILVER_I,33,17,17615,239,272,SILVER_IV,46,17,17444,10,6,BRONZE_I,73,15,13093,42,59,BRONZE_II,0,18,19089,16,7,BRONZE_I,1,17,17390
1,101,90,SILVER_IV,83,12,8749,64,58,SILVER_IV,75,13,10119,54,59,BRONZE_I,30,13,10152,65,62,SILVER_IV,0,13,10928,107,120,SILVER_IV,0,12,9160,220,222,BRONZE_II,26,16,15579,26,32,BRONZE_II,73,15,13652,10,6,BRONZE_I,73,13,10948,132,144,SILVER_IV,0,14,12731,16,7,BRONZE_I,1,15,13235
1,124,138,BRONZE_I,25,18,21262,26,18,SILVER_III,42,18,19452,14,19,BRONZE_I,75,17,17597,34,39,SILVER_IV,7,18,18485,9,7,SILVER_IV,0,16,16371,385,365,SILVER_III,19,17,16796,10,17,BRONZE_II,46,16,15105,15,16,SILVER_II,0,18,21373,133,152,BRONZE_IV,69,15,13786,34,27,SILVER_IV,51,17,17198
0,49,49,BRONZE_I,2,14,12295,22,28,SILVER_II,11,12,9667,14,19,BRONZE_I,75,11,8538,158,167,SILVER_III,72,14,12787,41,68,SILVER_IV,2,13,10404,18,27,BRONZE_I,0,15,14180,85,94,GOLD_IV,35,17,17408,93,87,SILVER_II,75,15,13635,95,89,GOLD_IV,0,16,15794,31,24,SILVER_III,82,11,8277
0,28,24,SILVER_IV,61,15,13960,28,24,SILVER_IV,61,14,12336,14,19,BRONZE_I,75,13,11118,94,101,SILVER_II,0,16,15257,9,14,BRONZE_IV,56,14,12177,7,3,BRONZE_I,94,16,16305,18,22,BRONZE_II,16,17,16531,230,216,SILVER_IV,23,17,17543,18,17,BRONZE_I,6,15,14205,23,33,BRONZE_II,17,14,12235
0,95,83,SILVER_III,46,17,17187,12,19,BRONZE_I,52,17,16805,14,19,BRONZE_I,75,15,14550,51,58,SILVER_IV,8,16,14903,9,14,BRONZE_IV,56,17,16975,28,32,SILVER_III,0,18,20424,22,22,SILVER_I,24,18,21861,49,55,SILVER_IV,49,18,20239,33,35,SILVER_III,28,18,18475,111,101,SILVER_II,16,15,14639
