result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
0,186,193,GOLD_IV,30,14,12443,74,60,GOLD_IV,89,11,8389,274,289,GOLD_IV,59,13,10036,315,316,GOLD_IV,73,11,8323,77,61,GOLD_IV,45,11,7748,60,58,GOLD_IV,0,13,10474,143,135,GOLD_III,7,11,8277,32,33,SILVER_I,30,11,8116,396,385,GOLD_III,82,11,8469,362,356,GOLD_III,14,10,6580
0,180,178,GOLD_IV,36,18,18894,492,486,GOLD_IV,76,18,20271,21,21,SILVER_I,0,18,20024,387,383,GOLD_IV,71,17,16861,541,522,GOLD_III,29,17,17889,60,58,GOLD_IV,0,17,17210,204,200,GOLD_IV,2,16,14888,169,158,GOLD_III,89,16,15552,240,253,GOLD_IV,86,16,16006,198,192,GOLD_IV,51,15,14235
0,43,24,GOLD_II,0,11,7366,43,24,GOLD_II,0,10,6933,43,24,GOLD_II,0,11,7554,74,73,GOLD_II,90,10,6468,18,18,GOLD_I,48,8,5014,60,58,GOLD_IV,0,10,7250,60,58,GOLD_IV,0,10,6200,39,40,PLATINUM_I,12,11,7630,31,33,SILVER_IV,1,8,4277,43,24,GOLD_II,0,8,4385
1,6,13,BRONZE_III,75,12,9661,364,344,DIAMOND_III,42,12,9392,218,216,GOLD_III,6,13,11267,143,158,PLATINUM_IV,0,12,9709,193,190,GOLD_IV,15,9,5765,60,58,GOLD_IV,0,13,10148,168,151,PLATINUM_IV,0,17,16944,106,117,GOLD_I,25,14,12941,39,39,GOLD_IV,36,10,7262,30,28,PLATINUM_IV,75,12,8963
0,220,186,SILVER_II,65,15,14554,121,84,DIAMOND_I,36,18,23031,184,155,MASTER_I,1,18,18394,312,251,DIAMOND_I,92,16,14953,69,69,SILVER_II,47,14,12930,60,58,GOLD_IV,0,15,14479,168,151,PLATINUM_IV,0,16,16348,106,117,GOLD_I,25,17,17215,39,39,GOLD_IV,36,15,13544,30,28,PLATINUM_IV,75,15,13423
0,5,6,SILVER_III,28,17,17739,13,7,SILVER_I,59,18,18891,185,163,SILVER_I,74,18,19110,84,83,GOLD_II,38,17,17682,44,58,SILVER_I,80,16,15825,60,58,GOLD_IV,0,13,11078,10,10,PLATINUM_IV,1,17,17294,411,419,GOLD_IV,14,17,16493,226,211,SILVER_III,45,17,16498,270,251,GOLD_IV,41,16,14777
0,22,21,SILVER_I,56,16,14716,169,169,GOLD_III,5,16,15050,88,92,GOLD_III,87,17,18084,398,376,GOLD_II,5,15,13500,108,113,GOLD_I,45,14,11785,60,58,GOLD_IV,0,12,9131,253,277,GOLD_IV,15,17,16659,304,292,GOLD_IV,49,13,11309,243,244,GOLD_III,13,16,15132,108,89,GOLD_III,82,13,11401
0,227,239,GOLD_IV,69,16,15313,49,66,GOLD_III,36,14,11598,329,364,GOLD_IV,66,14,12227,126,138,GOLD_IV,20,13,11255,69,72,GOLD_IV,51,12,8734,58,57,GOLD_III,7,15,14151,223,183,GOLD_II,65,16,16284,391,331,GOLD_IV,3,16,15519,73,84,GOLD_IV,0,15,14317,103,96,GOLD_III,75,15,14244
1,120,116,GOLD_III,43,16,15246,49,66,GOLD_III,36,16,16194,80,71,GOLD_III,20,16,15458,126,138,GOLD_IV,20,14,11924,91,71,GOLD_II,19,14,12484,35,37,GOLD_IV,26,15,13256,341,338,GOLD_III,43,15,13958,155,135,SILVER_III,75,12,9892,220,223,GOLD_IV,50,13,10999,191,185,SILVER_I,28,11,8422
1,533,514,SILVER_II,14,18,18407,291,272,GOLD_II,5,17,17548,78,76,SILVER_I,90,17,16754,126,138,GOLD_IV,20,18,19441,410,405,GOLD_IV,0,17,16794,81,96,SILVER_II,3,18,19416,227,224,GOLD_IV,11,15,14424,78,80,SILVER_I,98,15,13317,39,50,SILVER_II,29,15,13336,213,214,SILVER_II,30,15,13858
